Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,1200.00,1208.00,1176.00,1180.00,54000,1178.00
2012-08-02,1200.00,1208.00,1176.00,1178.00,120100,1178.00
2012-08-01,1205.00,1215.00,1190.00,1197.00,110500,1197.00
2012-07-31,1225.00,1244.00,1192.00,1195.00,135800,1195.00
2012-07-27,1238.00,1250.00,1212.55,1244.00,70800,1244.00
2012-07-26,1220.00,1238.00,1215.31,1233.00,128300,1233.00
2012-07-25,1230.00,1230.00,1215.00,1222.00,153300,1222.00
2012-07-24,1245.00,1249.00,1226.72,1239.00,113700,1239.00
2012-07-23,1270.00,1275.00,1240.80,1246.00,129900,1246.00
2012-07-20,1265.00,1265.00,1244.64,1252.00,163300,1252.00
2012-07-19,1254.00,1258.00,1232.11,1253.00,102600,1253.00
2012-07-18,1246.00,1246.00,1226.00,1242.00,138300,1242.00
2012-07-17,1240.00,1251.00,1226.00,1246.00,125800,1246.00
2012-07-16,1235.00,1249.00,1231.91,1238.00,89700,1238.00
2012-07-13,1238.00,1256.49,1231.00,1241.00,172900,1241.00
2012-07-12,1274.00,1274.00,1233.42,1250.00,130700,1250.00
2012-07-11,1310.00,1317.00,1269.00,1273.00,235300,1273.00
2012-07-10,1275.00,1310.00,1269.63,1310.00,189000,1310.00
2012-07-09,1289.00,1301.50,1273.53,1285.00,193000,1285.00
2012-07-06,1295.00,1300.00,1276.11,1298.00,121900,1298.00
2012-07-05,1270.00,1292.00,1270.00,1290.00,162000,1290.00
2012-07-04,1285.00,1285.00,1267.00,1275.00,71400,1275.00
2012-07-03,1284.00,1298.39,1271.21,1283.00,185800,1283.00
2012-07-02,1233.00,1285.00,1231.29,1275.00,144000,1275.00
2012-06-29,1241.00,1248.89,1233.00,1243.00,123500,1243.00
2012-06-28,1242.00,1256.89,1220.00,1244.00,102600,1244.00
2012-06-27,1242.00,1251.00,1222.00,1251.00,92800,1251.00
2012-06-26,1236.00,1241.20,1225.00,1228.00,78500,1228.00
2012-06-25,1239.00,1251.72,1225.30,1230.00,70900,1230.00
2012-06-22,1234.00,1248.00,1222.11,1245.00,157700,1245.00
2012-06-21,1230.00,1250.00,1229.00,1236.00,93900,1236.00
2012-06-20,1240.00,1240.00,1224.22,1236.00,178200,1236.00
2012-06-19,1228.00,1241.00,1209.11,1241.00,139100,1241.00
2012-06-18,1191.00,1238.00,1191.00,1214.00,220100,1214.00
2012-06-15,1175.00,1238.74,1170.00,1238.00,1013200,1238.00
2012-06-14,1150.00,1190.00,1147.51,1182.00,236700,1182.00
2012-06-13,1125.00,1168.00,1125.00,1165.00,201100,1165.00
2012-06-12,1167.00,1167.00,1131.00,1135.00,231500,1135.00
2012-06-11,1160.00,1172.00,1151.55,1156.00,161000,1156.00
2012-06-08,1140.00,1155.00,1131.32,1153.00,251500,1153.00
