Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,1651.00,1682.00,1640.00,1654.00,143000,1645.00
2012-08-02,1651.00,1682.00,1640.00,1645.00,223200,1645.00
2012-08-01,1526.00,1699.00,1492.00,1645.00,354900,1645.00
2012-07-31,1542.00,1568.00,1492.00,1492.00,202000,1492.00
2012-07-27,1575.00,1584.00,1557.00,1570.00,163600,1570.00
2012-07-26,1589.00,1589.00,1569.00,1575.00,181000,1575.00
2012-07-25,1551.00,1588.00,1542.00,1583.00,77300,1583.00
2012-07-24,1566.00,1604.00,1555.00,1561.00,88600,1561.00
2012-07-23,1585.00,1585.00,1524.33,1557.00,92700,1557.00
2012-07-20,1583.00,1600.00,1579.00,1589.00,91600,1589.00
2012-07-19,1581.00,1602.00,1575.00,1590.00,163400,1590.00
2012-07-18,1577.00,1589.00,1573.00,1576.00,116500,1576.00
2012-07-17,1583.00,1585.00,1565.00,1580.00,143100,1580.00
2012-07-16,1585.00,1590.00,1571.00,1582.00,131700,1582.00
2012-07-13,1567.00,1593.00,1567.00,1582.00,226500,1582.00
2012-07-12,1585.00,1585.00,1554.65,1557.00,592000,1557.00
2012-07-11,1582.00,1600.00,1566.81,1585.00,318600,1585.00
2012-07-10,1614.00,1614.00,1589.00,1593.00,203900,1593.00
2012-07-09,1620.00,1631.00,1606.00,1606.00,104200,1606.00
2012-07-06,1629.00,1629.00,1614.00,1615.00,129100,1615.00
2012-07-05,1613.00,1629.00,1606.00,1624.00,168500,1624.00
2012-07-04,1613.00,1637.00,1596.80,1613.00,111800,1613.00
2012-07-03,1613.00,1631.00,1601.00,1619.00,107800,1619.00
2012-07-02,1597.00,1621.00,1597.00,1615.00,116600,1615.00
2012-06-29,1604.00,1625.00,1592.00,1592.00,167700,1592.00
2012-06-28,1537.00,1580.00,1537.00,1580.00,183900,1580.00
2012-06-27,1512.00,1545.00,1507.00,1533.00,231900,1533.00
2012-06-26,1532.00,1536.00,1506.00,1506.00,212200,1506.00
