Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,1523.00,1563.49,1470.00,1501.00,71600,1500.00
2012-08-02,1523.00,1563.49,1457.50,1500.00,173100,1500.00
2012-08-01,1529.00,1530.00,1508.00,1518.00,62600,1518.00
2012-07-31,1519.00,1522.24,1500.11,1510.00,104600,1510.00
2012-07-27,1495.00,1510.20,1462.00,1509.00,95500,1509.00
2012-07-26,1497.00,1497.00,1396.00,1479.00,110300,1479.00
2012-07-25,1360.00,1478.00,1326.00,1478.00,217900,1478.00
2012-07-24,1261.00,1284.97,1251.00,1270.00,24500,1270.00
2012-07-23,1275.00,1300.00,1259.00,1265.00,35100,1265.00
2012-07-20,1310.00,1310.00,1282.00,1294.00,37700,1294.00
2012-07-19,1271.00,1294.00,1236.84,1294.00,59100,1294.00
2012-07-18,1232.00,1276.32,1232.00,1260.00,20500,1260.00
2012-07-17,1275.00,1288.00,1235.00,1269.00,55500,1269.00
2012-07-16,1263.00,1278.00,1233.60,1278.00,40200,1278.00
2012-07-13,1302.00,1302.80,1259.16,1265.00,61100,1265.00
2012-07-12,1290.00,1323.00,1286.00,1290.00,66500,1290.00
2012-07-11,1375.00,1375.00,1335.00,1340.00,30800,1340.00
2012-07-10,1314.00,1388.00,1314.00,1388.00,92100,1388.00
2012-07-09,1363.00,1364.22,1310.00,1315.00,75600,1315.00
2012-07-06,1383.00,1418.00,1365.00,1367.00,20400,1367.00
2012-07-05,1407.00,1409.00,1380.00,1396.00,55200,1396.00
2012-07-04,1390.00,1402.00,1365.56,1398.00,29700,1398.00
2012-07-03,1365.00,1402.00,1357.00,1400.00,62500,1400.00
2012-07-02,1388.00,1405.00,1372.00,1394.00,28500,1394.00
2012-06-29,1381.00,1410.00,1359.00,1400.00,47400,1400.00
2012-06-28,1363.00,1367.00,1329.00,1352.00,44500,1352.00
2012-06-27,1388.00,1388.00,1362.00,1362.00,32500,1362.00
2012-06-26,1383.00,1392.00,1373.00,1375.00,44200,1375.00
2012-06-25,1385.00,1410.32,1380.00,1386.00,32000,1386.00
2012-06-22,1424.00,1424.00,1398.00,1405.00,43100,1405.00
2012-06-21,1446.00,1446.00,1402.00,1425.00,37800,1425.00
2012-06-20,1422.00,1449.00,1402.00,1415.00,51000,1415.00
2012-06-19,1418.00,1442.00,1415.91,1415.91,122500,1415.91
2012-06-18,1431.00,1443.22,1388.82,1416.00,61300,1416.00
2012-06-15,1431.00,1444.00,1416.00,1418.00,137600,1418.00
2012-06-14,1424.00,1441.00,1410.00,1430.00,161800,1430.00
2012-06-13,1433.00,1436.00,1406.00,1410.00,41900,1410.00
2012-06-12,1469.00,1481.78,1421.00,1421.00,25200,1421.00
2012-06-11,1477.00,1512.00,1473.00,1476.00,77300,1476.00
2012-06-08,1475.00,1475.00,1440.00,1453.00,53900,1453.00
2012-06-07,1478.00,1504.00,1455.00,1483.00,68700,1483.00
2012-06-06,1420.00,1473.00,1420.00,1473.00,78000,1473.00
2012-06-01,1427.00,1438.00,1370.48,1411.00,77800,1411.00
2012-05-31,1419.00,1442.00,1410.00,1433.00,67500,1433.00
2012-05-30,1422.00,1434.00,1393.00,1406.00,108100,1406.00
2012-05-29,1434.00,1483.00,1434.00,1437.00,94000,1437.00
2012-05-28,1366.00,1452.00,1346.00,1422.00,207900,1422.00
2012-05-25,1380.00,1389.32,1341.00,1352.00,76800,1352.00
2012-05-24,1368.00,1382.00,1345.00,1368.00,99600,1368.00
2012-05-23,1372.00,1383.00,1345.00,1350.00,80900,1350.00
2012-05-22,1418.00,1428.00,1381.00,1381.00,118900,1381.00
2012-05-21,1396.00,1429.00,1389.00,1397.00,43000,1397.00
2012-05-18,1435.00,1444.00,1400.00,1407.00,93600,1407.00
2012-05-17,1447.00,1468.00,1437.00,1449.00,65200,1449.00
2012-05-16,1448.00,1469.00,1412.00,1451.00,80100,1451.00
2012-05-14,1368.00,1372.00,1341.00,1341.00,41300,1341.00
2012-05-11,1323.00,1392.00,1323.00,1390.00,43900,1390.00
2012-05-10,1314.00,1375.00,1296.00,1364.00,89300,1364.00
2012-05-09,1341.00,1341.00,1280.00,1305.00,66500,1305.00
2012-05-08,1424.00,1439.00,1306.00,1314.00,109700,1314.00
2012-05-04,1457.00,1464.00,1408.00,1424.00,88900,1424.00
2012-05-03,1452.00,1458.40,1441.00,1457.00,59100,1457.00
2012-05-02,1488.00,1499.00,1435.00,1455.00,114400,1455.00
2012-05-01,1442.00,1460.00,1411.01,1444.00,22400,1444.00
2012-04-30,1479.00,1495.53,1440.00,1449.00,67200,1449.00
2012-04-27,1413.00,1480.00,1413.00,1480.00,65900,1480.00
2012-04-26,1443.00,1452.00,1418.00,1429.00,104400,1429.00
2012-04-25,1432.00,1459.00,1420.00,1445.00,68200,1445.00
2012-04-24,1401.00,1445.00,1398.16,1420.00,82400,1420.00
2012-04-23,1432.00,1466.00,1388.00,1400.00,107800,1400.00
2012-04-20,1446.00,1465.50,1421.84,1454.00,53500,1454.00
2012-04-19,1365.00,1475.00,1344.00,1450.00,162900,1450.00
2012-04-18,1338.00,1350.00,1323.00,1348.00,37700,1348.00
2012-04-17,1294.00,1346.00,1281.00,1335.00,27700,1335.00
2012-04-16,1345.00,1345.00,1295.00,1300.00,66200,1300.00
2012-04-13,1335.00,1365.00,1321.00,1343.00,68700,1343.00
2012-04-12,1322.00,1350.00,1314.00,1342.00,36600,1342.00
2012-04-11,1261.00,1328.00,1261.00,1326.00,42500,1326.00
2012-04-10,1305.00,1320.00,1268.00,1268.00,29400,1268.00
2012-04-05,1325.00,1348.00,1292.68,1314.00,31700,1314.00
2012-04-04,1336.00,1364.00,1294.50,1330.00,102600,1330.00
2012-04-03,1333.00,1361.00,1333.00,1346.00,100800,1346.00
2012-04-02,1329.00,1355.70,1306.00,1336.00,37700,1336.00
2012-03-30,1274.00,1353.00,1274.00,1335.00,112000,1335.00
2012-03-29,1299.00,1299.00,1229.00,1274.00,85900,1274.00
2012-03-28,1346.00,1350.00,1291.00,1291.00,45200,1291.00
2012-03-27,1350.00,1350.00,1330.00,1338.25,76500,1338.25
2012-03-26,1346.00,1355.52,1330.88,1346.00,65500,1346.00
2012-03-23,1345.00,1438.61,1301.77,1344.00,53100,1344.00
2012-03-22,1357.00,1362.76,1327.00,1340.00,80200,1340.00
2012-03-21,1378.00,1400.00,1356.00,1367.00,45500,1367.00
2012-03-20,1409.00,1420.00,1381.00,1381.00,58100,1381.00
2012-03-19,1427.00,1444.00,1406.00,1409.00,30800,1409.00
2012-03-16,1400.00,1428.26,1399.89,1427.00,105400,1427.00
2012-03-15,1481.00,1490.00,1393.00,1396.00,73400,1396.00
2012-03-14,1470.00,1519.00,1470.00,1487.00,83300,1487.00
2012-03-13,1390.00,1468.00,1384.00,1464.00,71100,1464.00
2012-03-12,1367.00,1388.00,1348.83,1377.00,53800,1377.00
2012-03-09,1372.00,1375.00,1346.28,1367.00,34000,1367.00
2012-03-08,1370.00,1399.00,1336.97,1375.00,120400,1375.00
2012-03-07,1384.00,1393.80,1360.00,1369.00,45600,1369.00
2012-03-06,1424.00,1435.00,1375.50,1399.00,67000,1399.00
2012-03-05,1447.00,1465.00,1405.00,1443.00,51000,1443.00
2012-03-02,1429.00,1472.08,1380.06,1459.00,30100,1459.00
2012-03-01,1432.00,1480.60,1412.47,1423.00,175200,1423.00
2012-02-29,1471.00,1473.00,1394.95,1437.00,38500,1437.00
2012-02-28,1459.00,1495.00,1458.00,1482.00,61600,1482.00
2012-02-27,1470.00,1497.86,1450.00,1466.00,30700,1466.00
2012-02-24,1500.00,1513.00,1486.00,1494.00,46700,1494.00
2012-02-23,1440.00,1510.00,1440.00,1500.00,106700,1500.00
2012-02-22,1470.00,1475.00,1429.00,1450.00,71200,1450.00
2012-02-21,1483.00,1494.00,1462.42,1473.00,26600,1473.00
2012-02-20,1471.00,1499.59,1433.66,1488.00,42100,1488.00
2012-02-17,1455.00,1486.84,1455.00,1480.00,34200,1480.00
2012-02-16,1433.00,1452.00,1420.00,1450.00,53100,1450.00
2012-02-15,1447.00,1469.00,1440.00,1450.00,71300,1450.00
2012-02-14,1455.00,1469.00,1435.00,1446.00,56100,1446.00
2012-02-13,1457.00,1485.09,1434.01,1462.00,82200,1462.00
2012-02-10,1467.00,1470.00,1430.00,1454.00,119200,1454.00
2012-02-09,1498.00,1516.00,1478.59,1492.00,94100,1492.00
2012-02-08,1499.00,1501.00,1451.00,1490.00,87300,1490.00
2012-02-07,1493.00,1498.89,1428.07,1475.00,75800,1475.00
2012-02-06,1494.00,1507.00,1457.00,1496.00,74800,1496.00
2012-02-03,1465.00,1497.00,1407.00,1485.00,85400,1485.00
2012-02-02,1456.00,1475.00,1416.45,1463.00,149100,1463.00
2012-02-01,1407.00,1455.00,1387.43,1447.00,178500,1447.00
2012-01-31,1370.00,1403.96,1361.00,1394.00,165100,1394.00
2012-01-30,1356.00,1385.00,1325.00,1369.00,223800,1369.00
2012-01-27,1333.00,1395.00,1324.97,1358.00,79600,1358.00
2012-01-26,1270.00,1369.00,1268.84,1280.42,256700,1280.42
2012-01-25,1148.00,1381.00,1120.00,1283.00,377900,1283.00
2012-01-24,1209.00,1209.00,1131.00,1146.72,196800,1146.72
2012-01-23,1145.00,1221.00,1116.70,1210.00,447500,1210.00
2012-01-20,1115.00,1115.00,1087.00,1092.00,56500,1092.00
2012-01-19,1105.00,1130.00,1070.00,1108.00,163600,1108.00
2012-01-18,1097.00,1118.00,1050.00,1106.00,149900,1106.00
2012-01-17,1077.00,1133.25,1058.00,1101.00,56700,1101.00
2012-01-16,1091.00,1091.00,1049.84,1061.00,54300,1061.00
2012-01-13,1117.00,1150.90,1040.00,1065.00,156100,1065.00
2012-01-12,1071.00,1126.00,1047.04,1116.00,81400,1116.00
2012-01-11,1034.00,1072.00,1034.00,1067.00,47400,1067.00
2012-01-10,1052.00,1060.72,1039.00,1040.00,30900,1040.00
2012-01-09,1040.00,1077.21,1020.00,1040.00,31700,1040.00
2012-01-06,1015.00,1054.45,1015.00,1049.00,36400,1049.00
2012-01-05,1044.00,1044.00,1018.00,1019.00,86800,1019.00
2012-01-04,1039.00,1062.00,1031.00,1046.00,79000,1046.00
2012-01-03,1021.00,1044.00,995.00,1044.00,40800,1044.00
2011-12-30,988.00,1008.00,962.24,987.25,35400,987.25
2011-12-29,965.50,999.50,945.00,989.00,64700,989.00
2011-12-28,926.00,958.50,909.00,943.00,38800,943.00
2011-12-23,952.50,959.00,912.00,920.00,18700,920.00
2011-12-22,923.50,943.83,913.00,933.50,30500,933.50
2011-12-21,936.00,955.01,916.50,917.00,46700,917.00
2011-12-20,905.00,921.50,883.50,921.50,25300,921.50
2011-12-19,930.00,930.00,886.00,904.00,28600,904.00
2011-12-16,931.00,956.50,920.00,920.00,95600,920.00
2011-12-15,870.00,931.00,866.50,930.50,73200,930.50
2011-12-14,898.00,920.00,866.50,874.50,48900,874.50
2011-12-13,925.00,937.77,909.08,920.00,27700,920.00
2011-12-12,925.50,935.00,895.50,905.00,46900,905.00
2011-12-09,957.50,958.50,913.20,949.00,68200,949.00
2011-12-08,965.00,965.00,923.50,940.00,99400,940.00
2011-12-07,975.00,975.00,942.46,948.00,52600,948.00
2011-12-06,952.00,967.00,921.75,950.00,60600,950.00
2011-12-05,911.00,976.50,909.50,955.00,89400,955.00
2011-12-02,903.00,918.16,892.50,901.50,28000,901.50
2011-12-01,925.00,929.50,892.50,898.00,71200,898.00
2011-11-30,869.00,943.29,860.00,919.50,110500,919.50
2011-11-29,824.50,888.00,802.33,882.00,109900,882.00
2011-11-28,813.00,830.50,808.50,827.50,40200,827.50
2011-11-25,816.00,820.00,800.00,800.00,65900,800.00
2011-11-24,808.00,835.78,808.00,820.00,64200,820.00
2011-11-23,857.00,860.19,813.50,825.50,63200,825.50
2011-11-22,861.00,877.91,824.88,831.00,49800,831.00
2011-11-21,875.50,875.50,851.00,861.00,47900,861.00
2011-11-18,874.00,885.50,855.70,877.00,89700,877.00
2011-11-17,901.00,914.50,873.00,878.00,107400,878.00
2011-11-16,905.00,920.59,900.00,901.00,23300,901.00
2011-11-15,920.50,948.00,901.00,901.00,76100,901.00
2011-11-14,885.00,968.00,885.00,950.50,60800,950.50
2011-11-11,908.00,940.00,899.39,935.00,44500,935.00
2011-11-10,940.00,940.00,900.00,901.50,71800,901.50
2011-11-09,1030.00,1030.00,940.00,954.00,66600,954.00
2011-11-08,985.50,1014.00,985.50,1001.00,24100,1001.00
2011-11-07,982.00,1022.21,968.79,990.50,69100,990.50
2011-11-04,1003.00,1036.00,975.00,1018.00,75500,1018.00
2011-11-03,916.00,1025.00,902.50,1003.00,98400,1003.00
2011-11-02,928.00,955.00,900.50,924.00,62200,924.00
2011-11-01,962.00,962.00,911.00,916.50,106700,916.50
2011-10-31,1012.00,1035.00,974.50,977.00,89400,977.00
2011-10-28,983.00,1035.00,978.00,1028.00,122600,1028.00
2011-10-27,945.50,1003.00,928.50,975.00,95800,975.00
2011-10-26,927.50,940.50,912.00,925.50,36900,925.50
2011-10-25,939.50,963.00,919.50,921.00,71800,921.00
2011-10-24,917.00,949.50,906.34,947.00,311900,947.00
2011-10-21,908.00,932.94,908.00,915.00,295800,915.00
2011-10-20,905.00,923.88,900.00,900.00,349900,900.00
2011-10-19,875.00,926.50,873.00,918.00,448900,918.00
2011-10-18,850.00,883.00,850.00,870.50,63900,870.50
2011-10-17,908.00,917.00,845.00,871.50,102300,871.50
2011-10-14,900.00,907.48,868.93,898.60,418700,898.60
2011-10-13,1034.00,1058.00,822.00,862.00,854300,862.00
2011-10-12,985.00,1052.34,985.00,1028.00,117400,1028.00
2011-10-11,999.50,1011.00,976.00,994.50,76400,994.50
2011-10-10,971.00,1011.00,965.00,1006.00,83800,1006.00
2011-10-07,1000.00,1000.00,950.50,959.00,60200,959.00
2011-10-06,938.00,997.50,930.00,997.50,55200,997.50
2011-10-05,942.00,953.00,910.50,944.07,166000,944.07
2011-10-04,972.00,979.20,903.50,918.00,95700,918.00
2011-10-03,1004.00,1013.09,960.00,987.50,62200,987.50
2011-09-30,1036.00,1047.18,996.00,1020.00,104100,1020.00
2011-09-29,1058.00,1058.00,1036.00,1040.00,126500,1040.00
2011-09-28,1046.00,1063.06,1046.00,1063.06,117600,1063.06
2011-09-27,1040.00,1065.00,1032.00,1055.00,278200,1055.00
2011-09-26,1001.00,1026.00,1001.00,1016.00,418600,1016.00
2011-09-23,1076.00,1079.60,1038.00,1040.00,65800,1040.00
2011-09-22,1086.00,1112.00,1042.00,1070.00,88200,1070.00
2011-09-21,1106.00,1125.00,1095.70,1121.00,77800,1121.00
2011-09-20,1140.00,1155.00,1104.00,1114.05,124900,1114.05
2011-09-19,1203.00,1237.00,1145.60,1147.00,126700,1147.00
2011-09-16,1271.00,1276.00,1203.00,1224.00,138400,1224.00
2011-09-15,1283.00,1302.00,1260.00,1264.00,53200,1264.00
2011-09-14,1247.00,1286.80,1230.00,1270.00,42400,1270.00
2011-09-13,1293.00,1322.35,1250.30,1273.00,41600,1273.00
2011-09-12,1300.00,1314.26,1271.00,1278.00,24600,1278.00
2011-09-09,1324.00,1387.00,1302.75,1318.00,49900,1318.00
2011-09-08,1355.00,1368.00,1301.00,1335.00,236600,1335.00
2011-09-07,1346.00,1373.50,1327.00,1358.00,53000,1358.00
2011-09-06,1370.00,1374.00,1315.00,1322.00,64600,1322.00
2011-09-05,1390.00,1390.00,1341.00,1348.00,169700,1348.00
2011-09-02,1395.00,1410.00,1351.00,1385.00,70700,1385.00
2011-09-01,1417.00,1425.00,1370.35,1410.00,278200,1410.00
2011-08-31,1285.00,1410.00,1270.00,1410.00,273800,1410.00
2011-08-30,1250.00,1286.00,1230.00,1274.00,228900,1274.00
2011-08-26,1205.00,1239.00,1205.00,1222.00,36700,1222.00
2011-08-25,1248.00,1248.00,1199.70,1231.00,161700,1231.00
2011-08-24,1233.00,1276.00,1233.00,1240.00,114700,1240.00
2011-08-23,1245.00,1245.00,1230.00,1238.00,142000,1238.00
2011-08-22,1234.00,1278.00,1225.30,1237.00,5400,1237.00
2011-08-19,1287.00,1333.45,1245.00,1255.00,108000,1255.00
2011-08-18,1343.00,1369.00,1263.00,1267.00,42500,1267.00
2011-08-17,1380.00,1402.00,1359.00,1367.00,36100,1367.00
2011-08-16,1449.00,1475.00,1376.00,1401.00,50500,1401.00
2011-08-15,1339.00,1464.39,1339.00,1451.00,98000,1451.00
2011-08-12,1297.00,1351.00,1247.00,1335.00,106000,1335.00
2011-08-11,1349.00,1390.10,1264.00,1290.00,162100,1290.00
2011-08-10,1384.00,1437.12,1285.00,1295.00,118500,1295.00
2011-08-09,1250.00,1420.75,1152.00,1363.00,202900,1363.00
2011-08-08,1371.00,1414.00,1250.00,1250.00,170600,1250.00
2011-08-05,1415.00,1468.00,1369.00,1404.00,104000,1404.00
2011-08-04,1598.00,1611.00,1451.00,1452.00,68800,1452.00
2011-08-03,1578.00,1626.00,1536.00,1549.00,129500,1549.00
