Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,321.10,327.80,314.90,316.20,73100,315.50
2012-08-02,321.10,327.80,314.70,315.50,124300,315.50
2012-08-01,320.00,326.64,319.60,322.60,65100,322.60
2012-07-31,327.50,330.00,326.10,326.10,217700,326.10
2012-07-27,322.10,328.30,318.40,328.30,151800,328.30
2012-07-26,317.10,322.80,314.50,321.20,92000,321.20
2012-07-25,316.40,319.20,311.96,315.50,93200,315.50
2012-07-24,318.50,318.50,313.00,316.60,91200,316.60
2012-07-23,318.50,320.20,313.90,316.60,98000,316.60
2012-07-20,319.40,325.70,318.10,321.10,151200,321.10
2012-07-19,316.20,319.53,314.40,318.70,154700,318.70
2012-07-18,309.80,316.70,309.80,316.60,103500,316.60
2012-07-17,312.20,314.90,310.20,310.50,89700,310.50
2012-07-16,309.80,311.20,307.90,311.10,179100,311.10
2012-07-13,303.20,308.80,302.60,308.60,509400,308.60
2012-07-12,307.80,309.20,302.00,303.70,249700,303.70
2012-07-11,307.30,309.80,305.30,309.80,122300,309.80
2012-07-10,304.70,309.90,303.20,309.00,282600,309.00
2012-07-09,305.70,305.70,301.50,302.60,135700,302.60
2012-07-06,306.40,308.49,302.80,305.00,88800,305.00
2012-07-05,304.20,306.50,300.50,306.00,145100,306.00
2012-07-04,304.00,304.60,300.30,303.40,175000,303.40
2012-07-03,304.60,307.00,301.60,304.10,165200,304.10
2012-07-02,303.50,305.20,297.14,303.40,251900,303.40
2012-06-29,302.30,306.10,296.00,296.00,341000,296.00
2012-06-28,302.80,302.80,296.00,297.70,215400,297.70
2012-06-27,294.30,296.40,294.00,296.00,219500,296.00
2012-06-26,305.90,305.90,300.00,300.60,271100,300.60
2012-06-25,303.00,304.72,300.00,300.90,297500,300.90
2012-06-22,297.50,303.10,297.50,302.90,358900,302.90
2012-06-21,299.50,299.70,295.60,299.70,293000,299.70
2012-06-20,296.60,298.50,290.90,297.30,298300,297.30
2012-06-19,294.40,295.30,290.00,294.00,207200,294.00
2012-06-18,296.50,298.10,290.90,292.40,115000,292.40
2012-06-15,295.00,299.10,291.50,292.60,524500,292.60
2012-06-14,293.33,293.40,288.70,291.40,492700,291.40
2012-06-13,292.10,292.60,288.00,292.60,429500,292.60
2012-06-12,289.00,291.50,288.00,290.00,622200,290.00
2012-06-11,294.90,294.90,285.20,288.50,262300,288.50
2012-06-08,287.20,291.50,284.30,289.90,264500,289.90
2012-06-07,287.70,291.20,284.40,287.30,274500,287.30
2012-06-06,284.00,285.20,281.80,285.00,1953800,285.00
2012-06-01,281.30,283.10,278.30,280.80,324500,280.80
2012-05-31,282.00,283.60,279.00,279.90,470200,279.90
2012-05-30,281.20,284.40,278.00,279.90,577700,279.90
2012-05-29,284.60,285.60,279.40,280.90,2143000,280.90
2012-05-28,287.00,287.00,279.10,282.40,2856500,282.40
2012-05-25,284.50,285.00,280.10,281.56,873600,281.56
2012-05-24,281.20,284.60,278.90,283.80,147500,283.80
2012-05-23,283.40,285.40,278.60,278.80,193600,278.80
2012-05-22,287.00,290.30,282.80,284.30,297900,284.30
2012-05-21,286.70,290.50,284.60,285.00,192600,285.00
2012-05-18,288.80,295.70,285.60,289.10,201400,289.10
2012-05-17,281.70,298.00,280.00,283.98,496400,283.98
2012-05-16,274.60,277.50,271.10,277.00,517400,277.00
2012-05-14,274.20,275.89,268.70,272.70,155500,272.70
2012-05-11,272.50,278.50,270.80,277.10,137800,277.10
2012-05-10,272.40,274.90,270.00,273.70,275000,273.70
2012-05-09,272.60,272.60,268.74,269.60,437200,269.60
2012-05-08,280.40,281.60,269.20,269.20,812300,269.20
2012-05-04,287.30,288.70,279.10,279.10,265200,279.10
2012-05-03,290.20,292.70,284.00,286.90,253500,286.90
2012-05-02,291.40,291.40,285.00,289.10,171900,289.10
2012-05-01,280.00,292.00,280.00,290.00,610700,290.00
2012-04-30,285.60,287.00,280.50,280.90,106100,280.90
2012-04-27,283.50,285.00,280.00,284.50,184400,284.50
2012-04-26,282.90,285.00,281.00,283.37,271700,283.37
2012-04-25,284.80,286.00,280.00,281.60,198800,281.60
2012-04-24,282.90,284.70,281.69,282.90,471300,282.90
2012-04-23,286.30,287.17,280.50,281.00,187100,281.00
2012-04-20,286.60,288.40,282.80,287.00,662600,287.00
2012-04-19,288.80,289.41,282.80,285.10,309800,285.10
2012-04-18,288.80,289.50,285.50,287.00,1299400,287.00
2012-04-17,287.80,288.79,284.88,287.90,105600,287.90
2012-04-16,289.50,290.69,282.20,287.00,296200,287.00
2012-04-13,292.20,292.90,288.70,289.70,123300,289.70
2012-04-12,290.00,296.80,287.50,291.10,204800,291.10
2012-04-11,290.60,294.40,287.00,291.00,1050600,291.00
2012-04-10,292.80,294.70,288.70,291.80,329500,291.80
2012-04-05,293.00,295.87,291.00,294.00,205400,294.00
2012-04-04,293.00,295.70,289.50,291.80,347800,291.80
2012-04-03,302.40,302.40,293.90,294.70,428800,294.70
2012-04-02,296.30,301.10,293.32,301.10,399000,301.10
2012-03-30,292.70,298.70,290.40,296.10,807600,296.10
2012-03-29,294.90,296.20,288.52,290.60,629200,290.60
2012-03-28,300.80,300.80,291.00,294.70,689800,294.70
2012-03-27,303.70,303.70,300.00,301.10,506500,301.10
2012-03-26,296.00,303.70,296.00,301.50,622300,301.50
2012-03-23,295.90,297.70,295.00,296.00,341500,296.00
2012-03-22,293.20,296.00,287.00,295.00,212300,295.00
2012-03-21,296.10,299.00,293.00,293.00,242400,293.00
2012-03-20,299.20,299.70,292.80,294.50,352700,294.50
2012-03-19,301.30,301.90,296.10,299.00,202400,299.00
2012-03-16,300.80,302.50,296.10,300.60,484000,300.60
2012-03-15,303.70,303.70,298.30,300.00,312300,300.00
2012-03-14,303.10,304.60,298.03,300.50,2097200,300.50
2012-03-13,297.60,303.50,293.20,303.00,1411700,303.00
2012-03-12,293.70,296.60,289.00,295.70,151000,295.70
2012-03-09,291.40,299.30,291.40,295.00,674600,295.00
2012-03-08,286.20,294.30,286.20,292.50,393400,292.50
2012-03-07,280.60,290.00,280.60,286.20,295400,286.20
2012-03-06,286.00,289.21,277.70,279.70,348000,279.70
2012-03-05,284.70,289.10,284.70,288.00,260200,288.00
2012-03-02,283.10,287.95,283.10,286.00,471600,286.00
2012-03-01,280.40,287.70,279.90,283.50,419800,283.50
2012-02-29,288.00,288.00,276.47,277.60,1018700,277.60
2012-02-28,293.50,297.00,286.71,290.50,536900,290.50
2012-02-27,291.40,294.70,291.40,293.40,341200,293.40
2012-02-24,293.70,296.60,290.90,292.40,288700,292.40
2012-02-23,291.40,294.00,291.40,292.30,227200,292.30
2012-02-22,300.00,302.00,292.00,292.00,855000,292.00
2012-02-21,302.40,307.00,297.10,299.10,683500,299.10
2012-02-20,310.40,310.40,300.50,304.20,409700,304.20
2012-02-17,305.00,312.40,301.00,309.70,1969100,309.70
2012-02-16,300.40,301.40,295.60,301.40,146600,301.40
2012-02-15,303.90,307.50,299.50,302.90,204700,302.90
2012-02-14,303.70,306.98,301.40,303.30,153900,303.30
2012-02-13,305.30,306.00,299.70,303.40,188200,303.40
2012-02-10,302.00,305.26,299.30,305.00,77600,305.00
2012-02-09,300.90,304.20,296.32,302.50,132000,302.50
2012-02-08,298.50,299.00,294.90,298.60,130400,298.60
2012-02-07,299.70,299.70,297.00,299.00,329100,299.00
2012-02-06,303.00,308.10,298.80,305.90,211400,305.90
2012-02-03,295.30,304.10,295.30,302.40,574800,302.40
2012-02-02,301.30,306.90,300.37,302.60,219700,302.60
2012-02-01,298.50,308.10,298.30,305.90,279700,305.90
2012-01-31,293.20,299.60,291.20,296.60,516900,296.60
2012-01-30,299.30,299.30,289.00,291.40,229800,291.40
2012-01-27,296.90,299.00,289.50,294.20,347200,294.20
2012-01-26,290.50,299.40,290.50,297.10,155700,297.10
2012-01-25,297.30,299.20,292.30,295.00,118900,295.00
2012-01-24,295.50,299.60,293.90,295.40,497800,295.40
2012-01-23,297.60,300.00,287.50,298.30,122400,298.30
2012-01-20,297.00,299.40,290.03,297.10,506900,297.10
2012-01-19,294.80,299.90,293.40,294.70,308500,294.70
2012-01-18,287.70,295.50,286.60,288.00,395600,288.00
2012-01-17,287.00,296.00,285.00,288.10,624800,288.10
2012-01-16,287.20,289.70,285.80,286.70,360200,286.70
2012-01-13,288.90,292.00,284.60,285.70,411600,285.70
2012-01-12,284.60,289.00,280.90,285.15,561600,285.15
2012-01-11,287.20,292.60,280.20,285.80,380800,285.80
2012-01-10,287.90,293.70,287.00,288.30,427200,288.30
2012-01-09,282.90,288.50,281.80,286.30,207500,286.30
2012-01-06,282.70,285.40,280.00,283.00,122400,283.00
2012-01-05,289.50,289.50,281.70,281.70,186000,281.70
2012-01-04,293.00,294.00,288.00,288.00,309600,288.00
2012-01-03,299.20,299.20,291.60,293.00,454900,293.00
2011-12-30,296.80,298.00,293.60,297.90,34900,297.90
2011-12-29,293.20,299.40,293.20,295.50,120200,295.50
2011-12-28,288.80,295.10,288.80,291.50,119900,291.50
2011-12-23,291.90,291.90,285.60,288.20,21000,288.20
2011-12-22,291.10,294.20,288.00,289.10,69500,289.10
2011-12-21,293.30,293.30,285.60,289.30,166500,289.30
2011-12-20,291.30,292.30,284.90,292.30,290700,292.30
2011-12-19,288.60,293.50,288.40,290.50,127700,290.50
2011-12-16,291.30,292.50,287.30,288.70,284100,288.70
2011-12-15,287.00,289.50,284.70,288.60,186600,288.60
2011-12-14,291.40,294.50,281.10,286.00,184100,286.00
2011-12-13,293.80,293.80,288.50,292.00,436200,292.00
2011-12-12,295.30,295.90,288.70,292.40,293600,292.40
2011-12-09,295.80,300.00,289.50,295.00,411700,295.00
2011-12-08,301.50,303.30,296.30,296.30,1570500,296.30
2011-12-07,301.60,303.70,294.70,300.00,315200,300.00
2011-12-06,302.80,302.80,296.40,299.00,418300,299.00
2011-12-05,307.30,311.00,302.78,304.50,160100,304.50
2011-12-02,307.00,307.10,302.50,304.80,70600,304.80
2011-12-01,307.10,309.40,301.90,303.00,324100,303.00
2011-11-30,289.30,312.60,289.30,305.40,439900,305.40
2011-11-29,288.90,294.40,285.60,292.50,165700,292.50
2011-11-28,286.90,288.80,281.10,288.80,349200,288.80
2011-11-25,288.10,289.00,280.10,285.00,429400,285.00
2011-11-24,286.50,289.90,282.75,287.50,295800,287.50
2011-11-23,287.20,292.50,284.76,284.90,540100,284.90
2011-11-22,291.20,292.00,285.40,290.20,188900,290.20
2011-11-21,292.30,292.70,285.50,290.10,394000,290.10
2011-11-18,289.80,294.30,285.00,293.10,259200,293.10
2011-11-17,294.00,293.04,291.25,293.00,214800,293.00
2011-11-16,288.60,300.10,288.20,292.92,511200,292.92
2011-11-15,289.80,293.20,284.50,290.00,230600,290.00
2011-11-14,290.30,295.50,288.20,289.60,177800,289.60
2011-11-11,282.40,294.24,282.20,291.00,228900,291.00
2011-11-10,282.20,292.50,273.10,282.90,294100,282.90
2011-11-09,283.40,286.60,279.00,282.00,920500,282.00
2011-11-08,283.10,283.10,276.70,277.50,440700,277.50
2011-11-07,284.70,287.90,280.30,281.90,402100,281.90
2011-11-04,296.10,296.80,284.00,289.00,477700,289.00
2011-11-03,285.90,297.80,285.90,294.50,201900,294.50
2011-11-02,293.10,296.70,285.10,291.00,289200,291.00
2011-11-01,297.20,297.20,288.00,291.00,580600,291.00
2011-10-31,307.00,307.00,296.60,300.00,362900,300.00
2011-10-28,302.60,309.40,298.40,307.00,161600,307.00
2011-10-27,302.00,305.00,298.00,302.40,144900,302.40
2011-10-26,292.50,298.00,289.00,298.00,222100,298.00
2011-10-25,290.40,296.80,289.20,294.70,148700,294.70
2011-10-24,289.50,292.90,282.40,289.90,312700,289.90
2011-10-21,287.00,291.20,282.10,286.90,398200,286.90
2011-10-20,283.10,286.90,278.40,285.60,121100,285.60
2011-10-19,287.90,292.40,281.80,282.00,115700,282.00
2011-10-18,287.00,288.80,282.70,286.90,122400,286.90
2011-10-17,288.00,291.22,282.50,284.40,147800,284.40
2011-10-14,285.30,287.80,281.20,287.50,159000,287.50
2011-10-13,284.30,286.00,280.30,284.60,434000,284.60
2011-10-12,283.70,287.70,281.70,284.00,724700,284.00
2011-10-11,281.10,287.50,279.90,283.30,234000,283.30
2011-10-10,279.50,281.10,275.90,280.80,77900,280.80
2011-10-07,278.50,279.50,271.70,276.10,176100,276.10
2011-10-06,271.70,276.90,270.60,276.50,356900,276.50
2011-10-05,271.40,273.20,268.60,271.90,180900,271.90
2011-10-04,277.60,278.00,265.10,268.20,322700,268.20
2011-10-03,272.40,275.30,270.00,275.30,209500,275.30
2011-09-30,279.00,279.40,270.70,275.30,453900,275.30
2011-09-29,277.30,281.90,274.60,280.80,221200,280.80
2011-09-28,279.40,282.00,277.00,279.20,177400,279.20
2011-09-27,274.60,282.00,269.80,282.00,302400,282.00
2011-09-26,270.90,276.20,266.60,273.00,282900,273.00
2011-09-23,274.30,274.60,266.40,271.20,314900,271.20
2011-09-22,272.60,279.30,270.20,271.90,283800,271.90
2011-09-21,276.60,280.20,274.90,279.50,364500,279.50
2011-09-20,270.80,278.50,270.80,276.10,329800,276.10
2011-09-19,274.30,275.00,266.80,269.10,380500,269.10
2011-09-16,275.60,277.10,267.87,275.80,219400,275.80
2011-09-15,270.00,280.70,268.80,274.40,278400,274.40
2011-09-14,257.00,269.70,257.00,269.10,270100,269.10
2011-09-13,269.90,271.20,258.10,264.64,151900,264.64
2011-09-12,266.00,273.30,266.00,267.70,136500,267.70
2011-09-09,270.00,276.80,267.50,270.41,196500,270.41
2011-09-08,272.80,278.04,269.70,272.60,475600,272.60
2011-09-07,277.70,277.70,269.20,272.09,1260300,272.09
2011-09-06,280.20,280.30,270.60,271.56,399000,271.56
2011-09-05,276.60,282.24,275.00,276.10,248000,276.10
