Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,185.00,185.00,174.23,185.00,8200,185.00
2012-08-02,185.00,185.00,174.23,185.00,25400,185.00
2012-08-01,185.25,185.25,183.70,185.25,700,185.25
2012-07-31,185.25,187.50,180.00,187.50,35900,187.50
2012-07-27,180.00,181.00,177.50,177.50,6400,177.50
2012-07-26,180.00,186.75,180.00,180.00,5500,180.00
2012-07-25,185.00,189.00,185.00,189.00,3800,189.00
2012-07-24,182.50,182.50,180.00,180.00,55900,180.00
2012-07-23,180.25,186.62,180.00,180.00,2900,180.00
2012-07-20,180.25,185.00,180.00,180.00,600,180.00
2012-07-19,184.50,190.00,184.50,186.25,3600,186.25
2012-07-18,180.00,188.25,180.00,180.00,900,180.00
2012-07-17,184.00,185.00,180.00,180.00,23000,180.00
2012-07-16,180.75,189.75,180.75,182.00,210100,182.00
2012-07-13,185.50,187.00,180.25,180.75,12100,180.75
2012-07-12,185.75,195.25,185.75,193.50,1700,193.50
2012-07-11,185.75,190.00,185.75,185.75,1300,185.75
2012-07-10,190.25,193.00,186.00,187.75,12700,187.75
2012-07-09,196.25,196.25,191.00,191.00,6200,191.00
2012-07-06,196.00,196.50,194.50,196.00,602700,196.00
2012-07-05,203.00,203.00,194.50,194.50,4700,194.50
2012-07-04,206.00,209.00,205.60,209.00,9200,209.00
2012-07-03,210.00,210.00,202.00,202.00,500,202.00
2012-07-02,205.75,209.75,202.00,202.00,12900,202.00
2012-06-29,207.50,210.00,202.25,210.00,47400,210.00
2012-06-28,203.50,206.25,202.00,202.00,10800,202.00
2012-06-27,207.00,207.00,203.00,203.75,6200,203.75
2012-06-26,202.00,202.00,202.00,202.00,000,202.00
2012-06-25,209.75,209.75,208.00,208.00,5000,208.00
2012-06-22,204.00,206.50,203.50,203.50,2200,203.50
2012-06-21,206.70,208.25,206.70,208.25,11900,208.25
2012-06-20,204.50,210.50,204.50,210.50,62200,210.50
2012-06-19,205.00,209.00,204.75,206.00,48500,206.00
2012-06-18,200.00,205.00,200.00,204.75,12600,204.75
2012-06-15,193.00,205.87,190.46,205.75,207800,205.75
2012-06-14,194.25,194.75,188.00,191.00,6200,191.00
2012-06-13,193.75,194.38,189.00,190.00,11600,190.00
2012-06-12,189.50,191.50,186.00,189.25,15000,189.25
2012-06-11,189.25,190.00,188.75,188.75,80000,188.75
2012-06-08,189.00,191.50,188.00,188.00,7600,188.00
2012-06-07,189.75,191.36,189.00,190.00,9300,190.00
2012-06-06,204.00,204.00,190.00,190.00,9900,190.00
2012-06-01,204.25,204.25,204.25,204.25,1700,204.25
2012-05-31,206.75,211.75,204.00,204.25,6400,204.25
2012-05-30,222.50,222.50,205.00,205.00,404200,205.00
2012-05-29,219.25,220.00,215.00,215.00,12800,215.00
2012-05-28,218.50,224.00,215.50,215.50,9700,215.50
2012-05-25,215.25,223.75,215.25,218.75,3800,218.75
2012-05-24,215.50,215.82,214.91,215.00,18400,215.00
2012-05-23,220.00,225.00,215.00,215.00,13900,215.00
2012-05-22,227.00,227.00,224.00,224.00,500,224.00
2012-05-21,228.00,228.00,224.25,224.50,96500,224.50
2012-05-18,228.57,228.57,228.57,228.57,9000,228.57
2012-05-17,225.25,232.00,225.00,226.25,7500,226.25
2012-05-16,225.00,232.00,225.00,229.75,5800,229.75
2012-05-14,227.00,229.00,225.00,228.50,38700,228.50
2012-05-11,229.75,233.72,225.00,227.75,14500,227.75
2012-05-10,225.50,229.50,225.00,225.00,11700,225.00
2012-05-09,230.00,230.00,223.25,225.00,39900,225.00
2012-05-08,242.50,242.50,230.50,230.50,19500,230.50
2012-05-04,250.00,250.00,242.00,245.00,45500,245.00
2012-05-03,253.75,256.00,250.00,252.00,51300,252.00
2012-05-02,256.75,256.75,253.00,254.00,54900,254.00
2012-05-01,255.25,257.62,255.00,255.50,459400,255.50
2012-04-30,257.25,260.00,255.50,255.50,17700,255.50
2012-04-27,259.00,260.00,255.25,259.00,2500,259.00
2012-04-26,262.00,262.00,255.00,255.50,64200,255.50
2012-04-25,258.06,258.25,258.06,258.25,2400,258.25
2012-04-24,256.25,260.25,256.09,256.75,14200,256.75
2012-04-23,257.00,260.25,256.00,256.50,3000,256.50
2012-04-20,260.00,262.00,257.00,257.50,2400,257.50
2012-04-19,262.25,262.25,257.00,257.00,400,257.00
2012-04-18,262.00,262.00,260.00,262.00,37900,262.00
2012-04-17,260.00,263.27,260.00,263.27,700,263.27
2012-04-16,257.25,265.00,256.95,264.50,45000,264.50
2012-04-13,258.00,258.00,253.00,256.50,30300,256.50
2012-04-12,258.75,258.75,258.75,258.75,200,258.75
2012-04-11,258.00,262.75,258.00,258.50,1600,258.50
2012-04-10,255.00,258.00,254.50,254.50,47300,254.50
2012-04-05,255.00,257.00,253.25,255.25,25600,255.25
2012-04-04,241.25,264.25,241.00,263.50,125500,263.50
2012-04-03,250.75,250.75,243.25,245.00,20900,245.00
2012-04-02,241.50,248.00,241.50,245.75,77300,245.75
2012-03-30,243.00,247.99,243.00,245.00,7900,245.00
2012-03-29,245.65,253.75,245.65,247.05,2142700,247.05
2012-03-28,248.00,255.00,248.00,253.75,3400,253.75
2012-03-27,251.75,255.00,250.00,250.75,819000,250.75
2012-03-26,250.00,251.00,247.88,251.00,45300,251.00
2012-03-23,250.00,253.00,246.00,247.25,31300,247.25
2012-03-22,256.25,256.25,256.25,256.25,000,256.25
2012-03-21,253.00,255.25,250.00,254.25,3500,254.25
2012-03-20,259.25,259.99,254.25,259.50,10800,259.50
2012-03-19,255.00,257.25,252.25,256.75,177600,256.75
2012-03-16,252.75,255.00,247.98,250.25,33500,250.25
2012-03-15,249.00,253.50,240.00,253.50,31600,253.50
2012-03-14,243.00,248.00,243.00,246.25,37100,246.25
2012-03-13,238.00,242.75,236.00,238.86,3725800,238.86
2012-03-12,240.00,240.00,233.00,233.00,219800,233.00
2012-03-09,235.00,237.63,235.00,235.50,2121800,235.50
2012-03-08,238.25,238.25,235.00,237.50,14300,237.50
2012-03-07,237.00,240.00,237.00,239.47,876600,239.47
2012-03-06,240.00,241.00,238.00,239.00,181400,239.00
2012-03-05,246.00,247.75,239.25,244.25,10500,244.25
2012-03-02,234.75,245.75,233.00,235.35,171300,235.35
2012-03-01,224.00,239.00,224.00,234.10,123300,234.10
2012-02-29,225.00,232.00,225.00,229.25,8100,229.25
2012-02-28,225.00,228.25,220.00,224.50,6500,224.50
2012-02-27,229.65,229.65,221.33,221.33,11900,221.33
2012-02-24,227.00,227.00,224.50,224.50,5700,224.50
2012-02-23,221.25,225.50,221.25,224.34,151600,224.34
2012-02-22,225.00,225.00,223.12,225.00,30400,225.00
2012-02-21,226.00,230.00,225.00,225.00,28200,225.00
2012-02-20,229.75,229.75,227.25,227.25,8500,227.25
2012-02-17,225.00,226.00,223.58,224.00,4800,224.00
2012-02-16,218.75,224.00,216.50,224.00,7300,224.00
2012-02-15,216.75,220.00,214.00,218.25,14800,218.25
2012-02-14,218.00,218.00,217.00,217.50,3300,217.50
2012-02-13,218.00,218.00,213.00,213.32,330400,213.32
2012-02-10,210.25,214.00,210.25,214.00,3600,214.00
2012-02-09,216.00,216.00,211.99,215.50,3400,215.50
2012-02-08,215.00,215.00,211.25,211.25,2100,211.25
2012-02-07,208.75,214.75,208.75,211.00,6600,211.00
2012-02-06,212.75,215.00,212.75,213.07,35400,213.07
2012-02-03,212.00,212.00,211.77,211.77,2100,211.77
2012-02-02,205.75,215.50,199.78,215.50,20000,215.50
2012-02-01,199.75,206.25,199.75,206.25,15200,206.25
2012-01-31,199.25,200.00,195.00,197.67,634300,197.67
2012-01-30,196.00,196.00,193.50,194.00,4500,194.00
2012-01-27,196.00,199.50,194.62,199.50,6000,199.50
2012-01-26,193.25,197.75,193.25,194.75,8600,194.75
2012-01-25,199.79,199.79,197.50,197.50,5400,197.50
2012-01-24,193.50,199.00,193.50,194.50,7600,194.50
2012-01-23,198.77,198.77,198.77,198.77,2400,198.77
2012-01-20,195.00,198.12,195.00,198.12,15000,198.12
2012-01-19,190.50,194.48,186.89,192.29,145100,192.29
2012-01-18,186.00,189.50,186.00,189.50,10400,189.50
2012-01-17,185.00,185.00,181.25,183.00,3700,183.00
2012-01-16,181.88,183.00,179.08,183.00,7100,183.00
2012-01-13,177.00,184.00,176.55,184.00,25300,184.00
2012-01-12,177.00,177.00,171.88,177.00,9700,177.00
2012-01-11,174.75,177.00,174.75,177.00,800,177.00
2012-01-10,173.00,176.00,168.00,176.00,49200,176.00
2012-01-09,165.50,170.00,165.50,169.50,16600,169.50
2012-01-06,165.00,168.00,162.00,167.75,94500,167.75
2012-01-05,160.50,163.50,159.25,160.24,190700,160.24
2012-01-04,161.25,165.70,159.25,161.75,4100,161.75
