Date,Open,High,Low,Close,Volume,Adj Close
2012-06-27,75.00,75.00,75.00,75.00,24000,75.00
2012-06-26,77.50,77.50,77.50,77.50,000,77.50
2012-06-25,78.00,78.00,78.00,78.00,000,78.00
2012-06-22,77.00,77.00,77.00,77.00,000,77.00
2012-06-21,77.00,77.00,77.00,77.00,000,77.00
2012-06-20,76.50,76.50,76.50,76.50,000,76.50
2012-06-19,77.88,77.88,77.88,77.88,1100,77.88
2012-06-18,76.00,76.00,76.00,76.00,000,76.00
2012-06-15,70.00,70.00,70.00,70.00,26500,70.00
2012-06-14,76.50,76.50,76.50,76.50,000,76.50
2012-06-13,76.50,76.50,76.50,76.50,000,76.50
2012-06-12,73.70,73.70,73.14,73.14,8300,73.14
2012-06-11,76.00,77.50,76.00,77.50,51500,77.50
2012-06-08,76.50,76.50,76.50,76.50,000,76.50
2012-06-07,82.00,82.00,77.04,77.04,14500,77.04
2012-06-06,94.50,94.50,94.50,94.50,000,94.50
2012-06-01,94.00,94.00,94.00,94.00,000,94.00
2012-05-31,92.00,92.00,92.00,92.00,4000,92.00
2012-05-30,92.00,96.50,92.00,96.50,21300,96.50
2012-05-29,92.50,92.50,92.50,92.50,000,92.50
2012-05-28,93.00,93.00,93.00,93.00,000,93.00
2012-05-25,94.50,94.50,94.50,94.50,000,94.50
2012-05-24,94.50,94.50,94.50,94.50,000,94.50
2012-05-23,94.50,94.50,94.50,94.50,000,94.50
2012-05-22,88.25,88.25,88.25,88.25,2000,88.25
2012-05-21,91.50,91.50,91.50,91.50,000,91.50
2012-05-18,92.50,92.50,92.50,92.50,000,92.50
2012-05-17,90.50,90.50,90.50,90.50,000,90.50
2012-05-16,89.52,93.50,89.52,93.50,6300,93.50
2012-05-14,10.30,101.30,95.30,95.30,5900,95.30
2012-05-11,98.50,98.50,98.50,98.50,000,98.50
2012-05-10,99.25,99.25,99.25,99.25,10000,99.25
2012-05-09,100.00,100.00,97.00,97.00,3000,97.00
2012-05-08,106.00,106.00,106.00,106.00,10000,106.00
2012-05-04,115.30,115.30,115.30,115.30,1500,115.30
2012-05-03,113.30,113.75,113.30,113.75,6700,113.75
2012-05-02,106.00,106.00,105.30,105.30,12800,105.30
2012-05-01,108.50,108.50,108.50,108.50,000,108.50
2012-04-30,107.30,107.30,107.30,107.30,9000,107.30
2012-04-27,108.50,108.50,108.50,108.50,000,108.50
2012-04-26,101.00,104.00,101.00,104.00,47800,104.00
2012-04-25,106.50,106.50,106.50,106.50,000,106.50
2012-04-24,106.00,106.00,106.00,106.00,7200,106.00
2012-04-23,108.50,108.50,108.50,108.50,000,108.50
2012-04-20,106.08,107.30,106.08,107.30,1400,107.30
2012-04-19,108.20,108.20,108.20,108.20,10000,108.20
2012-04-18,106.00,110.00,106.00,110.00,14800,110.00
2012-04-17,99.50,99.50,99.50,99.50,000,99.50
2012-04-16,97.50,97.50,97.50,97.50,000,97.50
2012-04-13,99.00,99.00,99.00,99.00,000,99.00
2012-04-12,94.00,94.00,94.00,94.00,8000,94.00
2012-04-11,97.00,97.00,97.00,97.00,000,97.00
2012-04-10,93.30,94.00,89.78,94.00,9000,94.00
2012-04-05,100.75,100.75,86.14,88.66,42000,88.66
2012-04-04,101.10,101.10,101.10,101.10,2400,101.10
2012-04-03,101.58,101.58,95.14,101.58,1600,101.58
2012-04-02,100.00,101.70,100.00,101.70,6000,101.70
2012-03-30,97.00,97.00,97.00,97.00,000,97.00
2012-03-29,98.00,98.00,98.00,98.00,000,98.00
2012-03-28,99.00,99.00,99.00,99.00,000,99.00
2012-03-27,99.50,99.50,99.50,99.50,000,99.50
2012-03-26,102.58,102.58,96.50,96.50,24700,96.50
2012-03-23,97.50,99.40,97.50,99.40,5000,99.40
2012-03-21,105.50,105.50,105.50,105.50,000,105.50
2012-03-20,103.14,103.14,103.14,103.14,1700,103.14
2012-03-19,111.50,111.50,108.40,108.75,5500,108.75
2012-03-16,119.00,119.00,115.05,115.05,5400,115.05
2012-03-15,119.00,119.00,114.00,114.00,18500,114.00
2012-03-14,113.00,113.00,113.00,113.00,000,113.00
2012-03-13,105.07,112.00,105.07,112.00,8300,112.00
2012-03-12,106.00,106.00,106.00,106.00,3700,106.00
2012-03-09,104.00,104.00,104.00,104.00,2000,104.00
2012-03-08,100.50,100.50,100.50,100.50,000,100.50
2012-03-07,102.00,102.00,102.00,102.00,2000,102.00
2012-03-06,97.25,97.25,95.00,95.00,3100,95.00
2012-03-05,97.50,98.25,97.50,98.25,4700,98.25
2012-03-02,99.80,101.60,99.80,101.60,3900,101.60
2012-03-01,101.00,101.00,101.00,101.00,000,101.00
2012-02-29,101.50,101.50,101.50,101.50,000,101.50
2012-02-28,94.35,94.35,94.35,94.35,3700,94.35
2012-02-27,99.70,99.70,99.70,99.70,400,99.70
2012-02-24,94.25,94.25,94.25,94.25,3200,94.25
2012-02-23,90.35,90.35,90.35,90.35,800,90.35
2012-02-22,93.50,93.50,93.50,93.50,000,93.50
2012-02-21,87.72,87.72,87.72,87.72,3000,87.72
2012-02-20,93.00,93.00,87.72,87.72,2300,87.72
2012-02-17,93.16,93.16,93.16,93.16,1000,93.16
2012-02-16,91.00,91.00,91.00,91.00,000,91.00
2012-02-15,93.28,93.28,93.28,93.28,800,93.28
2012-02-14,93.16,93.16,93.16,93.16,2500,93.16
2012-02-13,88.07,88.50,88.07,88.50,4700,88.50
2012-02-10,90.05,90.05,88.07,88.07,2100,88.07
2012-02-09,94.73,94.73,94.73,94.73,12000,94.73
2012-02-08,93.00,93.00,93.00,93.00,000,93.00
2012-02-07,91.50,91.50,91.50,91.50,000,91.50
2012-02-06,92.10,92.10,92.05,92.05,4600,92.05
2012-02-03,95.50,95.50,95.50,95.50,000,95.50
2012-02-02,98.28,98.28,98.28,98.28,800,98.28
2012-02-01,87.96,87.96,87.96,87.96,5000,87.96
2012-01-31,84.00,84.00,84.00,84.00,11900,84.00
2012-01-30,80.00,80.00,80.00,80.00,000,80.00
2012-01-27,80.00,80.00,80.00,80.00,000,80.00
2012-01-26,80.50,80.50,80.50,80.50,21000,80.50
2012-01-25,81.88,81.88,78.50,78.50,13100,78.50
2012-01-24,77.00,77.00,77.00,77.00,000,77.00
2012-01-23,76.50,76.50,76.50,76.50,000,76.50
2012-01-20,76.50,76.50,76.00,76.00,20000,76.00
2012-01-19,77.50,77.50,75.00,75.00,35400,75.00
2012-01-18,79.50,79.50,79.50,79.50,000,79.50
2012-01-17,77.60,77.60,77.60,77.60,1000,77.60
2012-01-16,79.00,79.00,79.00,79.00,5000,79.00
2012-01-13,72.66,75.40,70.06,75.40,294100,75.40
2012-01-12,77.55,85.00,73.58,76.50,238800,76.50
2012-01-11,78.40,78.40,76.00,76.00,6700,76.00
2012-01-10,78.00,78.00,78.00,78.00,16000,78.00
2012-01-09,78.50,78.96,78.40,78.40,21100,78.40
2012-01-06,78.40,78.40,78.40,78.40,4600,78.40
2012-01-05,78.60,78.60,77.00,77.00,12300,77.00
2012-01-04,80.00,80.00,79.50,79.50,37700,79.50
2012-01-03,67.70,67.70,67.70,67.70,5200,67.70
2011-12-30,70.50,70.50,70.50,70.50,000,70.50
2011-12-29,67.50,67.50,67.50,67.50,20000,67.50
2011-12-28,68.12,72.80,68.00,68.00,8100,68.00
2011-12-23,69.60,69.60,69.60,69.60,7500,69.60
2011-12-22,67.00,67.00,67.00,67.00,3000,67.00
2011-12-21,70.00,70.00,70.00,70.00,000,70.00
2011-12-20,70.00,70.60,70.00,70.60,13100,70.60
2011-12-19,73.95,73.95,70.00,70.00,4600,70.00
2011-12-16,72.00,72.00,72.00,72.00,15000,72.00
2011-12-15,71.84,71.84,71.84,71.84,5000,71.84
2011-12-14,74.50,74.50,74.50,74.50,000,74.50
2011-12-13,78.94,78.94,78.94,78.94,5000,78.94
2011-12-12,76.48,76.48,76.48,76.48,3800,76.48
2011-12-09,80.00,80.00,76.15,76.15,2400,76.15
2011-12-08,81.90,81.90,79.94,79.94,10800,79.94
2011-12-07,80.50,80.50,78.00,78.00,39900,78.00
2011-12-06,110.00,110.00,87.25,87.25,14300,87.25
2011-12-05,110.30,115.00,110.30,110.40,7100,110.40
2011-12-02,112.00,112.00,112.00,112.00,000,112.00
2011-12-01,111.00,111.00,111.00,111.00,000,111.00
2011-11-30,105.60,105.60,105.60,105.60,900,105.60
2011-11-29,108.00,108.00,108.00,108.00,000,108.00
2011-11-28,102.50,102.50,102.50,102.50,000,102.50
2011-11-25,101.50,101.50,101.50,101.50,000,101.50
2011-11-24,98.35,98.35,98.35,98.35,2500,98.35
2011-11-23,105.84,105.84,105.84,105.84,500,105.84
2011-11-22,103.00,103.00,103.00,103.00,000,103.00
2011-11-21,102.14,102.14,102.00,102.00,13800,102.00
2011-11-18,107.50,107.50,107.50,107.50,20000,107.50
2011-11-17,109.28,109.28,109.28,109.28,700,109.28
2011-11-16,111.50,111.50,111.50,111.50,000,111.50
2011-11-15,111.50,111.50,111.50,111.50,000,111.50
2011-11-14,112.50,112.50,112.50,112.50,000,112.50
2011-11-11,109.52,109.52,109.52,109.52,5000,109.52
2011-11-10,104.16,104.16,104.16,104.16,5000,104.16
2011-11-09,103.20,103.20,103.20,103.20,1200,103.20
2011-11-08,114.00,114.52,114.00,114.52,5300,114.52
2011-11-07,110.50,110.50,110.50,110.50,000,110.50
2011-11-04,105.00,105.00,105.00,105.00,10000,105.00
2011-11-03,104.00,104.00,104.00,104.00,000,104.00
2011-11-02,97.10,103.56,97.10,103.56,142000,103.56
2011-11-01,96.08,96.08,95.12,95.12,15000,95.12
2011-10-31,100.11,100.11,100.11,100.11,45000,100.11
2011-10-28,97.50,97.50,97.50,97.50,4400,97.50
2011-10-27,97.50,97.50,97.50,97.50,000,97.50
2011-10-26,96.50,96.50,96.50,96.50,000,96.50
2011-10-25,97.82,97.82,95.00,95.00,3700,95.00
2011-10-24,90.65,94.82,90.65,94.82,14500,94.82
2011-10-21,86.50,86.50,86.50,86.50,000,86.50
2011-10-20,84.00,88.32,84.00,88.32,17100,88.32
2011-10-19,90.50,90.50,90.50,90.50,000,90.50
2011-10-18,90.50,90.50,90.50,90.50,000,90.50
2011-10-17,92.00,92.00,92.00,92.00,000,92.00
2011-10-14,94.92,94.92,90.05,90.05,2800,90.05
2011-10-13,92.00,92.00,92.00,92.00,000,92.00
2011-10-12,91.00,91.00,91.00,91.00,000,91.00
2011-10-11,89.05,89.05,89.05,89.05,1100,89.05
2011-10-10,89.05,89.05,89.05,89.05,400,89.05
2011-10-07,93.00,93.00,93.00,93.00,000,93.00
2011-10-06,98.46,98.46,98.46,98.46,1000,98.46
2011-10-05,92.00,92.00,92.00,92.00,1000,92.00
2011-10-04,88.50,88.50,88.50,88.50,000,88.50
2011-10-03,84.09,91.00,84.09,91.00,16600,91.00
2011-09-30,89.00,89.00,89.00,89.00,000,89.00
2011-09-29,87.65,88.00,87.65,88.00,30000,88.00
2011-09-28,91.75,92.15,91.75,91.75,81200,91.75
2011-09-27,93.02,94.40,93.02,94.40,6700,94.40
2011-09-26,93.20,93.20,93.20,93.20,9000,93.20
2011-09-23,99.60,99.60,90.00,90.00,71800,90.00
2011-09-22,99.00,100.00,100.00,100.00,4900,100.00
2011-09-21,103.20,103.20,103.20,103.20,500,103.20
2011-09-20,96.90,96.90,96.90,96.90,1000,96.90
2011-09-19,101.00,101.00,101.00,101.00,000,101.00
2011-09-16,100.00,100.00,100.00,100.00,000,100.00
2011-09-15,96.35,102.22,96.35,97.50,10800,97.50
2011-09-14,97.00,97.00,97.00,97.00,1700,97.00
2011-09-13,105.00,105.00,105.00,105.00,2500,105.00
2011-09-12,103.80,104.80,103.80,104.80,5100,104.80
2011-09-09,106.40,106.40,105.04,105.04,1900,105.04
2011-09-08,105.50,105.50,105.50,105.50,000,105.50
2011-09-07,102.50,103.05,102.50,102.50,75600,102.50
2011-09-06,103.50,103.50,103.50,103.50,000,103.50
2011-09-05,101.08,103.73,101.08,101.08,200,101.08
2011-09-02,103.65,103.65,103.65,103.65,20500,103.65
2011-09-01,109.00,109.00,105.40,105.40,177400,105.40
2011-08-31,109.00,110.74,105.10,110.74,144800,110.74
2011-08-30,107.45,107.70,107.45,107.70,173400,107.70
2011-08-26,105.00,107.90,103.70,103.70,296800,103.70
2011-08-25,107.00,107.00,101.09,106.16,219200,106.16
2011-08-24,105.15,105.15,103.20,103.20,34900,103.20
2011-08-23,107.00,107.00,107.00,107.00,000,107.00
2011-08-22,108.56,108.56,102.00,102.00,3300,102.00
2011-08-19,102.00,109.38,102.00,109.38,5600,109.38
2011-08-18,112.40,112.40,112.40,112.40,2500,112.40
2011-08-17,111.00,115.25,110.00,115.25,21400,115.25
2011-08-16,126.91,126.91,121.50,121.50,12300,121.50
2011-08-15,122.00,122.00,122.00,122.00,2500,122.00
2011-08-12,118.91,118.91,118.91,118.91,800,118.91
2011-08-11,111.16,112.92,106.00,112.92,19000,112.92
2011-08-10,113.16,117.00,108.00,108.00,32400,108.00
2011-08-09,112.65,114.00,108.20,108.20,8700,108.20
2011-08-08,122.00,123.84,109.75,109.75,21000,109.75
2011-08-05,120.00,126.65,120.00,126.65,10400,126.65
2011-08-04,127.35,127.35,127.35,127.35,3500,127.35
2011-08-03,128.16,128.16,128.16,128.16,1000,128.16
2011-08-02,132.80,139.82,132.80,139.82,2100,139.82
2011-08-01,135.50,135.50,135.50,135.50,000,135.50
2011-07-29,135.00,135.00,135.00,135.00,000,135.00
2011-07-28,132.00,132.00,132.00,132.00,100,132.00
2011-07-27,146.50,146.50,136.50,137.00,3600,137.00
2011-07-26,139.65,140.50,135.00,140.50,13200,140.50
2011-07-25,135.00,135.00,135.00,135.00,5800,135.00
2011-07-22,137.09,137.09,137.09,137.09,600,137.09
2011-07-21,141.00,141.00,141.00,141.00,000,141.00
2011-07-20,140.00,145.15,138.00,145.15,220100,145.15
2011-07-19,148.00,148.00,148.00,148.00,000,148.00
2011-07-18,145.80,147.25,145.00,147.25,29900,147.25
2011-07-15,145.00,151.65,145.00,151.65,43600,151.65
2011-07-14,151.90,152.21,145.50,152.21,27600,152.21
2011-07-13,156.20,156.20,151.05,151.05,41800,151.05
2011-07-12,150.00,153.62,150.00,153.62,11500,153.62
2011-07-11,163.00,163.00,150.00,150.20,32300,150.20
2011-07-08,156.20,156.20,154.00,156.00,82000,156.00
2011-07-07,151.88,162.74,151.88,162.74,24600,162.74
2011-07-06,151.00,151.00,151.00,151.00,000,151.00
2011-07-05,153.80,154.75,150.00,150.00,20100,150.00
2011-07-04,152.00,155.00,152.00,152.20,8100,152.20
2011-07-01,146.08,146.08,146.08,146.08,2600,146.08
2011-06-30,145.00,149.00,136.00,149.00,18800,149.00
2011-06-29,131.00,138.50,131.00,138.50,16500,138.50
2011-06-28,119.50,119.50,119.50,119.50,000,119.50
2011-06-27,121.00,121.00,121.00,121.00,000,121.00
2011-06-24,123.00,123.00,123.00,123.00,000,123.00
2011-06-23,119.20,119.20,119.20,119.20,4900,119.20
2011-06-22,120.00,124.00,120.00,124.00,36600,124.00
2011-06-21,112.65,112.65,112.65,112.65,800,112.65
2011-06-20,109.50,109.50,109.50,109.50,000,109.50
2011-06-17,105.00,105.00,105.00,105.00,2800,105.00
2011-06-16,113.00,113.00,113.00,113.00,000,113.00
2011-06-15,106.00,107.50,106.00,107.50,9100,107.50
2011-06-14,106.26,106.26,106.26,106.26,1400,106.26
2011-06-13,109.30,110.18,109.30,110.18,6800,110.18
2011-06-10,113.00,113.00,113.00,113.00,000,113.00
2011-06-09,109.20,109.20,109.20,109.20,1000,109.20
2011-06-08,109.50,109.50,109.50,109.50,600,109.50
2011-06-07,124.00,124.00,124.00,124.00,1000,124.00
2011-06-06,112.50,124.80,112.50,124.80,600,124.80
2011-06-03,119.00,119.00,119.00,119.00,000,119.00
2011-06-02,123.40,123.40,123.40,123.40,2400,123.40
2011-06-01,125.00,125.00,120.00,120.00,63000,120.00
2011-05-31,123.20,128.00,123.20,128.00,2800,128.00
