Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,101.00,102.00,99.75,101.25,328600,101.50
2012-08-02,101.00,102.00,99.75,101.50,343400,101.50
2012-08-01,102.00,102.00,100.00,101.00,229600,101.00
2012-07-31,102.00,103.00,99.50,101.00,485700,101.00
2012-07-27,99.50,101.50,99.00,101.50,112500,101.50
2012-07-26,101.00,101.00,100.00,101.00,51100,101.00
2012-07-25,100.50,102.00,100.00,101.00,342700,101.00
2012-07-24,100.00,100.75,99.50,100.50,210100,100.50
2012-07-23,100.50,101.50,100.25,101.00,4814800,101.00
2012-07-20,99.75,102.00,99.00,102.00,153000,102.00
2012-07-19,98.50,100.75,98.50,100.75,148300,100.75
2012-07-18,99.00,101.00,99.00,100.00,83400,100.00
2012-07-17,100.00,100.75,99.00,99.00,174700,99.00
2012-07-16,100.00,100.75,99.00,99.50,4140900,99.50
2012-07-13,98.00,99.00,98.00,99.00,909900,99.00
2012-07-12,98.75,98.75,98.00,98.75,333700,98.75
2012-07-11,100.00,100.00,98.75,100.00,82700,100.00
2012-07-10,102.00,103.94,100.75,102.00,1051900,102.00
2012-07-09,102.50,102.50,100.50,101.75,79500,101.75
2012-07-06,101.00,103.00,101.00,102.50,507600,102.50
2012-07-05,101.50,101.50,99.00,100.00,261800,100.00
2012-07-04,104.00,104.00,99.50,101.00,748400,101.00
2012-07-03,100.25,102.00,100.00,102.00,3181000,102.00
2012-07-02,101.75,102.50,100.25,102.50,450100,102.50
2012-06-29,102.00,102.00,99.00,101.75,644700,101.75
2012-06-28,101.00,102.25,99.00,102.25,627300,102.25
2012-06-27,105.70,106.00,100.00,102.00,6812600,102.00
2012-06-26,112.00,114.00,112.00,113.00,196700,113.00
2012-06-25,111.00,113.95,110.59,112.00,521100,112.00
2012-06-22,113.25,114.00,111.00,111.00,55000,111.00
2012-06-21,114.25,115.35,111.25,114.75,106900,114.75
2012-06-20,116.00,116.00,114.25,115.00,121000,115.00
2012-06-19,114.50,117.00,114.25,115.50,59200,115.50
2012-06-18,115.00,116.00,114.25,115.00,159200,115.00
2012-06-15,110.75,114.75,110.50,114.75,495600,114.75
2012-06-14,111.00,112.00,110.00,110.00,74000,110.00
2012-06-13,111.50,112.00,110.75,110.75,30700,110.75
2012-06-12,110.50,112.00,109.25,112.00,372700,112.00
2012-06-11,113.50,113.50,109.56,110.00,122800,110.00
2012-06-08,113.00,113.50,112.00,112.75,23500,112.75
2012-06-07,112.25,113.50,111.12,112.75,90800,112.75
2012-06-06,113.50,113.50,110.00,112.00,282100,112.00
2012-06-01,113.50,113.50,110.50,112.50,146900,112.50
2012-05-31,112.00,113.50,109.50,113.50,996200,113.50
2012-05-30,111.00,113.00,111.00,112.00,95500,112.00
2012-05-29,109.00,113.75,109.00,113.75,31700,113.75
2012-05-28,110.75,112.70,109.00,109.00,49200,109.00
2012-05-25,111.75,112.25,110.05,111.00,135000,111.00
2012-05-24,110.00,111.75,108.95,111.00,106500,111.00
2012-05-23,111.25,113.00,109.25,109.25,173000,109.25
2012-05-22,110.75,112.00,109.50,111.25,204200,111.25
2012-05-21,110.00,111.25,109.00,110.00,93100,110.00
2012-05-18,110.00,110.00,109.00,109.00,128300,109.00
2012-05-17,114.00,114.00,109.50,110.25,212900,110.25
2012-05-16,110.25,111.75,107.00,110.50,247100,110.50
2012-05-14,112.75,113.02,110.62,112.00,93600,112.00
2012-05-11,112.50,114.25,111.50,113.50,98300,113.50
2012-05-10,114.75,114.75,111.50,113.25,75700,113.25
2012-05-09,111.75,113.75,110.00,112.25,201800,112.25
2012-05-08,111.75,115.00,110.25,110.25,827800,110.25
2012-05-04,111.25,113.05,111.00,111.00,350500,111.00
2012-05-03,112.00,114.62,111.25,112.00,401400,112.00
2012-05-02,113.75,115.00,111.75,112.00,733900,112.00
2012-05-01,112.75,115.00,111.93,113.25,390900,113.25
2012-04-30,113.00,113.00,111.00,112.00,222600,112.00
2012-04-27,112.75,114.75,112.00,112.75,429500,112.75
