Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,218.00,219.00,215.50,219.00,53400,217.00
2012-08-01,217.00,218.00,215.26,217.00,60100,217.00
2012-07-31,216.54,218.50,215.25,218.50,56000,218.50
2012-07-30,217.00,217.65,214.40,217.00,45800,217.00
2012-07-27,212.50,216.00,212.00,216.00,39500,216.00
2012-07-26,210.50,214.50,210.50,213.50,62100,213.50
2012-07-25,209.50,212.00,207.25,210.00,55000,210.00
2012-07-24,210.00,211.25,208.00,209.75,87700,209.75
2012-07-23,210.50,210.50,208.06,209.31,73400,209.31
2012-07-20,214.50,215.00,210.00,210.00,103000,210.00
2012-07-19,214.50,214.60,212.00,214.60,82700,214.60
2012-07-18,212.35,213.50,210.50,213.40,95500,213.40
2012-07-17,210.50,212.99,209.00,209.00,81900,209.00
2012-07-16,212.75,213.00,211.00,212.49,32600,212.49
2012-07-13,210.00,212.85,210.00,212.75,96800,212.75
2012-07-12,210.00,210.00,209.11,209.50,84700,209.50
2012-07-11,213.00,213.49,212.00,213.49,215500,213.49
2012-07-10,216.50,217.50,214.31,216.00,88500,216.00
2012-07-09,218.00,218.41,215.30,217.50,64400,217.50
2012-07-06,219.75,219.75,215.51,219.00,108500,219.00
2012-07-05,218.00,220.75,218.00,220.25,49100,220.25
2012-07-04,218.00,220.75,218.00,218.00,91900,218.00
2012-07-03,220.00,220.75,218.20,219.20,85400,219.20
2012-07-02,216.75,219.75,216.37,218.50,104000,218.50
2012-06-29,217.00,219.00,215.02,218.00,124200,218.00
2012-06-28,214.23,214.25,214.25,214.25,500,214.25
2012-06-27,214.00,214.00,212.00,213.00,26100,213.00
2012-06-26,212.00,213.00,211.00,211.50,165000,211.50
2012-06-25,210.25,212.00,210.00,211.00,62200,211.00
2012-06-22,211.00,211.00,208.25,208.25,58000,208.25
2012-06-21,214.50,214.75,211.00,211.00,38100,211.00
2012-06-20,214.00,214.75,212.61,214.75,40700,214.75
2012-06-19,211.75,215.00,211.61,215.00,52400,215.00
2012-06-18,210.25,213.50,210.25,212.50,70100,212.50
2012-06-15,212.00,213.39,210.12,210.25,114800,210.25
2012-06-14,210.25,212.39,210.25,211.00,45800,211.00
2012-06-13,212.30,213.00,211.00,211.15,33400,211.15
2012-06-12,212.00,212.50,211.50,211.50,65900,211.50
2012-06-11,215.56,216.50,212.75,213.50,51100,213.50
2012-06-08,215.00,216.50,211.89,216.50,73000,216.50
2012-06-07,211.75,214.70,211.50,214.00,112200,214.00
2012-06-06,213.50,214.00,211.50,213.50,217200,213.50
2012-06-01,211.00,213.00,211.00,211.00,60100,211.00
2012-05-31,213.00,213.25,211.25,213.00,96200,213.00
2012-05-30,213.75,213.75,211.50,211.95,95100,211.95
2012-05-29,215.00,217.00,214.50,217.00,62200,217.00
2012-05-28,214.00,215.00,212.50,212.50,80800,212.50
2012-05-25,211.00,213.75,211.00,213.50,55200,213.50
2012-05-24,212.00,214.00,212.00,214.00,72900,214.00
2012-05-23,210.00,213.00,210.00,210.50,66700,210.50
2012-05-22,213.00,215.50,210.50,215.50,59500,215.50
2012-05-21,211.50,212.50,208.50,210.00,100700,210.00
2012-05-14,216.00,216.00,213.00,215.00,93800,215.00
2012-05-11,218.75,220.75,216.61,220.75,94400,220.75
2012-05-10,218.25,219.24,217.64,219.00,35200,219.00
2012-05-09,220.25,221.99,216.75,218.49,103100,218.49
2012-05-08,223.00,223.99,222.00,222.00,74800,222.00
2012-05-04,226.00,226.49,223.00,223.00,76500,223.00
2012-05-03,228.75,230.00,225.25,225.25,74200,225.25
2012-05-02,231.00,231.00,229.36,231.00,68700,231.00
2012-05-01,226.00,231.00,225.51,231.00,78800,231.00
2012-04-30,224.25,227.00,223.25,224.00,57400,224.00
2012-04-27,227.50,227.50,225.50,227.00,121000,227.00
2012-04-26,227.00,228.00,225.10,226.00,50500,226.00
2012-04-25,228.39,228.39,226.69,226.69,38800,226.69
2012-04-24,227.00,228.50,225.50,226.00,96400,226.00
2012-04-23,227.00,227.99,225.17,227.00,119100,227.00
2012-04-20,230.00,230.00,226.86,229.50,104800,229.50
2012-04-19,230.00,232.00,229.00,231.00,66900,231.00
2012-04-18,230.00,230.79,230.00,230.00,39700,230.00
2012-04-17,226.50,229.50,225.00,229.50,129100,229.50
2012-04-16,229.00,230.00,224.85,229.00,80600,229.00
2012-04-13,231.00,231.50,225.25,225.50,260300,225.50
2012-04-12,225.25,231.00,225.00,229.50,113700,229.50
2012-04-11,227.00,228.39,224.00,227.00,79100,227.00
