Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,243.60,244.25,241.00,242.00,24600,242.90
2012-08-01,241.00,243.93,240.25,242.90,33000,242.90
2012-07-31,240.25,242.84,240.00,240.00,117300,240.00
2012-07-30,239.25,244.00,239.25,240.00,55100,240.00
2012-07-27,239.00,240.70,238.27,238.50,23100,238.50
2012-07-26,236.50,239.10,236.50,237.00,37100,237.00
2012-07-25,232.75,234.95,231.25,231.75,40800,231.75
2012-07-24,237.48,233.00,233.00,233.00,25900,233.00
2012-07-23,236.25,237.65,233.36,237.50,30500,237.50
2012-07-20,238.25,241.50,236.00,236.00,47900,236.00
2012-07-19,239.00,240.76,238.25,238.50,40300,238.50
2012-07-18,235.00,239.65,234.00,239.65,43100,239.65
2012-07-17,240.50,240.65,234.00,234.00,54400,234.00
2012-07-16,240.00,241.64,237.12,238.75,27900,238.75
2012-07-13,238.25,240.00,238.19,240.00,10900,240.00
2012-07-12,240.00,241.14,238.00,238.00,19800,238.00
2012-07-11,240.25,243.29,238.00,238.00,22700,238.00
2012-07-10,241.25,244.35,241.00,241.00,20600,241.00
2012-07-09,242.25,242.75,240.32,242.75,22500,242.75
2012-07-06,245.00,245.11,243.00,244.50,18700,244.50
2012-07-05,246.20,246.88,246.20,246.88,8900,246.88
2012-07-04,244.00,246.50,243.00,243.00,16400,243.00
2012-07-03,244.04,244.04,244.00,244.00,21700,244.00
2012-07-02,240.50,244.00,239.00,239.00,38200,239.00
2012-06-29,238.00,240.04,235.00,237.00,20700,237.00
2012-06-28,235.00,235.00,233.00,233.25,18700,233.25
2012-06-27,234.65,234.80,232.33,234.00,15300,234.00
2012-06-26,234.00,235.55,232.78,233.00,65800,233.00
2012-06-25,237.35,237.35,232.86,232.86,28200,232.86
2012-06-22,234.25,236.11,234.25,236.11,5200,236.11
2012-06-21,239.00,240.55,238.20,239.00,28200,239.00
2012-06-20,240.75,240.75,238.11,239.00,36600,239.00
2012-06-19,237.75,239.50,237.50,238.00,55400,238.00
2012-06-18,239.00,239.00,234.25,235.25,17400,235.25
2012-06-15,236.75,237.00,233.00,233.00,34100,233.00
2012-06-14,233.50,235.36,231.60,233.00,12600,233.00
2012-06-13,236.38,238.39,232.75,234.50,31400,234.50
2012-06-12,239.25,239.75,236.00,236.00,6500,236.00
2012-06-11,244.00,246.00,240.00,244.00,25500,244.00
2012-06-08,241.00,241.00,236.38,240.50,6100,240.50
2012-06-07,238.00,240.50,235.85,240.50,12000,240.50
2012-06-06,234.25,238.00,234.00,238.00,14100,238.00
2012-06-01,234.25,234.76,231.27,231.50,29500,231.50
2012-05-31,236.00,238.50,236.00,237.00,28900,237.00
2012-05-30,235.75,235.75,233.50,233.50,32700,233.50
2012-05-29,236.27,238.20,236.00,238.04,13500,238.04
2012-05-28,235.00,237.47,235.00,237.00,25900,237.00
2012-05-25,233.25,237.24,232.00,232.00,17300,232.00
2012-05-24,233.88,235.99,233.88,235.25,20600,235.25
2012-05-23,236.75,236.75,233.00,233.00,20900,233.00
2012-05-22,235.75,239.20,235.25,238.00,42900,238.00
2012-05-21,235.25,238.20,234.00,234.00,43000,234.00
2012-05-14,248.00,248.00,241.19,243.25,59100,243.25
2012-05-11,248.50,250.00,244.50,250.00,31500,250.00
2012-05-10,247.50,250.50,247.50,250.50,1100,250.50
2012-05-09,247.00,249.93,243.50,243.50,14500,243.50
2012-05-08,253.00,255.18,246.00,246.00,34900,246.00
2012-05-04,261.75,262.80,255.50,259.00,50900,259.00
2012-05-03,264.00,264.50,263.19,264.50,17100,264.50
2012-05-02,264.00,264.00,260.75,261.25,63800,261.25
2012-05-01,262.25,262.25,259.53,262.25,15200,262.25
2012-04-30,262.00,262.25,259.52,260.61,31700,260.61
2012-04-27,258.75,260.00,255.36,260.00,17500,260.00
2012-04-26,258.25,258.75,254.85,258.75,13400,258.75
2012-04-25,256.00,258.14,254.00,254.00,36000,254.00
2012-04-24,252.50,255.74,252.00,252.00,54300,252.00
2012-04-23,256.25,256.50,251.00,251.00,44900,251.00
2012-04-20,257.45,260.14,256.50,256.50,39800,256.50
2012-04-19,258.25,260.64,256.00,256.00,18600,256.00
2012-04-18,260.64,260.64,256.55,256.55,21800,256.55
2012-04-17,255.00,257.85,252.50,256.75,40800,256.75
2012-04-16,257.24,260.89,252.50,252.50,37900,252.50
2012-04-13,259.25,261.10,257.25,257.25,24300,257.25
2012-04-12,256.25,262.50,255.25,256.00,26200,256.00
2012-04-11,253.25,257.25,253.25,255.00,15200,255.00
2012-04-10,256.75,257.89,254.00,254.00,20500,254.00
2012-04-05,256.25,260.40,256.25,256.50,20300,256.50
2012-04-04,264.25,267.00,256.00,256.00,43400,256.00
2012-04-03,265.25,268.00,265.25,268.00,20400,268.00
2012-04-02,261.75,265.00,258.57,265.00,18700,265.00
2012-03-30,262.75,264.00,261.85,264.00,17200,264.00
2012-03-29,262.75,265.25,256.81,258.50,82300,258.50
2012-03-28,267.00,268.25,263.00,263.00,28700,263.00
2012-03-27,269.25,269.25,266.00,266.00,24300,266.00
2012-03-26,265.25,269.00,264.75,269.00,37000,269.00
2012-03-23,264.00,265.75,262.20,263.00,67900,263.00
2012-03-22,263.75,264.75,261.25,261.25,6300,261.25
2012-03-21,266.75,268.00,264.25,264.50,51200,264.50
2012-03-20,266.00,267.76,263.75,266.50,107100,266.50
2012-03-19,265.33,267.75,265.33,267.75,21600,267.75
2012-03-16,265.00,267.50,264.75,265.00,37100,265.00
2012-03-15,264.75,265.75,262.50,262.50,31000,262.50
2012-03-14,265.25,268.00,264.50,265.50,20800,265.50
2012-03-13,258.75,265.00,258.75,265.00,26500,265.00
2012-03-12,261.25,261.25,256.00,258.00,28800,258.00
2012-03-09,260.00,261.25,257.00,257.00,26700,257.00
2012-03-08,257.25,260.00,257.25,259.75,145000,259.75
2012-03-07,253.25,256.50,253.25,253.61,19900,253.61
2012-03-06,257.25,260.00,251.50,251.50,44600,251.50
2012-03-05,260.50,261.13,258.81,259.00,15700,259.00
2012-03-02,261.75,261.75,261.25,261.25,39000,261.25
2012-03-01,261.25,263.00,259.61,263.00,39400,263.00
2012-02-29,260.00,260.00,259.00,259.00,26700,259.00
2012-02-28,262.00,264.00,260.00,264.00,19300,264.00
2012-02-27,261.25,261.25,258.36,260.50,40900,260.50
2012-02-24,257.00,263.25,256.25,260.75,65300,260.75
2012-02-23,258.00,259.50,256.50,256.94,51000,256.94
2012-02-22,256.50,258.50,256.00,257.60,76000,257.60
2012-02-21,258.00,259.00,256.50,258.25,48100,258.25
2012-02-20,258.89,259.25,257.00,257.00,40400,257.00
2012-02-17,256.25,257.10,255.44,255.44,24600,255.44
2012-02-16,253.00,254.95,252.00,252.55,49600,252.55
2012-02-15,255.64,255.85,254.50,255.55,17300,255.55
2012-02-14,254.00,255.89,252.51,253.50,26300,253.50
2012-02-13,252.75,255.00,252.27,255.00,81900,255.00
2012-02-10,250.25,253.00,248.13,253.00,47900,253.00
2012-02-09,252.00,254.73,251.11,253.75,88700,253.75
2012-02-08,251.75,252.00,248.25,248.25,24300,248.25
2012-02-07,249.50,251.25,248.25,250.00,30500,250.00
2012-02-06,250.00,252.81,249.00,252.00,60500,252.00
2012-02-03,247.50,252.25,246.20,252.25,46400,252.25
2012-02-02,246.75,248.00,243.86,248.00,18600,248.00
2012-02-01,243.75,247.00,242.31,247.00,37900,247.00
2012-01-31,240.50,242.47,238.00,238.00,41900,238.00
2012-01-30,238.75,239.50,236.81,237.00,16600,237.00
2012-01-27,241.20,242.14,238.56,240.89,16800,240.89
2012-01-26,240.25,242.75,240.25,241.51,21400,241.51
2012-01-25,237.75,238.43,236.23,237.75,11100,237.75
2012-01-24,239.00,240.98,236.41,237.00,28000,237.00
2012-01-23,238.75,241.75,237.31,239.00,45200,239.00
2012-01-20,238.00,239.00,236.27,238.57,40700,238.57
2012-01-19,233.75,236.72,231.80,235.75,18300,235.75
2012-01-18,230.52,233.00,230.52,231.25,19300,231.25
2012-01-17,229.25,232.75,229.25,230.00,115200,230.00
2012-01-16,225.50,227.75,224.50,226.00,28400,226.00
2012-01-13,227.25,229.05,225.50,225.75,25400,225.75
2012-01-12,227.25,229.80,226.00,226.00,89300,226.00
2012-01-11,225.25,228.09,225.00,225.00,23600,225.00
