Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,677.00,686.00,675.00,677.00,5500,678.60
2012-08-02,677.00,686.00,673.00,678.60,15300,678.60
2012-08-01,685.50,685.65,677.00,677.00,5300,677.00
2012-07-31,689.00,689.00,678.00,684.97,58500,684.97
2012-07-27,686.50,690.00,681.00,685.00,18700,685.00
2012-07-26,690.00,702.50,687.00,687.00,19300,687.00
2012-07-25,696.00,698.00,690.00,690.00,14600,690.00
2012-07-24,693.00,700.00,693.00,696.00,7500,696.00
2012-07-23,700.00,700.00,694.00,697.00,6000,697.00
2012-07-20,700.00,700.00,691.50,699.00,18400,699.00
2012-07-19,695.00,700.00,687.43,700.00,17200,700.00
2012-07-18,695.00,696.50,685.00,696.50,7700,696.50
2012-07-17,690.00,690.00,680.50,690.00,51300,690.00
2012-07-16,687.50,694.50,681.00,686.50,38900,686.50
2012-07-13,688.50,695.00,685.00,692.00,42800,692.00
2012-07-12,686.00,692.50,686.00,691.00,12600,691.00
2012-07-11,688.50,695.50,685.00,694.00,34900,694.00
2012-07-10,690.00,698.00,686.50,690.21,58900,690.21
2012-07-09,679.50,694.50,670.00,694.50,34900,694.50
2012-07-06,674.00,676.00,665.00,676.00,16700,676.00
2012-07-05,660.00,675.00,660.00,665.50,63400,665.50
2012-07-04,670.00,670.00,659.00,659.00,8600,659.00
2012-07-03,655.00,668.00,648.00,668.00,27600,668.00
2012-07-02,642.00,650.00,637.50,650.00,26700,650.00
2012-06-29,638.00,645.02,627.00,642.00,104400,642.00
2012-06-28,648.00,648.50,631.00,631.00,42200,631.00
2012-06-27,671.50,671.50,644.00,644.00,88400,644.00
2012-06-26,665.00,677.50,660.00,671.50,38300,671.50
2012-06-25,686.50,686.50,660.00,660.00,21600,660.00
2012-06-22,677.00,690.00,677.00,683.00,13500,683.00
2012-06-21,681.50,693.00,681.00,688.00,12800,688.00
2012-06-20,673.00,689.50,670.50,683.00,47700,683.00
2012-06-19,662.50,681.50,662.50,678.50,29800,678.50
