Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,228.00,228.00,225.10,226.75,27900,227.20
2012-08-01,227.50,227.50,224.35,227.20,34500,227.20
2012-07-31,223.75,227.50,220.85,227.50,127100,227.50
2012-07-30,222.00,224.75,218.53,224.75,185100,224.75
2012-07-27,219.00,221.50,219.00,221.50,131200,221.50
2012-07-26,216.00,218.00,216.00,218.00,190000,218.00
2012-07-25,216.00,217.00,216.00,216.00,275800,216.00
2012-07-24,217.25,217.25,215.00,215.00,108400,215.00
2012-07-23,215.75,219.65,214.00,215.50,99100,215.50
2012-07-20,218.50,220.35,218.26,219.00,66300,219.00
2012-07-19,219.75,221.00,219.50,220.00,183800,220.00
2012-07-18,219.50,222.07,217.78,219.75,70200,219.75
2012-07-17,219.75,221.50,218.50,219.00,30600,219.00
2012-07-16,221.99,221.99,218.78,218.78,44900,218.78
2012-07-13,219.50,221.93,218.35,220.00,24800,220.00
2012-07-12,223.00,223.00,216.00,219.25,50400,219.25
2012-07-11,224.50,225.12,221.75,223.75,38700,223.75
2012-07-10,223.25,224.44,223.20,223.50,17800,223.50
2012-07-09,223.50,225.38,220.00,220.00,17800,220.00
2012-07-06,225.50,228.00,225.50,228.00,26500,228.00
2012-07-05,225.00,226.00,222.58,226.00,23100,226.00
2012-07-04,223.75,225.00,223.00,224.75,45700,224.75
2012-07-03,221.75,224.28,218.89,223.75,103500,223.75
2012-07-02,222.50,222.81,219.00,219.00,192600,219.00
2012-06-29,221.50,222.81,218.50,222.50,113600,222.50
2012-06-28,217.50,220.25,215.11,220.25,76400,220.25
2012-06-27,218.00,218.50,218.00,218.50,41300,218.50
2012-06-26,215.00,216.75,214.75,214.75,93000,214.75
2012-06-25,218.00,218.00,215.00,215.00,62200,215.00
2012-06-22,217.50,219.75,217.00,217.00,18900,217.00
2012-06-21,220.50,219.00,218.25,219.00,19200,219.00
2012-06-20,221.00,225.00,217.85,221.50,418900,221.50
2012-06-19,218.50,221.19,218.50,220.00,64900,220.00
2012-06-18,220.75,222.75,220.25,220.50,32500,220.50
2012-06-15,220.50,222.75,220.37,220.50,123600,220.50
2012-06-14,218.95,221.00,218.50,218.50,27700,218.50
2012-06-13,220.25,220.25,219.00,219.25,139300,219.25
2012-06-12,221.50,221.50,219.02,220.25,15900,220.25
2012-06-11,221.50,223.55,220.25,220.25,237000,220.25
2012-06-08,224.00,224.00,220.30,222.00,88600,222.00
2012-06-07,219.25,224.50,219.25,224.50,101900,224.50
2012-06-06,221.75,221.75,219.50,219.50,41600,219.50
2012-06-01,220.50,226.46,220.00,223.50,60700,223.50
2012-05-31,223.75,226.00,222.36,226.00,85400,226.00
2012-05-30,223.00,223.60,222.26,223.60,38400,223.60
2012-05-29,222.00,227.00,218.40,227.00,99500,227.00
2012-05-28,218.49,221.44,218.49,220.38,31100,220.38
2012-05-25,219.75,221.25,218.51,221.25,87700,221.25
2012-05-24,220.00,222.24,220.00,220.00,50800,220.00
2012-05-23,221.00,222.00,218.50,218.50,135500,218.50
2012-05-22,222.50,223.50,219.00,221.75,72400,221.75
2012-05-21,221.50,225.49,220.00,221.00,138200,221.00
2012-05-14,227.00,227.00,223.00,225.75,147700,225.75
2012-05-11,229.00,233.49,226.03,228.75,87100,228.75
2012-05-10,230.25,231.00,230.25,231.00,39600,231.00
2012-05-09,232.00,234.05,229.25,229.25,153200,229.25
2012-05-08,234.50,238.74,233.00,235.00,52900,235.00
2012-05-04,240.25,240.25,235.00,235.00,47800,235.00
2012-05-03,237.00,240.24,235.26,240.00,98800,240.00
2012-05-02,238.25,240.00,237.00,237.00,82200,237.00
2012-05-01,237.75,240.50,233.60,240.50,76700,240.50
2012-04-30,234.25,238.00,234.25,237.00,86800,237.00
2012-04-27,236.75,237.65,234.75,236.50,60400,236.50
2012-04-26,237.00,237.00,234.50,236.00,137400,236.00
2012-04-25,236.00,236.99,234.50,235.50,42500,235.50
2012-04-24,234.25,236.75,232.65,236.75,47100,236.75
2012-04-23,235.75,237.63,234.47,234.75,87000,234.75
2012-04-20,239.75,239.75,237.90,239.72,70900,239.72
2012-04-19,235.25,239.75,235.25,238.65,48800,238.65
2012-04-18,237.25,239.75,236.52,239.75,68000,239.75
2012-04-17,239.50,240.00,236.62,239.75,111000,239.75
2012-04-16,239.75,240.00,236.23,238.00,57400,238.00
2012-04-13,238.00,238.00,235.50,235.50,46500,235.50
2012-04-12,237.00,238.00,234.40,236.00,73500,236.00
2012-04-11,235.25,236.30,234.10,235.00,42400,235.00
2012-04-10,235.25,237.00,233.00,233.00,59800,233.00
2012-04-05,238.50,238.69,235.28,238.50,44300,238.50
2012-04-04,236.50,238.99,235.00,235.00,103400,235.00
2012-04-03,236.50,239.00,236.11,238.00,192600,238.00
2012-04-02,236.50,237.00,232.37,233.50,190800,233.50
2012-03-30,235.00,237.00,232.25,236.00,136300,236.00
2012-03-29,235.50,238.25,233.50,236.00,130800,236.00
2012-03-28,237.50,238.75,233.13,238.75,259300,238.75
2012-03-27,236.00,237.99,235.50,237.50,113200,237.50
2012-03-26,236.50,236.50,233.26,236.00,81700,236.00
2012-03-23,237.00,237.00,233.26,234.50,60800,234.50
2012-03-22,237.50,237.50,234.51,236.00,101000,236.00
2012-03-21,235.75,237.90,235.25,236.75,148400,236.75
2012-03-20,237.50,242.25,236.00,237.00,83500,237.00
2012-03-19,241.50,243.50,238.00,238.00,65200,238.00
2012-03-16,243.00,243.00,239.98,241.00,105300,241.00
2012-03-15,240.00,243.75,240.00,243.75,43400,243.75
2012-03-14,241.50,244.24,240.75,243.00,63000,243.00
2012-03-13,242.50,243.50,242.49,243.50,49200,243.50
2012-03-12,240.25,242.75,239.25,239.25,153500,239.25
2012-03-09,236.00,243.00,235.05,240.25,152200,240.25
2012-03-08,233.75,236.15,233.46,233.50,111600,233.50
2012-03-07,233.00,233.50,228.28,233.50,44700,233.50
2012-03-06,235.00,235.00,230.32,231.50,60500,231.50
2012-03-05,237.50,237.50,237.00,237.00,17700,237.00
2012-03-02,239.00,241.25,238.00,238.50,60400,238.50
2012-03-01,237.50,240.00,236.28,238.00,157600,238.00
2012-02-29,237.50,239.46,234.26,239.00,201200,239.00
2012-02-28,234.00,237.00,232.01,237.00,124400,237.00
2012-02-27,234.28,235.00,231.80,233.50,94400,233.50
2012-02-24,235.50,236.50,235.50,235.50,71200,235.50
2012-02-23,238.00,238.79,235.75,236.50,186400,236.50
2012-02-22,235.75,238.75,235.75,238.75,116200,238.75
2012-02-21,233.50,235.75,233.50,234.50,105400,234.50
2012-02-20,234.75,235.75,232.55,235.75,72000,235.75
2012-02-17,231.25,235.00,229.85,235.00,154800,235.00
2012-02-16,233.65,233.65,230.42,232.00,48500,232.00
2012-02-15,231.50,233.93,228.71,233.50,121100,233.50
2012-02-14,229.00,231.24,229.00,229.50,24200,229.50
2012-02-13,228.00,231.50,228.00,231.50,65200,231.50
2012-02-10,228.00,231.50,227.00,231.50,68400,231.50
2012-02-09,230.00,231.50,228.60,230.75,169100,230.75
2012-02-08,229.00,229.75,227.35,229.50,70600,229.50
2012-02-07,228.00,228.85,227.25,228.50,91500,228.50
2012-02-06,227.50,229.00,227.40,229.00,23700,229.00
2012-02-03,227.00,229.25,225.88,229.25,98600,229.25
2012-02-02,226.50,227.00,224.61,226.50,60400,226.50
2012-02-01,225.75,226.50,223.86,226.50,116100,226.50
2012-01-31,225.50,226.40,225.00,225.25,80900,225.25
2012-01-30,224.25,226.39,223.63,223.73,721400,223.73
2012-01-27,226.50,226.50,224.36,225.81,22700,225.81
2012-01-26,225.00,226.39,223.20,224.70,75100,224.70
2012-01-25,223.25,225.00,223.10,224.50,75600,224.50
2012-01-24,224.50,224.50,222.80,224.50,65600,224.50
2012-01-23,222.50,224.99,221.53,224.99,60800,224.99
2012-01-20,221.25,223.50,221.00,223.50,57800,223.50
2012-01-19,221.00,223.25,221.00,223.00,169900,223.00
2012-01-18,218.50,221.00,217.53,220.00,112500,220.00
2012-01-17,218.00,220.75,218.00,219.00,156300,219.00
2012-01-16,215.00,215.00,213.25,213.75,12500,213.75
2012-01-13,214.75,215.75,214.00,214.00,228900,214.00
2012-01-12,208.25,214.00,208.25,213.50,185300,213.50
2012-01-11,208.00,211.00,208.00,211.00,36900,211.00
2012-01-09,205.50,206.50,204.74,206.50,99800,206.50
2012-01-06,205.00,205.50,204.01,205.50,45400,205.50
2012-01-05,204.50,207.74,204.00,204.25,89100,204.25
2012-01-04,208.00,211.74,204.26,204.26,16800,204.26
2012-01-03,210.00,212.23,208.01,208.01,45200,208.01
2011-12-30,207.00,209.00,205.50,207.50,73900,207.50
2011-12-29,204.00,207.00,204.00,206.00,39800,206.00
2011-12-28,203.00,205.75,201.50,202.00,61300,202.00
2011-12-23,196.00,203.00,196.00,203.00,71800,203.00
2011-12-22,197.00,201.00,194.76,199.75,49400,199.75
2011-12-21,197.00,199.75,194.20,199.75,52200,199.75
2011-12-20,195.00,197.49,193.25,195.50,75800,195.50
2011-12-19,198.75,200.00,196.00,196.00,61200,196.00
2011-12-16,199.00,203.00,199.00,199.00,132000,199.00
2011-12-15,203.00,203.00,198.19,201.00,20600,201.00
2011-12-14,201.75,203.25,200.00,203.25,43900,203.25
2011-12-13,202.25,205.00,202.01,202.75,50500,202.75
2011-12-12,205.00,205.50,202.00,203.00,92800,203.00
2011-12-09,206.75,208.67,205.25,205.25,9600,205.25
2011-12-08,206.75,209.00,206.75,206.75,36300,206.75
2011-12-07,209.00,209.89,208.50,209.75,109400,209.75
2011-12-06,208.00,209.25,207.00,208.75,27200,208.75
2011-12-05,211.75,211.75,209.00,210.75,67300,210.75
2011-12-02,210.00,210.75,205.35,208.00,818700,208.00
2011-12-01,206.00,210.00,206.00,207.75,64400,207.75
2011-11-30,196.25,207.00,196.25,206.00,88200,206.00
2011-11-28,197.00,200.00,197.00,200.00,131100,200.00
2011-11-25,194.25,197.95,194.00,194.00,36400,194.00
2011-11-24,196.25,199.45,196.20,196.20,11100,196.20
2011-11-23,197.50,198.62,194.46,195.00,27200,195.00
2011-11-22,197.75,200.74,197.75,198.00,219200,198.00
2011-11-21,201.50,201.75,196.75,196.75,67000,196.75
2011-11-18,204.99,204.99,201.75,201.75,32100,201.75
2011-11-17,208.00,208.00,205.27,205.62,31700,205.62
2011-11-16,204.75,207.75,203.73,204.00,73000,204.00
2011-11-15,204.00,207.00,203.50,206.85,87500,206.85
2011-11-14,205.25,208.79,205.25,205.73,6300,205.73
2011-11-11,205.00,206.00,202.95,205.00,36300,205.00
2011-11-10,202.50,202.50,202.50,202.50,36200,202.50
