Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,1052.00,1083.00,1044.00,1047.00,45300,1040.00
2012-08-02,1052.00,1088.00,1040.00,1040.00,74200,1040.00
2012-08-01,1043.00,1058.00,1043.00,1058.00,29600,1058.00
2012-07-31,1012.00,1063.00,1012.00,1053.00,135000,1053.00
2012-07-27,1027.00,1042.00,1022.92,1042.00,32000,1042.00
2012-07-26,1028.00,1049.00,1013.87,1035.00,75900,1035.00
2012-07-25,1012.00,1034.00,1009.00,1029.00,37800,1029.00
2012-07-24,1035.00,1036.00,1008.00,1016.00,49700,1016.00
2012-07-23,1068.00,1075.00,1027.00,1035.00,167400,1035.00
2012-07-20,1083.00,1084.00,1061.00,1072.00,43700,1072.00
2012-07-19,1053.00,1086.00,1052.00,1079.00,74300,1079.00
2012-07-18,1046.00,1074.00,1042.00,1049.00,77900,1049.00
2012-07-17,1055.00,1066.14,1047.00,1047.00,65200,1047.00
2012-07-16,1052.00,1064.00,1050.00,1050.00,50100,1050.00
2012-07-13,1044.00,1051.00,1035.00,1047.00,37700,1047.00
2012-07-12,1040.00,1040.00,1025.00,1030.00,67100,1030.00
2012-07-11,1031.00,1054.00,1030.00,1042.00,44600,1042.00
2012-07-10,1027.00,1042.00,1027.00,1038.00,60700,1038.00
2012-07-09,1042.00,1065.00,1026.00,1026.00,136200,1026.00
2012-07-06,1080.00,1084.00,1044.00,1052.00,214400,1052.00
2012-07-05,1095.00,1100.00,1074.00,1089.00,91700,1089.00
2012-07-04,1101.00,1109.00,1093.00,1100.00,23100,1100.00
2012-07-03,1091.00,1112.00,1091.00,1104.00,76100,1104.00
2012-07-02,1070.00,1104.87,1070.00,1095.00,108300,1095.00
2012-06-29,1067.00,1080.00,1061.00,1075.00,83600,1075.00
2012-06-28,1046.00,1056.00,1032.00,1042.00,133800,1042.00
2012-06-27,1046.00,1051.00,1030.00,1041.00,53100,1041.00
2012-06-26,1047.00,1059.00,1029.00,1038.00,107300,1038.00
2012-06-25,1052.00,1060.00,1039.00,1050.00,52100,1050.00
2012-06-22,1043.00,1069.00,1040.00,1052.00,118800,1052.00
2012-06-21,1038.00,1060.00,1036.00,1043.00,112400,1043.00
2012-06-20,1027.00,1054.00,1020.00,1041.00,125400,1041.00
2012-06-19,1017.00,1028.28,983.00,1025.00,194100,1025.00
2012-06-18,1015.00,1027.00,1001.00,1006.00,342200,1006.00
2012-06-15,983.00,1010.61,972.00,1010.00,3564400,1010.00
2012-06-14,964.00,977.00,950.00,970.50,592000,970.50
2012-06-13,977.00,977.00,959.00,966.00,567300,966.00
2012-06-12,991.50,1002.00,956.65,968.00,545200,968.00
2012-06-11,1006.00,1015.00,983.00,983.00,416600,983.00
2012-06-08,998.50,1000.00,967.50,976.00,496500,976.00
2012-06-07,1011.00,1025.00,994.50,1002.00,395600,1002.00
2012-06-06,974.00,1005.00,974.00,1003.00,154200,1003.00
2012-06-01,987.00,991.50,960.00,968.00,270500,968.00
2012-05-31,983.50,989.48,970.00,979.00,307100,979.00
2012-05-30,1007.00,1009.00,979.00,985.50,233500,985.50
2012-05-29,1004.00,1016.00,997.00,1011.00,172200,1011.00
2012-05-28,1010.00,1010.00,990.50,998.50,87500,998.50
2012-05-25,999.00,1004.00,986.50,995.00,258500,995.00
2012-05-24,977.00,1000.00,977.00,995.50,300500,995.50
2012-05-23,981.50,985.50,950.00,976.00,309800,976.00
2012-05-22,991.50,1000.00,983.00,996.00,128800,996.00
2012-05-21,966.50,990.00,962.00,986.50,140500,986.50
2012-05-18,995.50,1008.00,974.50,975.00,177800,975.00
2012-05-17,1024.00,1024.00,985.50,1008.00,373900,1008.00
2012-05-16,1007.00,1043.00,996.00,1024.00,335100,1024.00
2012-05-14,1051.00,1053.00,1023.00,1039.00,228200,1039.00
2012-05-11,1050.00,1070.00,1044.00,1065.00,215900,1065.00
2012-05-10,1055.00,1062.00,1046.00,1052.00,89400,1052.00
2012-05-09,1061.00,1061.00,1024.00,1049.00,246100,1049.00
2012-05-08,1091.00,1096.00,1052.00,1058.00,446000,1058.00
2012-05-04,1107.00,1107.00,1087.00,1090.00,103500,1090.00
2012-05-03,1119.00,1123.00,1105.00,1112.00,235300,1112.00
2012-05-02,1127.00,1138.00,1108.00,1120.00,277400,1120.00
2012-05-01,1133.00,1137.00,1116.00,1137.00,86800,1137.00
2012-04-30,1154.00,1154.00,1123.00,1126.00,423800,1126.00
2012-04-27,1107.00,1149.00,1107.00,1148.00,95300,1148.00
2012-04-26,1120.00,1131.00,1107.00,1118.00,256100,1118.00
2012-04-25,1108.00,1117.00,1095.00,1110.00,85400,1110.00
2012-04-24,1096.00,1101.00,1080.00,1101.00,187800,1101.00
2012-04-23,1115.00,1117.00,1078.00,1083.00,205300,1083.00
2012-04-20,1117.00,1147.00,1111.00,1119.00,347900,1119.00
2012-04-19,1125.00,1126.00,1106.00,1115.00,409400,1115.00
2012-04-18,1124.00,1135.00,1084.00,1113.00,354100,1113.00
2012-04-17,1129.00,1149.00,1123.00,1127.00,759600,1127.00
2012-04-16,1127.00,1142.00,1116.00,1135.00,140000,1135.00
2012-04-13,1136.00,1149.00,1125.00,1132.00,309400,1132.00
2012-04-12,1112.00,1151.00,1107.00,1145.00,90900,1145.00
2012-04-11,1105.00,1119.00,1105.00,1110.00,154300,1110.00
2012-04-10,1131.00,1137.00,1107.00,1107.00,93300,1107.00
2012-04-05,1133.00,1157.00,1133.00,1147.00,97800,1147.00
2012-04-04,1202.00,1214.00,1142.00,1142.00,81300,1142.00
2012-04-03,1229.00,1229.00,1201.00,1205.00,69600,1205.00
2012-04-02,1235.00,1241.00,1199.00,1225.00,121200,1225.00
2012-03-30,1228.00,1249.00,1225.00,1240.00,69000,1240.00
2012-03-29,1233.00,1245.00,1222.00,1230.00,210400,1230.00
2012-03-28,1248.00,1260.00,1234.00,1241.00,179800,1241.00
2012-03-27,1254.00,1293.00,1249.00,1281.00,311500,1281.00
2012-03-26,1266.00,1266.00,1246.00,1254.00,195000,1254.00
2012-03-23,1267.00,1269.00,1239.00,1246.00,178800,1246.00
2012-03-22,1269.00,1269.00,1247.00,1253.00,98100,1253.00
2012-03-21,1270.00,1278.00,1263.00,1270.00,59100,1270.00
2012-03-20,1273.00,1279.00,1259.00,1259.00,63400,1259.00
2012-03-19,1290.00,1298.00,1277.00,1277.00,110100,1277.00
2012-03-16,1294.00,1310.50,1280.00,1287.00,167800,1287.00
2012-03-15,1284.00,1295.00,1264.00,1294.00,57300,1294.00
2012-03-14,1277.00,1295.00,1277.00,1281.00,38500,1281.00
2012-03-13,1265.00,1276.00,1241.00,1276.00,125500,1276.00
2012-03-12,1253.00,1258.00,1241.00,1258.00,48200,1258.00
2012-03-09,1222.00,1274.00,1210.00,1249.00,215000,1249.00
2012-03-08,1248.00,1259.00,1220.00,1235.00,91500,1235.00
2012-03-07,1190.00,1235.00,1190.00,1235.00,70100,1235.00
2012-03-06,1213.00,1234.00,1189.00,1198.00,75700,1198.00
2012-03-05,1194.00,1247.00,1194.00,1233.00,65400,1233.00
2012-03-02,1258.00,1264.00,1249.00,1251.00,146900,1251.00
2012-03-01,1228.00,1267.00,1212.45,1249.00,120100,1249.00
2012-02-29,1250.00,1259.00,1221.00,1226.00,158100,1226.00
2012-02-28,1256.00,1256.00,1243.25,1255.00,70200,1255.00
2012-02-27,1257.00,1257.00,1244.00,1244.00,74600,1244.00
2012-02-24,1284.00,1284.00,1252.00,1258.00,85100,1258.00
2012-02-23,1265.00,1278.00,1259.00,1268.00,41800,1268.00
2012-02-22,1286.00,1286.00,1259.00,1263.00,84800,1263.00
2012-02-21,1267.00,1280.00,1259.00,1273.00,205100,1273.00
2012-02-20,1273.00,1292.00,1265.00,1271.00,93800,1271.00
2012-02-17,1258.00,1261.00,1229.00,1258.00,99600,1258.00
2012-02-16,1227.00,1257.00,1212.00,1252.00,182200,1252.00
2012-02-15,1278.00,1278.00,1237.00,1241.00,83700,1241.00
2012-02-14,1277.00,1299.00,1252.00,1264.00,89600,1264.00
2012-02-13,1289.00,1293.00,1276.00,1282.00,98700,1282.00
2012-02-10,1307.00,1317.00,1267.00,1273.00,64200,1273.00
2012-02-09,1290.00,1314.00,1277.00,1309.00,44700,1309.00
2012-02-08,1287.00,1298.00,1271.00,1282.00,72800,1282.00
2012-02-07,1289.00,1289.00,1229.00,1273.00,91100,1273.00
2012-02-06,1295.00,1310.00,1244.00,1285.00,97400,1285.00
2012-02-03,1268.00,1315.00,1248.00,1301.00,110800,1301.00
2012-02-02,1275.00,1280.00,1262.00,1269.00,110100,1269.00
2012-02-01,1198.00,1269.00,1198.00,1260.00,92900,1260.00
2012-01-31,1208.00,1208.00,1179.00,1193.00,188500,1193.00
2012-01-30,1226.00,1227.00,1198.00,1200.00,226600,1200.00
2012-01-27,1231.00,1248.00,1230.00,1230.00,47000,1230.00
2012-01-26,1209.00,1251.00,1209.00,1248.00,57000,1248.00
2012-01-25,1204.00,1213.00,1200.00,1211.00,68300,1211.00
2012-01-24,1218.00,1219.00,1195.00,1213.00,79000,1213.00
2012-01-23,1205.00,1238.00,1191.70,1219.00,99200,1219.00
2012-01-20,1186.00,1207.00,1151.00,1202.00,153200,1202.00
2012-01-19,1150.00,1195.00,1148.00,1192.00,339600,1192.00
2012-01-18,1138.00,1159.00,1133.00,1141.00,69300,1141.00
2012-01-17,1138.00,1138.00,1121.00,1133.00,323300,1133.00
2012-01-16,1118.00,1118.00,1102.00,1115.00,77300,1115.00
2012-01-13,1107.00,1117.00,1093.00,1116.00,80800,1116.00
2012-01-12,1071.00,1099.00,1053.00,1089.00,516000,1089.00
2012-01-11,1025.00,1067.00,1025.00,1055.00,164000,1055.00
2012-01-10,1039.00,1047.00,1029.00,1037.00,215400,1037.00
2012-01-09,1050.00,1063.38,1020.00,1027.00,68700,1027.00
2012-01-06,1072.00,1080.00,1044.00,1061.00,103800,1061.00
2012-01-05,1076.00,1081.00,1051.00,1069.00,48400,1069.00
2012-01-04,1112.00,1123.00,1077.00,1084.00,53200,1084.00
2012-01-03,1096.00,1117.00,1082.00,1113.00,59500,1113.00
2011-12-30,1065.00,1073.00,1059.00,1073.00,5200,1073.00
2011-12-29,1053.00,1065.00,1050.00,1065.00,20000,1065.00
2011-12-28,1068.00,1068.00,1041.00,1054.00,34700,1054.00
2011-12-23,1068.00,1068.00,1054.00,1054.00,120400,1054.00
2011-12-22,1031.00,1060.00,1031.00,1056.00,33200,1056.00
2011-12-21,1041.00,1055.00,1029.00,1029.00,96900,1029.00
2011-12-20,1015.00,1035.00,1008.00,1019.00,94100,1019.00
2011-12-19,1015.00,1026.00,1004.00,1015.00,80600,1015.00
2011-12-16,1033.00,1036.00,1018.00,1025.00,107100,1025.00
2011-12-15,1039.00,1039.00,1015.77,1027.00,176600,1027.00
2011-12-14,1049.00,1060.00,1009.00,1025.00,168100,1025.00
2011-12-13,1062.00,1072.00,1050.00,1062.00,72500,1062.00
2011-12-12,1108.00,1108.00,1054.00,1055.00,167000,1055.00
2011-12-09,1077.00,1123.00,1077.00,1114.00,135000,1114.00
2011-12-08,1134.00,1134.00,1090.00,1100.00,171500,1100.00
2011-12-07,1143.00,1147.00,1109.00,1116.00,77500,1116.00
2011-12-06,1127.00,1151.00,1127.00,1135.00,23400,1135.00
2011-12-05,1149.00,1164.00,1140.00,1146.00,82200,1146.00
2011-12-02,1132.00,1145.00,1131.00,1142.00,161600,1142.00
2011-12-01,1139.00,1148.00,1123.00,1128.00,90600,1128.00
2011-11-30,1077.00,1151.00,1077.00,1135.00,151800,1135.00
2011-11-29,1104.00,1110.00,1085.00,1097.00,39900,1097.00
2011-11-28,1035.00,1097.00,1035.00,1092.00,61000,1092.00
2011-11-25,1028.00,1033.00,999.00,1033.00,61300,1033.00
2011-11-24,1023.00,1031.00,1020.00,1026.00,74700,1026.00
2011-11-23,1030.00,1047.00,1011.00,1020.00,126500,1020.00
2011-11-22,1049.00,1060.00,1041.00,1041.00,89000,1041.00
2011-11-21,1071.00,1075.00,1040.00,1046.00,51700,1046.00
2011-11-18,1065.00,1094.00,1062.00,1084.00,80300,1084.00
2011-11-17,1123.00,1123.00,1085.00,1085.00,140400,1085.00
