Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,74.16,74.50,74.16,74.50,400,74.50
2012-08-02,74.50,74.50,74.16,74.50,40400,74.50
2012-08-01,75.75,76.13,74.50,74.50,18200,74.50
2012-07-31,75.00,76.11,74.25,76.00,35400,76.00
2012-07-27,76.50,76.75,75.65,75.65,147400,75.65
2012-07-26,75.00,76.38,74.34,75.50,84200,75.50
2012-07-25,76.00,76.00,75.04,75.50,101500,75.50
2012-07-24,72.00,76.31,70.47,75.75,171200,75.75
2012-07-23,70.50,71.88,68.94,71.85,72900,71.85
2012-07-20,70.50,71.50,70.50,71.00,59400,71.00
2012-07-19,70.75,71.69,70.50,70.50,112300,70.50
2012-07-18,69.00,71.75,69.00,70.88,6641900,70.88
2012-07-17,70.50,70.93,70.00,70.75,94900,70.75
2012-07-16,70.00,70.52,70.00,70.00,95600,70.00
2012-07-13,69.50,70.30,69.25,69.50,175100,69.50
2012-07-12,69.75,69.75,69.75,69.75,159700,69.75
2012-07-11,66.50,67.50,66.50,66.50,39900,66.50
2012-07-10,67.25,67.25,66.70,67.00,10000,67.00
2012-07-09,66.00,68.19,66.00,67.25,34200,67.25
2012-07-06,67.00,68.19,66.50,67.00,22700,67.00
2012-07-05,68.00,68.00,67.00,67.00,9300,67.00
2012-07-04,68.00,68.50,68.00,68.50,111000,68.50
2012-07-03,65.50,68.65,65.50,68.50,80800,68.50
2012-07-02,68.50,68.75,66.94,68.75,65000,68.75
2012-06-29,67.50,68.10,67.00,67.00,139300,67.00
2012-06-28,67.00,67.05,66.00,66.00,197000,66.00
2012-06-27,68.50,68.99,68.00,68.00,1321000,68.00
2012-06-26,65.81,66.38,65.61,66.06,33100,66.06
2012-06-25,68.00,68.00,65.00,66.50,159200,66.50
2012-06-22,69.25,69.58,68.00,68.36,83900,68.36
2012-06-21,68.75,69.85,68.75,68.75,99900,68.75
2012-06-20,70.00,70.00,69.00,69.00,86200,69.00
2012-06-19,69.50,70.00,68.89,70.00,97100,70.00
2012-06-18,68.00,69.25,67.50,69.00,142500,69.00
2012-06-15,66.00,70.33,66.00,66.25,363200,66.25
2012-06-14,70.00,70.00,66.25,66.25,92800,66.25
2012-06-13,70.00,72.00,67.50,67.75,209300,67.75
2012-06-12,66.50,68.00,65.75,65.75,80800,65.75
2012-06-11,67.25,67.75,66.75,67.00,93100,67.00
2012-06-08,67.00,67.00,65.00,67.00,1079400,67.00
2012-06-07,67.00,67.36,66.50,66.75,194500,66.75
2012-06-06,66.75,67.00,66.10,67.00,45700,67.00
2012-06-01,67.00,67.00,66.00,66.50,52400,66.50
2012-05-31,66.75,66.75,66.35,66.75,30100,66.75
2012-05-30,67.00,67.00,66.05,67.00,18000,67.00
2012-05-29,67.00,67.50,66.10,67.50,64500,67.50
2012-05-28,66.00,66.76,65.50,65.50,20000,65.50
2012-05-25,66.00,66.88,66.00,66.75,97400,66.75
2012-05-24,65.50,66.50,65.14,66.50,104200,66.50
2012-05-23,65.25,65.50,64.00,65.50,41100,65.50
2012-05-22,63.75,65.00,63.05,65.00,66800,65.00
2012-05-21,63.61,64.00,62.98,64.00,122200,64.00
2012-05-18,64.25,64.50,63.44,64.25,82200,64.25
2012-05-17,64.00,64.50,63.50,64.00,105800,64.00
2012-05-16,60.00,64.50,60.00,64.50,169200,64.50
2012-05-14,60.00,62.00,60.00,62.00,12400,62.00
2012-05-11,60.75,63.75,59.25,61.25,167800,61.25
2012-05-10,63.00,63.00,61.78,62.00,96000,62.00
2012-05-09,62.00,62.00,60.34,61.00,98700,61.00
2012-05-08,63.00,63.00,60.00,60.00,148500,60.00
2012-05-04,62.00,62.50,59.77,62.50,54100,62.50
2012-05-03,61.00,63.00,60.00,62.50,76100,62.50
2012-05-02,60.00,63.00,59.52,63.00,315100,63.00
2012-05-01,61.00,61.00,59.55,61.00,13800,61.00
2012-04-30,60.00,60.95,59.30,60.95,280400,60.95
2012-04-27,59.00,59.95,56.00,58.00,73700,58.00
2012-04-26,59.88,59.95,59.00,59.00,35600,59.00
2012-04-25,59.00,59.00,59.00,59.00,5000,59.00
2012-04-24,59.00,59.00,59.00,59.00,9300,59.00
2012-04-23,59.90,59.90,59.12,59.12,6500,59.12
2012-04-20,60.00,60.00,59.00,59.00,35200,59.00
2012-04-19,59.50,61.81,59.00,59.66,56700,59.66
2012-04-18,61.00,62.17,59.46,60.80,60000,60.80
2012-04-17,59.00,65.75,59.00,60.00,467600,60.00
2012-04-16,56.00,56.00,55.10,56.00,39100,56.00
2012-04-13,56.00,56.00,54.50,56.00,163400,56.00
2012-04-12,53.00,55.50,53.00,55.50,156400,55.50
2012-04-11,53.00,53.00,53.00,53.00,8500,53.00
2012-04-10,53.00,53.10,52.50,53.00,36800,53.00
2012-04-05,55.00,55.00,53.30,53.30,5500,53.30
2012-04-04,54.00,54.09,53.50,53.50,12200,53.50
2012-04-03,54.00,54.00,53.75,53.75,12400,53.75
2012-04-02,54.00,55.00,53.10,53.50,17200,53.50
2012-03-30,56.75,56.75,53.50,53.50,66900,53.50
2012-03-29,56.50,56.50,55.15,56.50,1000,56.50
2012-03-28,55.00,56.50,55.00,55.00,000,55.00
2012-03-27,56.67,56.67,55.25,55.25,10100,55.25
2012-03-26,56.00,56.00,56.00,56.00,10100,56.00
2012-03-23,56.50,56.50,55.15,55.25,31000,55.25
2012-03-22,56.50,56.50,56.50,56.50,1200,56.50
2012-03-21,55.00,56.66,54.25,54.25,17200,54.25
2012-03-20,54.50,56.50,54.50,56.50,166000,56.50
2012-03-19,56.28,56.45,55.00,55.00,351500,55.00
2012-03-16,56.00,56.00,56.00,56.00,20000,56.00
2012-03-15,55.50,55.50,55.18,55.50,35200,55.50
2012-03-14,56.25,56.50,55.00,56.00,13300,56.00
2012-03-13,56.50,56.50,55.17,56.00,22800,56.00
2012-03-12,55.00,57.00,54.28,57.00,58900,57.00
2012-03-09,54.00,54.85,54.00,54.75,15100,54.75
2012-03-08,53.75,54.50,53.00,54.50,355600,54.50
2012-03-07,53.85,53.85,53.75,53.75,8500,53.75
2012-03-06,54.00,54.08,53.19,53.19,22800,53.19
2012-03-05,54.60,54.60,54.60,54.60,5600,54.60
2012-03-02,53.50,53.50,53.50,53.50,823000,53.50
2012-03-01,54.50,54.50,53.50,54.00,40000,54.00
2012-02-29,54.35,54.35,53.50,53.50,400,53.50
2012-02-28,54.50,54.50,53.50,53.50,11200,53.50
2012-02-27,53.75,53.75,53.75,53.75,8600,53.75
2012-02-24,54.00,54.00,53.50,53.50,700,53.50
2012-02-23,54.50,54.72,53.00,53.50,26900,53.50
2012-02-22,55.50,55.50,54.69,54.69,18200,54.69
2012-02-21,54.75,54.75,53.98,54.00,54500,54.00
2012-02-20,53.95,54.30,53.00,53.00,70200,53.00
2012-02-17,53.25,54.41,53.22,53.22,46600,53.22
2012-02-16,53.25,53.30,52.50,52.50,276000,52.50
2012-02-15,55.75,55.75,53.50,54.00,80600,54.00
2012-02-14,54.75,54.75,53.00,54.12,49600,54.12
2012-02-13,53.00,54.50,52.85,54.00,81000,54.00
2012-02-10,50.50,52.50,49.99,52.50,2060000,52.50
2012-02-09,51.00,51.00,50.00,50.00,11269100,50.00
