Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,544.50,551.50,541.50,544.00,220600,543.00
2012-08-02,544.50,551.50,541.50,543.00,273200,543.00
2012-08-01,545.00,547.00,540.00,547.00,473400,547.00
2012-07-31,549.00,553.00,542.00,544.50,182000,544.50
2012-07-27,548.00,549.00,539.50,549.00,193400,549.00
2012-07-26,536.50,544.50,530.50,544.00,365700,544.00
2012-07-25,537.00,545.00,533.00,540.50,379900,540.50
2012-07-24,536.50,540.50,535.00,535.00,214100,535.00
2012-07-23,536.50,539.50,529.50,532.50,171400,532.50
2012-07-20,543.50,546.00,537.50,539.00,365200,539.00
2012-07-19,545.50,550.00,544.50,545.00,268800,545.00
2012-07-18,545.00,547.00,536.00,543.00,646900,543.00
2012-07-17,539.00,539.00,533.00,533.50,235700,533.50
2012-07-16,535.00,538.91,532.50,536.50,322700,536.50
2012-07-13,530.00,538.00,530.00,534.00,426300,534.00
2012-07-12,532.00,536.00,527.50,530.50,246500,530.50
2012-07-11,531.00,537.50,526.50,532.00,204900,532.00
2012-07-10,528.00,533.50,527.00,529.50,270300,529.50
2012-07-09,532.50,537.50,521.00,527.50,472100,527.50
2012-07-06,528.00,534.00,527.50,530.50,266100,530.50
2012-07-05,532.50,533.50,526.00,526.50,334300,526.50
2012-07-04,529.00,533.50,526.00,526.00,290500,526.00
2012-07-03,528.00,532.50,524.00,529.50,288300,529.50
2012-07-02,513.00,530.50,511.00,526.00,581400,526.00
2012-06-29,516.50,525.00,508.50,514.50,492700,514.50
2012-06-28,512.50,512.50,501.00,505.00,335700,505.00
2012-06-27,502.50,515.50,502.50,511.00,439200,511.00
2012-06-26,504.50,506.50,499.70,500.00,438200,500.00
2012-06-25,508.50,509.50,500.50,502.00,315800,502.00
2012-06-22,510.00,510.50,500.50,508.50,301700,508.50
2012-06-21,515.00,517.00,507.50,507.50,661500,507.50
2012-06-20,512.50,519.00,510.50,516.00,527600,516.00
2012-06-19,510.50,515.00,507.00,511.00,361400,511.00
2012-06-18,515.00,515.00,501.00,507.50,482100,507.50
2012-06-15,500.50,512.00,500.00,509.00,1146800,509.00
2012-06-14,488.50,502.00,488.40,497.60,931400,497.60
2012-06-13,496.30,496.30,484.00,492.00,613000,492.00
2012-06-12,497.00,502.50,490.70,495.00,615400,489.05
2012-06-11,514.50,516.00,498.80,499.50,437300,493.50
2012-06-08,514.00,514.00,504.00,509.50,405200,503.38
2012-06-07,518.50,518.50,509.00,511.50,387000,505.35
2012-06-06,503.50,515.50,503.00,513.50,568600,507.33
2012-06-01,510.00,510.00,499.10,502.00,486400,495.97
2012-05-31,514.00,516.50,504.00,505.00,578300,498.93
2012-05-30,518.00,518.00,509.50,510.00,438500,503.87
2012-05-29,523.00,524.50,518.50,519.50,369000,513.26
2012-05-28,519.00,523.50,516.00,520.50,199300,514.24
2012-05-25,520.50,524.00,512.50,517.50,613500,511.28
2012-05-24,517.50,521.00,507.00,520.50,1080400,514.24
2012-05-23,522.00,522.00,508.00,516.50,1104000,510.29
2012-05-22,528.00,528.00,511.00,520.00,668600,513.75
2012-05-21,517.00,520.50,510.50,520.50,665400,514.24
2012-05-18,516.50,523.00,512.50,515.00,575100,508.81
2012-05-17,527.50,534.50,520.00,522.50,437200,516.22
2012-05-16,516.00,529.05,511.00,529.00,503200,522.64
2012-05-14,521.50,523.00,517.00,520.50,362700,514.24
2012-05-11,513.00,526.00,509.00,526.00,335100,519.68
2012-05-10,516.00,516.50,506.00,514.50,459700,508.32
2012-05-09,522.50,522.50,506.00,515.00,404200,508.81
2012-05-08,515.00,526.50,515.00,518.00,572300,511.77
2012-05-04,520.00,524.85,510.00,513.50,369200,507.33
2012-05-03,520.50,525.50,519.00,523.50,430600,517.21
2012-05-02,521.00,525.50,519.00,521.50,464300,515.23
2012-05-01,511.50,520.50,507.00,520.00,173700,513.75
2012-04-30,517.50,517.50,507.50,511.50,532000,505.35
2012-04-27,504.00,518.50,504.00,518.00,437500,511.77
2012-04-26,504.00,508.00,500.65,505.00,592700,498.93
2012-04-25,497.30,506.50,497.30,503.00,362900,496.95
2012-04-24,493.10,502.00,491.20,500.00,411700,493.99
2012-04-23,499.40,502.00,487.50,493.10,348100,487.17
2012-04-20,498.00,502.00,491.40,501.00,387200,494.98
2012-04-19,498.00,500.50,491.90,495.40,540700,489.45
2012-04-18,494.60,496.50,490.10,494.10,456700,488.16
2012-04-17,481.90,495.50,473.90,493.40,2093400,487.47
2012-04-16,488.70,489.70,479.90,482.20,722600,476.40
2012-04-13,497.00,499.45,486.00,490.00,758600,484.11
2012-04-12,491.00,502.00,487.30,498.50,823300,492.51
2012-04-11,485.00,499.50,482.90,492.30,705500,486.38
2012-04-10,486.50,489.80,482.00,487.20,522300,481.34
2012-04-05,486.40,492.60,482.40,491.70,429400,485.79
2012-04-04,493.90,495.20,484.50,486.50,458100,480.65
2012-04-03,496.90,499.30,491.40,493.50,439400,487.57
2012-04-02,496.00,496.00,489.50,495.00,687100,489.05
2012-03-30,484.60,495.30,484.60,492.50,696800,486.58
2012-03-29,489.00,491.10,482.30,482.30,571000,476.50
2012-03-28,499.20,503.50,487.70,491.00,448700,485.10
2012-03-27,505.50,507.50,498.70,499.62,806800,493.61
2012-03-26,499.50,508.00,494.60,502.00,473700,495.97
2012-03-23,501.50,505.00,495.30,499.40,396900,493.40
2012-03-22,506.50,507.00,497.80,502.50,478900,496.46
2012-03-21,512.00,516.00,509.00,509.00,321000,502.88
2012-03-20,520.00,520.00,505.00,510.00,424000,503.87
2012-03-19,521.50,527.50,517.50,520.00,381400,513.75
2012-03-16,515.00,523.50,510.50,520.00,895600,513.75
2012-03-15,525.00,525.50,509.50,515.50,593400,509.30
2012-03-14,524.50,527.50,521.00,522.50,390900,516.22
2012-03-13,512.50,523.50,512.50,520.00,474100,513.75
2012-03-12,509.00,513.50,506.00,512.00,247900,505.85
2012-03-09,508.00,511.00,500.50,508.00,324600,501.89
2012-03-08,496.00,504.50,494.80,503.50,506300,497.45
2012-03-07,485.00,495.00,482.50,492.80,464200,486.88
2012-03-06,497.80,497.80,482.90,484.00,603400,478.18
2012-03-05,499.10,500.50,495.00,497.00,834000,491.03
2012-03-02,500.50,505.00,497.00,499.60,297500,493.59
2012-03-01,489.00,501.00,489.00,499.00,1011900,493.00
2012-02-29,490.80,495.30,487.90,490.00,467500,484.11
2012-02-28,492.40,495.30,488.90,490.10,596800,484.21
2012-02-27,496.90,496.90,486.90,490.23,438800,484.34
2012-02-24,499.50,502.00,495.80,499.60,671700,493.59
2012-02-23,497.50,499.40,484.70,497.20,366800,491.22
2012-02-22,498.90,502.00,495.90,496.40,2275400,490.43
2012-02-21,506.50,506.50,496.40,497.50,386500,491.52
2012-02-20,506.50,508.00,501.50,505.50,954600,499.42
2012-02-17,505.00,511.00,501.50,505.50,313600,499.42
2012-02-16,505.50,505.50,496.90,500.50,409600,494.48
2012-02-15,518.50,518.50,504.00,507.00,452000,500.91
2012-02-14,514.00,521.50,511.00,514.00,344500,507.82
2012-02-13,513.00,522.00,513.00,517.00,193800,510.79
2012-02-10,514.50,515.00,507.00,512.50,328500,506.34
2012-02-09,515.00,523.00,506.50,516.00,524200,509.80
2012-02-08,518.00,521.00,509.50,511.50,227400,505.35
2012-02-07,521.50,521.51,511.00,515.00,347400,508.81
2012-02-06,518.50,528.50,517.50,519.00,204300,512.76
2012-02-03,513.00,519.50,512.00,518.00,460500,511.77
2012-02-02,519.00,524.00,512.00,512.00,321200,505.85
2012-02-01,504.00,516.50,502.00,516.50,616600,510.29
2012-01-31,504.50,508.00,500.00,500.50,569800,494.48
2012-01-30,505.50,511.50,500.00,501.00,307000,494.98
2012-01-27,508.50,515.50,507.00,507.00,377800,500.91
2012-01-26,509.50,516.50,503.00,512.50,420700,506.34
2012-01-25,509.50,511.50,500.50,505.00,901600,498.93
2012-01-24,513.00,518.00,510.00,513.00,626700,501.15
2012-01-23,505.50,517.00,505.50,516.00,2518000,504.08
2012-01-20,501.00,511.00,501.00,507.00,581100,495.29
2012-01-19,498.00,502.00,492.40,498.20,893900,486.69
2012-01-18,489.10,493.10,486.70,491.00,583800,479.66
2012-01-17,488.90,498.70,485.10,491.00,753900,479.66
2012-01-16,482.70,485.20,475.10,484.20,260400,473.02
2012-01-13,488.90,490.00,472.50,481.90,465600,470.77
2012-01-12,472.30,488.40,471.10,481.50,400400,470.38
2012-01-11,485.00,485.50,472.00,474.10,537600,463.15
2012-01-10,468.30,478.10,465.60,474.10,499600,463.15
2012-01-09,461.50,468.17,460.00,462.50,529200,451.82
2012-01-06,467.00,468.20,460.30,462.90,352000,452.21
2012-01-05,469.30,469.30,462.00,465.40,526000,454.65
2012-01-04,469.80,472.00,461.40,466.40,314100,455.63
2012-01-03,480.60,480.60,464.30,470.40,364400,459.54
2011-12-30,462.00,470.00,461.60,467.20,119700,456.41
2011-12-29,462.10,464.40,459.40,462.00,581100,451.33
2011-12-28,468.00,470.80,460.40,460.40,208500,449.77
2011-12-23,462.60,464.20,457.70,462.50,109000,451.82
2011-12-22,466.40,469.60,458.70,462.40,342200,451.72
2011-12-21,465.00,474.90,461.90,463.70,340600,452.99
2011-12-20,460.10,465.00,455.50,463.70,393100,452.99
2011-12-19,464.00,471.00,458.90,459.70,374600,449.08
2011-12-16,470.60,471.40,461.40,464.80,996500,454.07
2011-12-15,463.00,470.70,460.10,470.70,1277100,459.83
2011-12-14,474.40,478.70,458.60,463.50,577500,452.80
2011-12-13,475.60,481.60,469.33,476.90,354000,465.89
2011-12-12,490.00,490.00,474.00,474.00,348000,463.05
2011-12-09,481.70,499.50,477.80,492.90,426800,481.52
2011-12-08,503.00,503.00,479.90,488.80,318100,477.51
2011-12-07,497.70,508.50,491.20,499.00,376900,487.48
2011-12-06,490.00,496.30,489.90,491.90,646500,480.54
2011-12-05,499.00,505.00,490.00,495.00,424800,483.57
2011-12-02,498.10,506.07,492.40,499.20,421300,487.67
2011-12-01,509.00,509.00,494.70,498.00,515600,486.50
2011-11-30,488.20,501.50,481.70,501.50,1059800,489.92
2011-11-29,488.30,490.30,475.70,482.00,569000,470.87
2011-11-28,469.00,489.90,463.80,483.10,628400,471.94
2011-11-25,458.00,477.40,450.10,464.60,492200,453.87
2011-11-24,480.70,466.48,456.50,466.60,451100,455.82
2011-11-23,465.10,477.01,465.50,465.50,345500,454.75
2011-11-22,468.50,477.80,467.70,470.10,570400,459.24
2011-11-21,483.00,484.70,467.52,468.50,567900,457.68
2011-11-18,488.00,492.00,484.10,487.00,171400,475.75
2011-11-17,496.30,505.00,487.18,488.60,379800,477.32
2011-11-16,498.30,504.50,500.50,500.50,426200,488.94
2011-11-15,503.50,506.00,494.30,499.90,229400,488.36
2011-11-14,510.00,511.00,500.50,503.50,137800,491.87
2011-11-11,502.00,510.50,502.00,508.50,314400,496.76
2011-11-10,499.50,513.00,499.00,503.00,387300,491.38
2011-11-09,510.00,512.00,495.20,504.50,324000,492.85
2011-11-08,488.40,507.50,488.40,507.00,221300,495.29
2011-11-07,490.00,498.80,484.10,495.70,217700,484.25
2011-11-04,501.00,506.00,496.80,500.00,138000,488.45
2011-11-03,490.50,504.50,487.80,500.00,414200,488.45
2011-11-02,487.50,501.50,484.00,494.60,342500,483.18
2011-11-01,496.10,499.00,478.60,486.50,327600,475.26
2011-10-31,508.50,510.00,501.00,504.00,344200,492.36
2011-10-28,510.00,515.00,504.50,509.00,366600,497.25
