Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,1942.00,1962.00,1902.00,1920.00,1064700,1918.00
2012-08-02,1942.00,1962.00,1877.00,1918.00,1399200,1918.00
2012-08-01,1840.00,2003.98,1834.00,1937.00,4339700,1937.00
2012-07-31,1878.00,1898.00,1848.00,1848.00,2356200,1848.00
2012-07-27,1911.00,1922.00,1897.00,1918.00,1036400,1918.00
2012-07-26,1886.00,1913.00,1875.00,1908.00,1295000,1908.00
2012-07-25,1884.00,1888.00,1867.00,1877.00,718600,1877.00
2012-07-24,1880.00,1901.00,1873.00,1890.00,1439300,1890.00
2012-07-23,1901.00,1902.00,1860.51,1868.00,1067300,1868.00
2012-07-20,1915.00,1919.00,1905.97,1907.00,2595600,1907.00
2012-07-19,1898.00,1913.00,1888.00,1910.00,1069500,1910.00
2012-07-18,1873.00,1888.00,1862.00,1886.00,2626400,1886.00
2012-07-17,1868.00,1872.00,1859.00,1863.00,1187200,1863.00
2012-07-16,1871.00,1884.00,1864.00,1868.00,1003400,1868.00
2012-07-13,1873.00,1888.00,1863.00,1878.00,1177100,1878.00
2012-07-12,1852.00,1871.00,1842.00,1864.00,1416900,1864.00
2012-07-11,1840.00,1855.00,1833.00,1855.00,993700,1855.00
2012-07-10,1837.00,1857.00,1822.00,1854.00,1002800,1854.00
2012-07-09,1825.00,1836.00,1816.00,1826.00,2412700,1826.00
2012-07-06,1809.00,1825.00,1800.00,1820.00,1195600,1820.00
2012-07-05,1843.00,1853.00,1789.00,1802.00,2611300,1802.00
2012-07-04,1838.00,1851.00,1824.00,1844.00,659200,1844.00
2012-07-03,1845.00,1867.00,1836.00,1847.00,1565900,1847.00
2012-07-02,1836.00,1860.00,1776.00,1841.00,2943600,1841.00
2012-06-29,1820.00,1843.00,1809.00,1832.00,1367300,1832.00
2012-06-28,1825.00,1828.00,1770.00,1789.00,2426100,1789.00
2012-06-27,1820.00,1850.00,1779.94,1812.00,4129900,1812.00
2012-06-26,1760.00,1800.00,1758.00,1798.00,4263700,1798.00
2012-06-25,1784.00,1802.00,1706.00,1743.00,8127200,1743.00
2012-06-22,1940.00,1976.50,1936.00,1966.00,1541900,1966.00
2012-06-21,1937.00,1957.00,1934.00,1944.00,1138400,1944.00
2012-06-20,1940.00,1951.00,1926.71,1944.00,1620900,1944.00
2012-06-19,1915.00,1951.00,1910.00,1946.00,1497400,1946.00
2012-06-18,1913.00,1921.00,1899.00,1917.00,1081100,1917.00
2012-06-15,1900.00,1900.00,1882.00,1895.00,2654600,1895.00
2012-06-14,1896.00,1906.00,1888.00,1894.00,1202600,1894.00
2012-06-13,1886.00,1913.00,1876.00,1904.00,2160200,1904.00
