Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,193.25,194.00,189.00,192.49,68100,194.00
2012-08-01,194.00,194.00,190.38,194.00,73800,194.00
2012-07-31,190.19,194.00,190.19,190.38,14500,190.38
2012-07-30,192.00,193.64,189.75,193.39,10900,193.39
2012-07-27,191.00,191.75,187.25,191.49,62400,191.49
2012-07-26,188.25,189.25,188.25,189.25,17800,189.25
2012-07-25,187.50,188.75,183.00,183.00,3200,183.00
2012-07-24,187.75,188.00,184.00,184.00,18700,184.00
2012-07-23,186.50,189.10,185.11,185.11,18900,185.11
2012-07-20,187.00,192.00,186.50,186.50,15900,186.50
2012-07-19,191.89,192.64,189.00,189.00,26500,189.00
2012-07-18,192.00,193.00,189.00,189.00,28700,189.00
2012-07-17,189.62,192.89,187.75,191.89,69200,191.89
2012-07-16,192.00,194.00,189.75,192.64,29300,192.64
2012-07-13,191.00,191.00,190.11,190.11,11700,190.11
2012-07-12,189.75,191.25,189.75,189.75,45100,189.75
2012-07-11,190.00,190.00,186.25,190.00,26300,190.00
2012-07-10,186.12,190.00,185.06,189.00,31500,189.00
2012-07-09,190.00,190.00,186.06,188.00,4400,188.00
2012-07-06,189.00,189.00,186.26,186.26,7000,186.26
2012-07-05,191.75,191.75,188.26,191.00,10600,191.00
2012-07-04,190.00,191.75,188.76,191.75,14600,191.75
2012-07-03,193.00,193.00,193.00,193.00,23000,193.00
2012-07-02,193.00,194.00,189.00,189.00,35000,189.00
2012-06-29,190.00,192.50,187.44,192.50,44200,192.50
2012-06-28,187.00,188.00,186.00,188.00,9500,188.00
2012-06-27,184.25,188.00,184.25,186.00,53300,186.00
2012-06-26,186.00,187.00,184.50,187.00,14700,187.00
2012-06-25,187.00,187.00,184.26,186.00,41200,186.00
2012-06-22,186.00,187.00,183.25,187.00,22300,187.00
2012-06-21,186.50,187.00,184.00,184.00,9700,184.00
2012-06-20,184.00,186.00,184.00,184.61,51000,184.61
2012-06-19,184.00,184.00,181.61,184.00,21900,184.00
2012-06-18,181.00,184.00,181.00,184.00,39900,184.00
2012-06-15,184.00,184.25,179.00,184.25,20000,184.25
2012-06-14,184.00,184.00,178.50,178.50,34500,178.50
2012-06-13,181.11,181.11,179.86,179.86,13000,179.86
2012-06-12,179.81,184.00,179.81,184.00,9100,184.00
2012-06-11,183.00,187.00,179.00,179.00,37200,179.00
2012-06-08,181.25,182.00,178.25,181.84,14800,181.84
2012-06-07,179.75,181.50,177.01,181.50,35100,181.50
2012-06-06,180.00,180.00,176.25,180.00,36400,180.00
2012-06-01,179.49,179.79,174.76,179.79,59100,179.79
2012-05-31,177.00,180.00,177.00,179.49,11500,179.49
