Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,335.30,336.00,327.70,328.10,141900,328.60
2012-08-02,335.30,336.00,327.70,328.60,241700,328.60
2012-08-01,327.20,334.30,327.20,334.30,272200,334.30
2012-07-31,329.50,331.40,324.00,326.30,303300,326.30
2012-07-27,320.00,323.50,316.11,321.90,304100,321.90
2012-07-26,312.90,319.30,306.15,319.30,288800,319.30
2012-07-25,311.00,319.30,308.80,313.00,385900,313.00
2012-07-24,318.30,319.50,310.60,310.60,258900,310.60
2012-07-23,320.80,322.20,312.90,317.10,292600,317.10
2012-07-20,323.40,328.40,321.06,325.00,476200,325.00
2012-07-19,321.00,325.40,318.20,323.00,354500,323.00
2012-07-18,321.00,321.90,313.60,317.00,329300,317.00
2012-07-17,319.60,325.46,318.80,318.80,605300,318.80
2012-07-16,330.90,330.90,319.70,319.70,480000,319.70
2012-07-13,328.00,335.00,326.00,330.70,496000,330.70
2012-07-12,327.90,331.70,322.30,323.90,351400,323.90
2012-07-11,331.40,332.90,326.80,328.20,317800,328.20
2012-07-10,329.20,334.40,326.20,332.00,324800,332.00
2012-07-09,332.40,343.10,324.60,326.70,586200,326.70
2012-07-06,327.20,335.90,325.54,331.60,689300,331.60
2012-07-05,325.30,336.00,322.20,327.03,610600,327.03
2012-07-04,326.20,326.20,317.20,325.00,655600,325.00
2012-07-03,310.90,326.70,309.05,325.80,922000,325.80
2012-07-02,290.40,319.00,290.40,309.40,1118100,309.40
2012-06-29,287.00,291.40,285.00,289.40,541000,289.40
2012-06-28,281.40,290.50,277.40,279.00,494800,279.00
2012-06-27,278.40,283.29,275.50,280.30,388900,280.30
2012-06-26,280.90,283.50,276.20,276.50,473300,276.50
2012-06-25,295.60,295.60,281.20,281.20,519300,281.20
2012-06-22,298.00,299.70,295.10,296.10,463300,296.10
2012-06-21,304.90,306.10,297.50,297.50,573400,297.50
2012-06-20,304.00,310.30,302.30,308.20,393900,308.20
2012-06-19,300.70,308.40,299.50,305.50,985900,305.50
2012-06-18,302.30,303.30,293.20,300.30,980500,300.30
2012-06-15,279.40,302.58,279.40,302.40,5558900,302.40
2012-06-14,282.60,283.10,279.00,279.00,1082000,279.00
2012-06-13,285.80,287.50,278.50,282.00,596300,282.00
2012-06-12,282.00,285.50,278.60,283.20,1080900,283.20
2012-06-11,293.10,294.10,279.71,280.00,884800,280.00
2012-06-08,288.40,288.80,281.10,286.60,1050100,286.60
2012-06-07,291.00,294.20,283.10,290.30,755000,290.30
2012-06-06,277.40,290.90,277.40,290.00,1584700,290.00
2012-06-01,281.50,283.10,269.80,276.80,1296900,276.80
2012-05-31,280.00,286.50,277.10,280.70,1234200,280.70
2012-05-30,277.70,283.40,276.30,278.50,1116100,278.50
2012-05-29,273.10,284.90,271.60,281.30,860500,281.30
2012-05-28,270.00,274.90,267.10,271.40,524600,271.40
2012-05-25,270.00,273.20,265.50,270.30,917100,270.30
2012-05-24,267.10,274.50,267.00,271.10,895200,271.10
2012-05-23,269.00,269.00,261.50,264.70,954900,264.70
2012-05-22,267.30,275.20,266.40,271.70,753100,271.70
2012-05-21,262.90,268.00,260.20,264.90,598400,264.90
2012-05-18,261.00,267.20,258.17,265.10,961100,265.10
2012-05-17,266.40,270.70,263.10,264.20,806400,264.20
2012-05-16,264.50,269.00,258.10,266.50,1208000,266.50
2012-05-14,263.80,263.80,252.50,254.90,717200,254.90
2012-05-11,266.60,271.30,263.50,266.90,848500,266.90
2012-05-10,265.50,270.00,262.10,267.00,857900,267.00
2012-05-09,268.90,270.00,257.40,263.40,1480300,263.40
2012-05-08,276.10,279.82,262.50,262.50,1156300,262.50
2012-05-04,288.50,289.90,274.40,275.40,901700,275.40
2012-05-03,294.20,296.90,287.90,290.00,604000,290.00
2012-05-02,296.80,299.50,292.30,294.10,408500,294.10
2012-05-01,296.80,301.00,295.30,297.30,127800,297.30
2012-04-30,308.70,308.70,297.96,300.00,361000,300.00
2012-04-27,298.80,305.10,297.10,305.10,472200,305.10
2012-04-26,297.00,302.63,296.20,302.60,386000,302.60
2012-04-25,291.80,297.90,291.80,294.70,353400,294.70
2012-04-24,291.00,293.52,288.40,292.00,377400,292.00
2012-04-23,295.50,295.60,285.30,290.20,650500,290.20
2012-04-20,287.10,296.23,287.10,296.20,806900,296.20
2012-04-19,298.10,300.54,288.50,288.90,684400,288.90
2012-04-18,296.10,299.70,292.40,298.90,900000,298.90
2012-04-17,279.80,296.00,266.20,277.89,1389300,277.89
2012-04-16,286.90,291.92,284.90,285.90,824000,285.90
2012-04-13,294.10,296.50,287.40,288.70,363700,288.70
2012-04-12,289.60,297.60,283.00,294.10,729700,294.10
2012-04-11,284.70,293.70,283.30,287.90,664200,287.90
2012-04-10,299.00,299.30,284.80,284.80,1089900,284.80
2012-04-05,303.00,306.20,292.10,302.10,962100,302.10
2012-04-04,305.60,305.60,295.00,296.50,418200,296.50
2012-04-03,307.30,310.80,304.90,304.90,648200,304.90
2012-04-02,295.50,307.50,295.50,307.50,736700,307.50
2012-03-30,296.50,302.00,296.00,296.00,603300,296.00
2012-03-29,300.10,301.90,293.80,294.40,837500,294.40
2012-03-28,303.90,306.50,297.10,298.50,686200,298.50
2012-03-27,311.30,317.86,304.10,304.40,1156800,304.40
2012-03-26,303.80,310.80,299.40,309.60,853700,309.60
2012-03-23,308.20,310.83,300.80,304.40,1046000,304.40
2012-03-22,314.70,317.90,305.70,305.80,639500,305.80
2012-03-21,321.90,324.90,314.90,317.50,592600,317.50
2012-03-20,330.60,332.90,320.10,322.60,1205400,322.60
2012-03-19,329.70,335.60,324.40,329.40,562700,329.40
2012-03-16,335.60,336.20,314.00,331.10,1980000,331.10
2012-03-15,338.00,341.60,330.70,336.10,815900,336.10
2012-03-14,326.50,351.00,321.50,339.90,1848700,339.90
2012-03-13,315.80,330.40,312.40,327.80,1170300,327.80
2012-03-12,315.80,319.50,310.10,312.00,747900,312.00
2012-03-09,318.10,322.00,316.10,316.40,540100,316.40
2012-03-08,318.90,322.00,316.00,319.00,614300,319.00
2012-03-07,314.50,318.30,313.30,316.00,484700,316.00
2012-03-06,322.20,324.00,313.20,315.50,690200,315.50
2012-03-05,333.80,334.76,323.50,325.40,629300,325.40
2012-03-02,341.80,346.50,333.30,335.60,532600,335.60
2012-03-01,339.90,342.20,328.08,338.90,465200,338.90
2012-02-29,341.60,343.78,336.90,337.80,485000,337.80
2012-02-28,344.40,345.00,340.60,340.90,475200,340.90
2012-02-27,343.00,348.00,339.40,345.00,612700,345.00
2012-02-24,339.00,350.50,336.80,342.40,1304100,342.40
2012-02-23,329.50,360.50,328.90,336.10,1198200,336.10
2012-02-22,317.00,345.60,317.00,330.00,1515700,330.00
2012-02-21,315.30,318.60,314.10,316.60,454900,316.60
2012-02-20,315.70,318.90,313.20,315.00,771200,315.00
2012-02-17,307.90,315.80,304.50,313.40,601700,313.40
2012-02-16,304.70,304.70,298.80,304.00,302500,304.00
2012-02-15,308.80,311.20,303.10,306.00,379000,306.00
2012-02-14,307.40,311.00,306.50,307.70,254800,307.70
2012-02-13,309.90,315.10,305.60,312.08,300200,312.08
