Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,86.75,86.75,85.00,86.00,12100,86.38
2012-08-01,85.11,86.38,85.11,86.38,21100,86.38
2012-07-31,85.50,85.70,85.50,85.50,33800,85.50
2012-07-30,83.75,85.00,83.75,85.00,12600,85.00
2012-07-27,83.00,84.00,82.88,83.25,59300,83.25
2012-07-26,83.00,84.25,83.00,83.69,59700,83.69
2012-07-25,83.26,83.26,82.75,82.75,2800,82.75
2012-07-24,83.75,84.00,83.00,83.00,69500,83.00
2012-07-23,84.75,84.75,83.00,83.00,132400,83.00
2012-07-20,85.75,85.75,84.50,84.50,114000,84.50
2012-07-19,86.50,86.80,85.50,85.50,71600,85.50
2012-07-18,86.50,87.19,85.96,86.81,58500,86.81
2012-07-17,87.00,87.00,86.62,86.81,11800,86.81
2012-07-16,88.15,88.15,87.81,87.81,1000,87.81
2012-07-13,88.12,88.12,87.90,87.90,5800,87.90
2012-07-12,87.38,87.38,87.38,87.38,131100,87.38
2012-07-11,88.35,88.36,87.50,87.50,140900,87.50
2012-07-10,88.25,90.75,88.00,90.75,68000,90.75
2012-07-09,88.62,89.28,89.00,89.00,51700,89.00
2012-07-06,88.75,89.25,88.25,88.25,43300,88.25
2012-07-05,90.00,90.00,88.25,88.25,103400,88.25
2012-07-04,87.25,87.51,87.25,87.51,149000,87.51
2012-07-03,87.75,88.00,87.30,87.50,313900,87.50
2012-07-02,87.50,89.25,87.25,87.25,123200,87.25
2012-06-29,87.75,88.00,87.75,88.00,42400,88.00
2012-06-28,86.25,86.75,85.75,86.75,15000,86.75
2012-06-27,84.50,86.00,84.50,85.50,26800,85.50
2012-06-26,85.25,85.25,84.62,85.25,33100,85.25
2012-06-25,84.50,84.67,84.29,84.67,24700,84.67
2012-06-22,84.50,85.06,84.50,84.75,40900,84.75
2012-06-21,85.00,86.03,84.53,85.00,604700,85.00
2012-06-20,86.50,86.50,85.00,86.25,73300,86.25
2012-06-19,85.75,86.00,85.00,86.00,75900,86.00
2012-06-18,86.25,86.65,84.75,85.75,65600,85.75
2012-06-15,85.75,85.75,84.70,84.75,81000,84.75
2012-06-14,85.68,86.00,86.00,86.00,4700,86.00
2012-06-13,85.25,85.75,85.00,85.50,107900,85.50
2012-06-12,85.50,85.75,85.50,85.75,73100,85.75
2012-06-11,86.00,87.00,85.69,86.00,108000,86.00
2012-06-08,87.00,87.00,85.25,86.75,65500,86.75
2012-06-07,87.25,87.25,86.33,87.00,34500,87.00
2012-06-06,87.25,87.25,86.03,87.00,52300,87.00
2012-06-01,85.83,85.83,85.12,85.75,17500,85.75
2012-05-31,87.00,87.50,85.07,86.25,131800,86.25
2012-05-30,85.33,86.40,85.33,86.40,13300,86.40
2012-05-29,85.55,86.00,85.35,86.00,19000,86.00
2012-05-28,85.05,85.90,84.78,84.78,7400,84.78
2012-05-25,85.25,86.00,84.87,85.50,97300,85.50
2012-05-24,82.53,84.65,82.53,84.65,1500,84.65
2012-05-23,83.50,85.25,83.10,83.25,108800,83.25
2012-05-22,84.99,85.74,83.86,85.74,21700,85.74
2012-05-21,84.74,84.74,84.01,84.70,50100,84.70
2012-05-14,88.00,88.50,86.50,87.50,88300,87.50
2012-05-11,88.00,88.50,87.75,88.00,96900,88.00
2012-05-10,88.50,89.75,88.36,89.00,74300,89.00
2012-05-09,89.00,89.54,88.61,89.00,44900,89.00
2012-05-08,89.50,90.10,88.53,89.00,72000,89.00
2012-05-04,90.07,91.00,89.00,89.00,148700,89.00
2012-05-03,92.00,92.00,90.00,90.00,26100,90.00
2012-05-02,90.00,91.49,90.00,90.00,31300,90.00
2012-05-01,91.75,91.75,90.01,91.35,103900,91.35
2012-04-30,91.93,91.93,91.88,91.88,117000,91.88
2012-04-27,92.25,92.50,91.48,92.50,179000,92.50
2012-04-26,92.00,93.00,90.50,92.50,68500,92.50
2012-04-25,91.00,91.80,90.96,91.80,67800,91.80
2012-04-24,91.25,92.40,90.00,90.00,72700,90.00
2012-04-23,92.00,93.94,92.00,92.00,47500,92.00
2012-04-20,94.00,94.00,93.00,93.00,106000,93.00
2012-04-19,92.50,94.49,92.50,93.00,36200,93.00
2012-04-18,92.50,94.50,92.25,92.25,119200,92.25
2012-04-17,92.75,94.09,92.25,92.25,133700,92.25
2012-04-16,94.50,94.64,92.80,93.61,20900,93.61
2012-04-13,94.75,95.00,94.00,94.50,29300,94.50
2012-04-12,94.75,94.99,92.50,92.50,43700,92.50
2012-04-11,92.25,93.99,92.25,93.00,33100,93.00
2012-04-10,94.00,94.00,92.16,92.50,180700,92.50
2012-04-05,94.41,95.75,94.41,95.75,577700,95.75
2012-04-04,95.31,95.99,94.00,94.00,438300,94.00
2012-04-03,95.00,96.50,94.50,94.50,87000,94.50
2012-04-02,94.50,96.95,94.50,95.00,101300,95.00
2012-03-30,96.75,97.00,95.25,96.50,842000,96.50
2012-03-29,96.25,96.50,95.50,96.50,98000,96.50
2012-03-28,96.75,97.44,96.70,96.90,149600,96.90
2012-03-27,97.00,97.00,96.50,97.00,698500,97.00
2012-03-26,97.65,97.65,95.75,96.65,20500,96.65
2012-03-23,96.00,97.50,96.00,96.50,15900,96.50
2012-03-22,98.00,98.00,95.66,98.00,229000,98.00
2012-03-21,97.00,98.49,96.25,96.25,128700,96.25
2012-03-20,97.50,98.85,96.75,96.75,121100,96.75
2012-03-19,97.50,98.85,97.50,97.50,156500,97.50
2012-03-16,97.50,98.25,97.50,97.50,458800,97.50
