Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,267.44,267.50,264.00,264.00,60700,266.75
2012-08-01,266.50,267.00,265.30,266.75,59100,266.75
2012-07-31,265.50,267.70,265.50,266.27,73900,266.27
2012-07-30,267.50,267.75,266.01,267.00,161600,267.00
2012-07-27,264.50,267.75,261.26,267.00,105700,267.00
2012-07-26,262.50,265.00,261.25,264.00,68900,264.00
2012-07-25,262.80,265.00,262.50,262.50,14800,262.50
2012-07-24,266.25,266.25,263.00,263.00,29000,263.00
2012-07-23,267.00,268.33,264.01,264.74,46100,264.74
2012-07-20,271.50,273.99,269.50,269.50,106800,269.50
2012-07-19,271.00,272.50,271.00,272.50,230600,272.50
2012-07-18,272.00,272.47,271.25,271.50,97400,271.50
2012-07-17,272.00,272.75,270.50,270.70,28100,270.70
2012-07-16,272.75,273.75,272.25,273.24,38600,273.24
2012-07-13,273.00,276.24,272.16,274.00,121600,274.00
2012-07-12,272.00,272.00,270.75,271.70,48300,271.70
2012-07-11,273.00,273.89,272.00,273.14,107900,273.14
2012-07-10,276.00,278.08,273.75,275.00,325500,275.00
2012-07-09,276.48,279.50,276.42,279.50,16300,279.50
2012-07-06,280.93,280.93,277.05,280.38,20800,280.38
2012-07-05,278.50,279.94,277.75,279.77,9700,279.77
2012-07-04,278.10,279.45,278.00,278.10,18500,278.10
2012-07-03,280.00,280.00,276.91,278.00,22200,278.00
2012-07-02,276.00,279.75,275.00,275.00,48800,275.00
2012-06-29,274.30,276.00,273.05,275.50,67900,275.50
2012-06-28,267.50,271.25,266.75,268.25,34800,268.25
2012-06-27,269.00,270.48,266.25,268.25,21700,268.25
2012-06-26,268.83,268.83,266.21,268.83,5600,268.83
2012-06-25,267.00,271.74,267.00,267.00,32400,267.00
2012-06-22,269.00,270.00,268.10,269.62,84400,269.62
2012-06-21,270.00,273.15,269.00,269.00,37600,269.00
2012-06-20,274.00,274.00,270.44,272.00,29700,272.00
2012-06-19,270.00,271.75,267.01,271.25,35600,271.25
2012-06-18,267.50,272.00,266.00,271.00,120800,271.00
2012-06-15,269.50,269.50,266.00,266.00,34100,266.00
2012-06-14,269.00,270.00,267.39,270.00,33100,270.00
2012-06-13,271.25,273.91,271.00,271.00,17800,271.00
2012-06-12,272.50,274.55,271.00,274.25,45100,274.25
2012-06-11,277.00,278.50,273.19,276.75,45900,276.75
2012-06-08,276.00,276.00,269.76,275.00,51700,275.00
2012-06-07,273.00,276.00,273.00,276.00,18500,276.00
2012-06-06,271.00,274.00,271.00,274.00,19900,274.00
2012-06-01,269.00,272.15,267.50,268.90,17200,268.90
2012-05-31,270.00,273.90,269.36,270.75,8500,270.75
2012-05-30,268.25,270.00,268.06,268.06,35700,268.06
2012-05-29,273.00,275.56,271.00,273.65,33100,273.65
2012-05-28,272.20,272.80,272.00,272.80,13200,272.80
2012-05-25,270.00,272.50,267.50,272.50,35000,272.50
2012-05-24,266.00,270.74,265.75,267.49,43100,267.49
2012-05-23,267.00,266.00,266.00,266.00,11500,266.00
2012-05-22,268.00,272.00,265.75,270.00,65700,270.00
2012-05-21,264.50,267.52,264.50,266.50,95300,266.50
2012-05-14,276.00,276.00,272.50,274.25,81300,274.25
2012-05-11,274.75,282.00,272.75,282.00,65300,282.00
2012-05-10,275.50,279.50,272.56,279.50,25700,279.50
2012-05-09,275.25,277.25,271.75,277.25,54000,277.25
2012-05-08,279.00,280.25,274.24,274.24,37900,274.24
2012-05-04,283.50,285.27,278.75,279.00,33300,279.00
2012-05-03,285.50,287.00,283.75,287.00,23100,287.00
2012-05-02,283.00,286.23,283.00,283.00,12400,283.00
2012-05-01,286.00,286.00,282.38,285.00,56000,285.00
2012-04-30,283.25,285.24,281.50,281.50,25800,281.50
2012-04-27,285.00,285.25,283.00,285.25,8500,285.25
2012-04-26,282.00,283.00,281.00,281.75,20500,281.75
2012-04-25,283.00,283.00,281.00,281.50,18900,281.50
2012-04-24,278.00,282.52,275.70,280.00,69100,280.00
2012-04-23,280.00,280.14,278.00,279.27,33500,279.27
2012-04-20,280.50,284.02,280.50,284.02,18900,284.02
2012-04-19,284.50,284.50,280.63,283.00,62800,283.00
2012-04-18,283.00,283.74,281.25,282.89,42400,282.89
2012-04-17,280.25,282.25,279.00,282.25,26500,282.25
2012-04-16,279.75,280.50,278.00,280.00,36100,280.00
2012-04-13,280.00,280.50,277.25,279.75,53200,279.75
2012-04-12,276.00,280.10,274.26,280.00,68300,280.00
2012-04-11,273.50,276.12,273.01,276.00,68200,276.00
2012-04-10,276.00,279.51,273.50,273.50,25100,273.50
2012-04-05,279.50,281.44,277.00,279.75,89600,279.75
2012-04-04,285.00,285.12,279.75,279.75,210800,279.75
2012-04-03,286.50,287.00,285.00,287.00,69800,287.00
2012-04-02,281.00,285.25,280.23,285.00,36600,285.00
2012-03-30,281.50,284.00,279.50,284.00,98600,284.00
2012-03-29,283.00,283.50,279.50,283.50,40300,283.50
2012-03-28,285.00,285.71,284.76,285.00,22400,285.00
2012-03-27,288.00,289.50,286.00,286.00,48900,286.00
2012-03-26,286.50,288.50,285.50,288.00,75400,288.00
2012-03-23,285.50,288.19,283.50,286.25,74700,286.25
2012-03-22,288.25,288.25,284.00,288.00,54700,288.00
2012-03-21,288.25,291.50,288.00,288.00,42000,288.00
2012-03-20,289.00,289.47,285.75,288.25,52700,288.25
2012-03-19,292.00,292.40,289.00,289.00,84300,289.00
2012-03-16,293.75,294.75,291.00,292.00,94500,292.00
2012-03-15,292.00,296.00,290.76,296.00,27100,296.00
2012-03-14,293.75,295.50,292.25,295.25,51400,295.25
2012-03-13,290.00,294.50,289.26,294.50,53800,294.50
2012-03-12,283.96,289.50,283.96,289.50,47400,289.50
2012-03-09,287.00,288.50,284.81,288.50,79700,288.50
2012-03-08,288.00,288.75,283.55,288.00,49000,288.00
2012-03-07,283.25,284.12,282.90,283.25,46400,283.25
2012-03-06,288.00,288.93,282.26,284.00,64200,284.00
2012-03-05,291.25,291.48,287.44,289.00,48600,289.00
2012-03-02,291.58,293.00,290.00,290.83,56400,290.83
2012-03-01,291.00,291.80,290.05,290.25,32500,290.25
2012-02-29,292.75,292.95,288.50,288.50,58900,288.50
2012-02-28,290.00,291.00,287.95,289.25,21700,289.25
2012-02-27,286.00,287.55,284.28,287.05,23600,287.05
2012-02-24,286.00,288.00,286.00,288.00,43600,288.00
2012-02-23,285.00,288.50,284.25,285.65,87100,285.65
2012-02-22,283.00,284.25,283.00,284.15,61900,284.15
2012-02-21,284.00,284.15,282.00,283.05,74300,283.05
2012-02-20,283.00,284.50,282.00,284.00,78100,284.00
2012-02-17,280.25,281.00,279.50,280.50,86400,280.50
2012-02-16,277.25,278.00,276.02,277.00,203500,277.00
2012-02-15,282.00,282.00,277.90,279.24,75700,279.24
2012-02-14,278.00,279.25,276.68,278.00,48700,278.00
2012-02-13,279.50,281.25,276.75,277.00,96000,277.00
2012-02-10,276.00,277.49,275.00,276.75,32300,276.75
2012-02-09,276.25,277.75,275.26,276.00,31800,276.00
2012-02-08,277.25,279.58,274.25,274.25,70600,274.25
2012-02-07,279.00,282.75,275.26,277.50,88600,277.50
2012-02-06,279.00,281.74,277.00,279.00,56900,279.00
2012-02-03,274.00,281.49,274.00,281.49,31700,281.49
2012-02-02,274.50,274.50,272.66,273.95,26200,273.95
2012-02-01,269.42,273.75,269.42,272.75,55800,272.75
2012-01-31,272.00,273.00,268.75,268.75,32100,268.75
2012-01-30,268.00,272.75,266.00,267.00,80100,267.00
2012-01-27,272.00,272.00,270.26,271.50,14000,271.50
2012-01-26,273.50,274.50,273.50,274.50,83100,274.50
2012-01-25,269.50,271.74,267.25,268.40,42500,268.40
2012-01-24,272.00,272.00,268.09,270.00,9900,270.00
2012-01-23,271.75,274.75,270.00,273.00,18200,273.00
2012-01-20,267.50,271.25,267.40,269.89,33100,269.89
2012-01-19,271.50,271.50,266.80,270.00,29700,270.00
2012-01-18,269.00,269.00,266.00,267.00,29100,267.00
2012-01-17,267.00,269.25,265.33,267.00,30200,267.00
2012-01-16,262.55,262.98,262.51,262.98,9600,262.98
2012-01-13,266.00,268.25,262.00,262.00,17400,262.00
2012-01-12,263.75,269.60,253.75,266.07,75800,266.07
2012-01-11,270.25,271.00,263.50,263.50,6800,263.50
2012-01-09,265.00,266.50,263.75,263.75,15200,263.75
2012-01-06,260.85,269.44,260.85,264.50,26300,264.50
2012-01-05,267.00,268.75,261.39,263.00,42200,263.00
2012-01-04,268.00,271.57,267.10,269.15,42200,269.15
2012-01-03,267.90,269.50,262.10,266.25,17100,266.25
2011-12-30,264.25,264.25,262.75,262.75,1900,262.75
2011-12-29,264.75,265.00,258.00,258.00,20900,258.00
2011-12-28,264.40,264.40,258.10,258.10,2800,258.10
2011-12-23,261.75,263.22,258.00,259.50,100800,259.50
2011-12-22,254.00,260.75,254.00,254.00,49200,254.00
2011-12-21,253.50,253.50,250.00,252.75,47700,252.75
2011-12-20,249.00,251.74,246.50,248.00,37600,248.00
2011-12-19,244.25,251.62,244.00,246.00,20000,246.00
2011-12-16,248.90,252.00,248.50,248.50,15500,248.50
2011-12-15,248.50,252.00,247.90,247.90,19400,247.90
2011-12-14,252.00,254.50,245.84,246.50,18500,246.50
2011-12-13,250.25,254.49,253.50,253.50,20100,253.50
2011-12-12,253.00,254.50,250.00,250.00,7000,250.00
2011-12-09,257.25,258.50,252.00,253.00,104500,253.00
2011-12-08,260.25,262.00,257.00,257.00,56000,257.00
2011-12-07,269.00,269.00,260.25,262.75,49100,262.75
2011-12-06,266.25,268.00,261.00,265.00,73100,265.00
2011-12-05,270.00,270.00,267.00,267.50,21800,267.50
2011-12-02,266.00,268.75,266.00,268.75,41600,268.75
2011-12-01,263.00,268.00,263.00,268.00,67900,268.00
2011-11-30,255.75,262.50,254.00,259.25,55400,259.25
2011-11-28,255.00,256.00,251.00,255.75,41500,255.75
2011-11-25,254.00,254.00,247.00,250.00,26100,250.00
2011-11-24,251.00,256.00,249.00,249.00,19200,249.00
2011-11-23,257.00,257.00,250.00,250.00,27000,250.00
2011-11-22,265.00,265.00,257.00,259.50,51000,259.50
2011-11-21,259.00,264.39,257.25,263.50,22100,263.50
2011-11-18,259.00,264.87,259.00,261.59,18400,261.59
2011-11-17,265.00,270.85,262.00,264.25,39800,264.25
2011-11-16,270.00,272.00,267.50,269.60,35000,269.60
2011-11-15,271.00,273.00,268.75,271.00,12600,271.00
2011-11-14,269.00,274.00,267.25,270.25,44100,270.25
2011-11-11,269.00,271.75,267.50,270.50,54800,270.50
2011-11-10,270.00,274.00,267.00,267.00,40500,267.00
2011-11-09,277.00,278.50,272.50,272.50,17400,272.50
2011-11-08,277.50,277.50,276.50,276.50,19500,276.50
2011-11-07,275.00,277.00,274.50,277.00,10700,277.00
2011-11-04,280.00,281.75,277.50,277.50,11600,277.50
2011-11-03,280.00,284.00,275.00,284.00,44700,284.00
2011-11-02,281.00,282.00,274.50,282.00,20400,282.00
2011-11-01,273.00,279.00,273.00,279.00,9500,279.00
2011-10-31,284.00,286.50,281.01,285.50,22500,285.50
2011-10-28,289.00,291.50,285.50,290.00,22100,290.00
2011-10-27,282.00,290.50,282.00,286.60,47900,286.60
2011-10-26,277.00,279.98,277.00,277.00,11700,277.00
2011-10-25,277.00,281.50,275.00,275.00,26500,275.00
