Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,63.00,63.75,62.50,63.75,31900,63.00
2012-08-01,63.50,63.52,63.00,63.00,127700,63.00
2012-07-31,64.00,64.00,63.00,63.50,232800,63.50
2012-07-30,63.00,63.75,63.00,63.50,103500,63.50
2012-07-27,63.25,63.60,63.00,63.50,43600,63.50
2012-07-26,63.62,63.25,63.25,63.25,62600,63.25
2012-07-25,63.50,64.24,63.25,63.75,93900,63.75
2012-07-24,63.50,64.25,63.50,63.50,97400,63.50
2012-07-23,63.75,64.00,62.98,64.00,103100,64.00
2012-07-20,64.00,64.50,63.50,64.50,203000,64.50
2012-07-19,64.00,64.74,63.52,64.00,349000,64.00
2012-07-18,64.75,64.75,63.46,63.75,158600,63.75
2012-07-17,64.25,64.25,63.75,63.75,206600,63.75
2012-07-16,64.75,64.75,64.00,64.75,93400,64.75
2012-07-13,64.00,64.75,64.00,64.00,43900,64.00
2012-07-12,64.75,64.75,64.25,64.25,131200,64.25
2012-07-11,64.00,64.99,63.75,64.50,90000,64.50
2012-07-10,64.75,64.75,63.75,64.75,85000,64.75
2012-07-09,64.49,64.75,63.76,64.75,242000,64.75
2012-07-06,63.50,64.50,63.50,64.25,51200,64.25
2012-07-05,64.00,64.50,63.25,64.50,102200,64.50
2012-07-04,64.00,64.00,63.26,64.00,58900,64.00
2012-07-03,63.00,63.75,63.00,63.75,155700,63.75
2012-07-02,63.00,63.75,62.95,63.75,257800,63.75
2012-06-29,63.50,64.00,62.75,63.25,139000,63.25
2012-06-28,62.50,63.75,62.50,63.50,150200,63.50
2012-06-27,62.50,63.50,62.50,63.25,14400,63.25
2012-06-26,63.00,63.75,62.50,62.75,151800,62.75
2012-06-25,63.86,63.86,63.14,63.75,47000,63.75
2012-06-22,64.00,64.00,63.00,63.25,34900,63.25
2012-06-21,63.00,64.00,62.75,64.00,157900,64.00
2012-06-20,64.00,64.00,63.25,63.25,147800,63.25
2012-06-19,64.00,64.11,62.50,64.00,35600,64.00
2012-06-18,64.00,64.25,62.50,62.50,55100,62.50
2012-06-15,64.25,64.25,63.00,64.00,268400,64.00
2012-06-14,63.14,64.14,62.75,62.75,56700,62.75
2012-06-13,64.00,64.14,63.50,64.00,49700,64.00
2012-06-12,64.25,64.50,63.50,63.50,63000,63.50
2012-06-11,63.85,64.25,63.25,63.25,148400,63.25
2012-06-08,63.00,64.00,62.00,64.00,103400,64.00
2012-06-07,61.50,63.25,61.50,61.75,99300,61.75
2012-06-06,61.75,63.25,61.50,62.00,243900,62.00
2012-06-01,62.00,63.25,61.41,62.75,119200,62.75
2012-05-31,63.75,63.75,62.50,62.50,95300,62.50
2012-05-30,63.50,64.00,63.01,63.75,166700,63.75
2012-05-29,63.25,64.50,63.00,64.50,308600,64.50
2012-05-28,63.50,64.57,63.00,63.25,184600,63.25
2012-05-25,63.00,63.25,62.00,63.25,71100,63.25
2012-05-24,62.50,62.75,62.00,62.00,156200,62.00
2012-05-23,62.00,62.45,62.00,62.00,53100,62.00
2012-05-22,62.00,63.00,62.00,63.00,75500,63.00
2012-05-21,61.75,62.75,61.75,62.75,107600,62.75
2012-05-14,62.00,62.24,61.51,61.75,275700,61.75
2012-05-11,62.75,63.00,62.00,62.00,119200,62.00
2012-05-10,62.50,62.89,62.25,62.75,130100,62.75
2012-05-09,63.00,64.50,62.00,62.00,280200,62.00
2012-05-08,63.50,64.00,63.00,63.00,294900,61.87
2012-05-04,63.50,63.50,62.61,62.75,96700,61.62
2012-05-03,62.00,63.50,61.75,63.50,234500,62.36
2012-05-02,63.00,63.25,62.50,63.25,91500,62.11
2012-05-01,62.99,63.43,62.42,62.99,59600,61.86
2012-04-30,63.00,63.00,62.50,63.00,84300,61.87
2012-04-27,63.00,63.05,61.75,61.75,134100,60.64
2012-04-26,62.50,63.00,62.25,62.25,111800,61.13
2012-04-25,62.50,63.00,61.75,63.00,93200,61.87
2012-04-24,62.50,63.50,62.50,62.50,196700,61.38
2012-04-23,63.00,63.00,62.25,62.50,106400,61.38
2012-04-20,62.25,63.00,62.25,62.25,73900,61.13
2012-04-19,62.75,63.00,61.75,63.00,267900,61.87
2012-04-18,61.50,63.00,61.50,63.00,55800,61.87
2012-04-17,62.75,63.00,62.25,63.00,115700,61.87
2012-04-16,63.00,63.00,61.75,62.25,66800,61.13
2012-04-13,63.00,63.00,62.00,62.50,129200,61.38
2012-04-12,63.00,63.00,62.00,62.50,233900,61.38
2012-04-11,62.00,62.91,62.00,62.75,302400,61.62
2012-04-10,63.00,63.00,62.33,63.00,103500,61.87
2012-04-05,62.50,63.00,61.88,63.00,135100,61.87
2012-04-04,61.75,62.50,61.50,62.50,101900,61.38
2012-04-03,61.25,62.50,61.25,62.50,151300,61.38
