Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,172.50,181.25,172.50,179.25,16300,181.75
2012-08-02,172.50,181.75,172.50,181.75,29500,181.75
2012-08-01,175.75,179.00,173.50,174.00,89300,174.00
2012-07-31,175.00,181.75,175.00,177.00,272800,177.00
2012-07-27,177.50,179.25,174.25,179.25,125700,179.25
2012-07-26,177.00,178.25,174.13,177.00,56700,177.00
2012-07-25,176.00,177.00,175.50,177.00,128200,177.00
2012-07-24,177.00,177.75,175.96,177.75,50200,177.75
2012-07-23,178.00,180.00,175.64,177.75,147100,177.75
2012-07-20,172.50,180.00,172.50,179.00,247600,179.00
2012-07-19,176.25,176.75,172.25,174.00,52900,174.00
2012-07-18,173.75,175.00,172.00,172.00,21700,172.00
2012-07-17,176.25,177.62,172.25,172.25,84400,172.25
2012-07-16,177.75,178.00,176.11,178.00,39300,178.00
2012-07-13,175.50,177.75,175.50,176.75,54700,176.75
2012-07-12,178.75,178.75,175.00,175.50,59100,175.50
2012-07-11,175.25,179.00,165.25,178.00,283800,178.00
2012-07-10,180.00,181.75,172.00,173.75,224400,173.75
2012-07-09,180.00,181.75,177.00,181.75,114900,181.75
2012-07-06,176.00,180.75,176.00,180.75,115700,180.75
2012-07-05,177.75,179.00,174.14,179.00,47500,179.00
2012-07-04,173.50,180.00,170.83,180.00,61000,180.00
2012-07-03,175.00,175.00,170.00,175.00,265100,175.00
2012-07-02,166.00,178.00,163.00,178.00,234300,178.00
2012-06-29,158.75,168.50,156.00,168.50,120900,168.50
2012-06-28,157.75,160.50,156.50,157.75,88000,157.75
2012-06-27,155.25,158.25,155.25,158.25,36100,158.25
2012-06-26,150.25,160.75,150.25,154.25,97800,154.25
2012-06-25,154.00,155.21,152.76,153.00,41900,153.00
2012-06-22,153.50,155.00,152.50,154.50,39500,154.50
2012-06-21,147.50,155.75,147.50,155.75,131400,155.75
2012-06-20,152.50,153.25,146.00,146.00,29600,146.00
2012-06-19,145.00,152.00,145.00,152.00,101300,152.00
2012-06-18,149.00,152.00,145.00,145.50,124200,145.50
2012-06-15,154.25,162.00,145.50,145.50,433000,145.50
2012-06-14,163.00,166.25,152.75,152.75,52600,152.75
2012-06-13,159.25,160.00,155.27,158.25,46500,158.25
2012-06-12,160.00,161.75,154.00,160.00,134900,160.00
2012-06-11,164.75,164.75,160.00,160.00,55400,160.00
2012-06-08,165.25,167.50,163.75,163.75,44800,163.75
2012-06-07,166.75,173.75,165.00,165.00,170900,165.00
2012-06-06,160.00,171.25,158.50,165.00,240500,165.00
2012-06-01,162.00,162.25,158.50,160.00,99400,160.00
2012-05-31,169.50,174.50,160.94,161.00,353700,161.00
2012-05-30,167.00,175.18,164.50,169.50,268400,169.50
2012-05-29,158.50,167.50,157.67,167.50,75800,167.50
2012-05-28,159.00,161.00,156.50,158.00,18900,158.00
2012-05-25,159.00,159.00,157.00,157.00,4000,157.00
2012-05-24,154.75,157.25,154.75,155.00,47900,155.00
2012-05-23,152.00,154.01,151.00,152.25,31800,152.25
2012-05-22,155.00,155.00,151.00,152.00,96100,152.00
2012-05-21,157.50,157.50,152.50,153.50,80900,153.50
2012-05-18,155.00,158.57,153.20,155.00,70200,155.00
2012-05-17,154.00,157.50,153.25,155.25,1737600,155.25
2012-05-16,154.25,158.15,152.50,153.71,34700,153.71
2012-05-14,169.00,169.88,166.75,166.75,23000,166.75
2012-05-11,173.50,173.50,168.48,170.00,97400,170.00
2012-05-10,172.50,173.50,169.25,173.50,26300,173.50
2012-05-09,171.75,172.00,167.75,169.25,129400,169.25
2012-05-08,172.25,175.75,169.75,174.50,541800,174.50
2012-05-04,175.00,175.00,168.75,168.75,80700,168.75
