Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,670.00,670.00,660.00,662.50,18000,666.50
2012-08-01,667.50,671.11,662.08,666.50,85000,666.50
2012-07-31,666.00,669.50,662.33,666.00,139700,666.00
2012-07-30,659.50,665.49,656.66,664.50,88300,664.50
2012-07-27,648.00,660.36,646.61,659.00,135300,659.00
2012-07-26,636.00,647.00,636.00,646.00,273000,646.00
2012-07-25,643.00,643.00,635.00,635.00,255700,635.00
2012-07-24,642.00,648.00,641.00,642.00,134300,642.00
2012-07-23,651.00,654.69,642.30,644.50,120700,644.50
2012-07-20,655.00,657.00,651.96,652.50,185500,652.50
2012-07-19,659.50,661.60,656.00,657.00,435300,657.00
2012-07-18,661.50,662.30,654.83,657.00,256300,657.00
2012-07-17,662.50,663.50,657.11,658.00,194700,658.00
2012-07-16,668.00,668.51,659.50,660.00,149900,660.00
2012-07-13,665.00,666.50,659.00,663.00,162100,663.00
2012-07-12,661.50,672.00,658.00,661.50,213200,661.50
2012-07-11,681.50,682.40,670.50,674.50,213000,674.50
2012-07-10,681.50,684.95,676.51,683.00,208200,683.00
2012-07-09,678.50,684.00,675.00,679.00,221200,679.00
2012-07-06,690.00,690.00,679.00,680.50,163800,680.50
2012-07-05,690.00,693.00,683.00,688.00,275400,688.00
2012-07-04,687.00,690.07,684.50,689.00,265200,689.00
2012-07-03,674.50,689.00,673.00,689.00,171400,689.00
2012-07-02,663.50,679.50,663.50,676.00,451000,676.00
2012-06-29,659.50,664.99,656.50,662.50,179900,662.50
2012-06-28,655.00,655.00,643.50,646.50,165100,646.50
2012-06-27,641.50,655.00,641.50,655.00,80800,655.00
2012-06-26,644.00,645.00,639.94,645.00,83500,645.00
2012-06-25,647.50,651.30,640.11,642.00,107200,642.00
2012-06-22,656.50,656.70,646.00,650.00,151200,650.00
2012-06-21,660.00,667.50,654.05,662.50,134600,662.50
2012-06-20,649.00,660.50,649.00,660.50,241400,660.50
2012-06-19,635.00,653.00,635.00,652.50,161700,652.50
2012-06-18,646.50,650.00,635.00,637.50,192000,637.50
2012-06-15,648.00,649.00,641.84,645.50,438900,645.50
2012-06-14,647.00,648.00,638.50,642.00,160200,642.00
2012-06-13,645.00,649.39,637.00,647.00,170500,647.00
2012-06-12,656.00,656.00,639.00,642.50,244000,642.50
2012-06-11,663.50,667.65,651.50,654.00,169800,654.00
2012-06-08,657.00,659.50,650.75,659.00,132300,659.00
2012-06-07,638.00,661.00,638.00,657.00,297500,657.00
2012-06-06,629.00,642.00,627.05,642.00,140200,642.00
2012-06-01,640.00,645.00,625.50,628.50,342500,628.50
2012-05-31,638.50,649.00,638.50,640.50,184900,640.50
2012-05-30,653.50,653.50,640.50,643.00,176500,643.00
2012-05-29,647.00,659.00,643.00,659.00,174300,659.00
2012-05-28,638.50,647.00,636.00,645.00,268500,645.00
2012-05-25,640.00,647.44,638.39,643.50,200900,643.50
2012-05-24,629.50,644.00,623.85,644.00,130300,644.00
2012-05-23,643.50,644.24,624.00,624.00,253200,624.00
2012-05-22,640.50,649.10,639.00,639.00,484000,639.00
2012-05-21,643.50,649.39,637.00,637.00,231400,637.00
2012-05-14,666.00,667.57,653.00,660.00,184100,660.00
2012-05-11,659.00,671.00,654.50,671.00,205800,671.00
2012-05-10,660.50,667.00,653.00,661.50,219400,661.50
2012-05-09,657.00,663.00,651.00,661.00,320500,661.00
2012-05-08,679.00,680.00,654.00,654.50,236200,654.50
2012-05-04,694.50,694.50,675.50,675.50,206800,675.50
2012-05-03,690.00,694.85,686.36,690.00,177200,690.00
2012-05-02,700.50,701.00,686.50,689.50,131100,689.50
2012-05-01,690.00,699.00,690.00,697.50,182400,697.50
2012-04-30,687.00,692.00,686.00,692.00,186700,692.00
2012-04-27,677.50,690.51,676.00,689.50,164800,689.50
2012-04-26,681.00,683.50,674.11,682.00,127500,682.00
2012-04-25,685.00,686.47,679.61,681.00,105000,681.00
2012-04-24,683.00,683.80,677.61,682.50,128400,682.50
2012-04-23,692.50,696.52,674.50,680.00,220400,680.00
2012-04-20,699.50,699.50,692.00,697.00,144300,697.00
2012-04-19,706.50,706.50,695.00,697.00,112700,697.00
2012-04-18,701.00,705.89,701.00,703.50,115200,703.50
2012-04-17,695.50,703.50,691.00,703.50,189600,703.50
2012-04-16,700.50,701.50,692.00,698.00,204400,698.00
2012-04-13,704.00,704.65,696.50,700.00,159100,700.00
2012-04-12,698.00,704.50,692.00,704.50,208700,704.50
2012-04-11,688.00,696.50,685.00,696.50,159900,696.50
2012-04-10,694.00,699.79,686.50,690.50,339000,690.50
2012-04-05,698.50,704.50,694.21,703.00,268300,703.00
2012-04-04,710.00,717.50,694.00,698.00,352900,698.00
2012-04-03,718.00,720.00,710.00,711.50,315400,711.50
2012-04-02,710.00,717.00,702.00,717.00,190900,717.00
2012-03-30,703.50,711.50,703.50,708.50,557800,708.50
2012-03-29,712.50,715.00,701.00,702.50,293600,702.50
2012-03-28,716.00,718.50,712.00,713.00,312300,713.00
2012-03-27,714.50,719.00,700.00,719.00,843400,719.00
2012-03-26,702.00,712.00,699.00,711.50,218300,711.50
2012-03-23,705.00,705.00,694.50,704.50,255800,704.50
2012-03-22,700.00,702.00,695.85,702.00,390200,702.00
2012-03-21,702.00,705.00,699.00,702.50,266000,702.50
2012-03-20,705.50,708.00,696.00,698.50,274000,698.50
2012-03-19,711.00,712.50,705.00,708.50,287000,708.50
2012-03-16,708.50,712.70,706.00,711.00,696000,711.00
2012-03-15,711.00,711.00,705.37,709.50,282500,709.50
2012-03-14,711.50,712.00,703.04,709.50,313900,709.50
2012-03-13,699.00,705.00,698.75,702.50,390500,702.50
2012-03-12,694.50,698.00,691.50,697.00,157500,697.00
2012-03-09,689.00,698.00,685.40,690.00,280600,690.00
2012-03-08,680.00,687.56,679.82,686.00,221600,686.00
2012-03-07,675.00,695.00,672.97,675.00,165800,675.00
2012-03-06,693.50,693.50,671.00,672.50,220400,672.50
2012-03-05,701.00,702.28,687.50,691.00,161900,691.00
2012-03-02,697.50,701.00,692.86,701.00,185700,701.00
2012-03-01,700.50,700.50,693.00,693.50,390200,693.50
2012-02-29,697.00,700.50,693.50,697.00,246400,697.00
2012-02-28,692.50,697.00,688.50,697.00,384100,697.00
2012-02-27,695.50,695.50,685.50,691.50,359800,691.50
2012-02-24,690.50,695.00,689.00,694.50,339300,694.50
2012-02-23,692.00,692.50,686.00,691.00,412400,691.00
2012-02-22,689.00,690.00,687.00,688.00,173300,688.00
2012-02-21,691.50,694.50,689.00,689.50,242000,689.50
2012-02-20,697.00,698.43,691.00,691.00,212500,691.00
2012-02-17,695.00,698.79,691.00,691.50,302800,691.50
2012-02-16,694.00,694.27,689.50,691.00,162200,691.00
2012-02-15,691.50,699.70,686.16,699.00,795200,699.00
2012-02-14,687.00,692.25,682.00,688.00,361300,688.00
2012-02-13,682.50,688.00,676.55,685.50,727400,685.50
