Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,165.25,166.38,165.00,165.75,122600,164.00
2012-08-01,164.00,165.00,164.00,164.00,53600,164.00
2012-07-31,163.50,164.75,162.16,163.50,73800,163.50
2012-07-30,163.00,163.24,162.80,163.00,61600,163.00
2012-07-27,161.80,161.80,160.50,160.50,38500,160.50
2012-07-26,157.28,159.49,159.00,159.00,97800,159.00
2012-07-25,157.00,158.75,156.75,157.00,265800,157.00
2012-07-24,158.74,158.85,157.00,157.00,38900,157.00
2012-07-23,159.25,159.25,157.25,157.50,88700,157.50
2012-07-20,160.25,161.56,159.00,159.00,100900,159.00
2012-07-19,161.50,161.90,160.25,160.25,108100,160.25
2012-07-18,159.00,159.08,158.10,159.00,80400,159.00
2012-07-17,160.00,160.50,159.00,159.00,122300,159.00
2012-07-16,159.50,160.00,158.00,158.00,146400,158.00
2012-07-13,158.75,160.25,157.56,160.25,201900,160.25
2012-07-12,158.00,159.00,157.00,157.00,158300,157.00
2012-07-11,158.50,160.07,158.00,158.00,131800,158.00
2012-07-10,159.75,160.50,158.25,159.00,173900,159.00
2012-07-09,158.00,160.48,158.00,158.00,102800,158.00
2012-07-06,160.25,161.50,158.39,161.50,205200,161.50
2012-07-05,160.50,160.56,158.50,158.50,108200,158.50
2012-07-04,160.00,160.60,158.50,158.50,141200,158.50
2012-07-03,160.00,160.00,158.25,158.25,103500,158.25
2012-07-02,159.00,159.25,157.00,157.00,209300,157.00
2012-06-29,157.25,159.74,156.94,157.25,135500,157.25
2012-06-28,156.50,156.50,154.00,155.00,109500,155.00
2012-06-27,154.00,155.50,152.71,153.75,134000,153.75
2012-06-26,152.50,153.00,150.75,152.25,131600,152.25
2012-06-25,152.75,153.50,151.25,151.25,161100,151.25
2012-06-22,153.25,154.00,152.00,152.00,90300,152.00
2012-06-21,156.25,156.35,152.00,152.00,141100,152.00
2012-06-20,156.00,156.00,155.00,155.00,126000,155.00
2012-06-19,154.75,155.75,153.00,155.19,178300,155.19
2012-06-18,153.25,154.14,152.00,152.00,88400,152.00
2012-06-15,154.00,154.00,151.00,151.00,244900,151.00
2012-06-14,152.50,154.34,152.00,152.00,161200,152.00
2012-06-13,154.00,154.38,152.00,152.00,90700,152.00
2012-06-12,154.50,156.25,152.75,152.75,260300,152.75
2012-06-11,156.00,156.89,154.50,156.00,215600,156.00
2012-06-08,157.25,157.25,153.00,153.00,361500,153.00
2012-06-07,158.25,158.25,154.80,156.50,112300,156.50
2012-06-06,153.00,155.25,152.50,155.25,175600,155.25
2012-06-01,153.75,156.39,152.25,152.50,160400,152.50
2012-05-31,155.75,156.50,154.75,154.75,69900,154.75
2012-05-30,155.00,156.50,154.61,156.25,97000,156.25
2012-05-29,156.00,157.25,155.43,157.25,107300,157.25
2012-05-28,154.75,154.94,153.00,153.00,117600,153.00
2012-05-25,153.00,154.89,153.00,154.50,178000,154.50
2012-05-24,153.00,154.49,153.00,154.00,146000,154.00
2012-05-23,154.25,154.99,152.50,154.25,410400,154.25
2012-05-22,156.75,156.79,154.16,155.50,148800,155.50
2012-05-21,151.50,154.24,151.25,153.00,125200,153.00
2012-05-14,157.50,159.00,156.75,157.75,159400,157.75
2012-05-11,158.75,160.00,157.41,160.00,81100,160.00
2012-05-10,160.00,160.00,158.00,159.25,201300,159.25
2012-05-09,158.50,159.85,157.25,157.50,248400,157.50
2012-05-08,161.75,162.00,159.25,159.75,366000,159.75
2012-05-04,162.75,162.75,160.00,160.00,167200,160.00
2012-05-03,163.00,163.49,162.00,163.00,147300,163.00
2012-05-02,163.00,163.75,160.65,161.25,246100,161.25
2012-05-01,162.00,162.75,160.01,162.75,232100,162.75
2012-04-30,162.00,162.00,160.00,161.00,159100,161.00
2012-04-27,160.50,160.75,159.00,159.00,246700,159.00
2012-04-26,162.00,162.14,159.00,159.50,301800,159.50
2012-04-25,162.50,162.50,162.14,162.14,177200,162.14
2012-04-24,163.25,163.25,160.00,161.00,247200,161.00
2012-04-23,165.50,165.50,161.50,163.00,315600,163.00
2012-04-20,163.75,165.06,163.00,163.00,223300,163.00
2012-04-19,164.00,165.50,162.00,165.20,205000,165.20
2012-04-18,165.00,165.46,163.65,164.75,147600,164.75
2012-04-17,165.00,166.50,164.41,165.25,365100,162.55
2012-04-16,165.00,166.50,165.00,166.25,233700,163.53
2012-04-13,165.50,166.50,165.30,166.50,175400,163.78
2012-04-12,165.75,166.50,163.75,166.50,146600,163.78
2012-04-11,163.25,165.65,163.00,163.50,209000,160.83
2012-04-10,164.75,166.00,163.75,164.75,387300,162.06
2012-04-05,164.50,166.00,164.50,165.00,259600,162.30
2012-04-04,164.75,165.83,163.57,163.75,252000,161.07
2012-04-03,165.50,166.65,164.68,166.50,244500,163.78
2012-04-02,164.75,166.72,164.00,164.75,333100,162.06
2012-03-30,165.00,166.65,164.50,164.75,222200,162.06
2012-03-29,165.00,165.75,164.50,165.00,195900,162.30
2012-03-28,165.25,167.00,165.25,165.25,244300,162.55
2012-03-27,167.50,168.49,165.00,165.00,314200,162.30
2012-03-26,165.00,166.00,164.50,165.32,222200,162.62
2012-03-23,165.25,165.99,164.50,165.00,206800,162.30
2012-03-22,165.56,166.29,164.61,166.00,197000,163.29
2012-03-21,166.00,166.74,165.30,165.50,201900,162.80
