Date,Open,High,Low,Close,Volume,Adj Close
2012-08-03,282.10,282.10,282.10,282.10,700,282.90
2012-08-02,285.50,288.60,282.00,282.90,195000,282.90
2012-08-01,286.50,293.60,280.78,285.00,1009700,285.00
2012-07-31,289.60,294.70,285.60,288.60,236700,288.60
2012-07-27,293.40,296.30,287.90,289.50,115400,289.50
2012-07-26,290.00,293.80,289.70,291.00,206800,291.00
2012-07-25,290.50,293.10,288.40,290.00,125900,290.00
2012-07-24,289.30,292.40,284.80,290.00,189600,290.00
2012-07-23,306.90,306.90,284.95,288.30,195700,288.30
2012-07-20,291.40,295.80,291.21,294.70,138400,294.70
2012-07-19,294.50,298.10,288.00,290.70,829400,290.70
2012-07-18,297.70,298.90,291.50,294.70,499700,294.70
2012-07-17,300.10,300.10,295.80,295.80,225500,295.80
2012-07-16,298.20,300.00,296.00,298.00,221900,298.00
2012-07-13,294.60,300.00,294.60,297.60,206000,297.60
2012-07-12,301.20,301.20,292.80,295.50,143600,295.50
2012-07-11,303.80,306.30,299.40,301.00,172700,301.00
2012-07-10,302.00,306.30,301.60,305.30,477500,305.30
2012-07-09,307.60,311.03,301.70,302.00,194700,302.00
2012-07-06,305.40,310.00,299.80,310.00,198400,310.00
2012-07-05,310.10,310.10,304.60,307.40,73600,307.40
2012-07-04,307.50,311.00,303.17,309.10,57900,309.10
2012-07-03,310.00,314.20,308.80,310.20,173000,310.20
2012-07-02,305.00,310.00,305.00,310.00,268800,310.00
2012-06-29,306.50,308.40,300.80,305.80,213300,305.80
2012-06-28,300.40,300.40,292.50,295.60,100900,295.60
2012-06-27,297.10,300.20,296.20,298.00,223500,298.00
2012-06-26,298.40,301.30,297.30,298.00,175700,298.00
2012-06-25,301.90,304.50,298.10,298.10,123500,298.10
2012-06-22,305.70,306.70,300.80,304.80,169500,304.80
2012-06-21,305.10,310.00,305.10,308.50,132600,308.50
2012-06-20,301.50,310.00,296.90,310.00,387500,310.00
2012-06-19,294.90,305.10,294.30,303.00,304800,303.00
2012-06-18,293.10,293.10,289.20,292.00,152200,292.00
2012-06-15,291.20,292.80,288.30,289.00,459200,289.00
2012-06-14,294.50,295.90,288.50,290.70,188500,290.70
2012-06-13,293.80,297.70,293.80,296.00,235300,296.00
2012-06-12,292.00,295.00,289.60,295.00,294200,295.00
2012-06-11,299.00,299.83,292.90,293.30,153200,293.30
2012-06-08,291.60,295.00,287.70,294.80,333000,294.80
2012-06-07,295.00,295.70,290.20,291.70,297000,291.70
2012-06-06,291.20,295.00,281.54,295.00,170700,295.00
2012-06-01,296.00,296.10,285.50,289.60,406100,289.60
2012-05-31,293.50,296.20,290.50,296.10,517900,296.10
2012-05-30,295.40,297.10,293.20,293.30,133900,293.30
2012-05-29,290.70,299.50,290.70,298.70,381100,298.70
2012-05-28,300.00,300.00,287.20,287.50,172700,287.50
2012-05-25,290.70,292.20,278.29,289.00,900300,289.00
2012-05-24,288.90,292.10,286.90,289.20,282500,289.20
2012-05-23,293.00,293.70,286.20,288.00,353900,288.00
2012-05-22,289.90,297.60,289.70,296.20,366000,296.20
2012-05-21,288.70,290.80,286.30,287.30,136700,287.30
2012-05-18,294.20,294.60,287.00,288.80,161100,288.80
2012-05-17,298.70,302.90,296.80,296.80,222700,296.80
2012-05-16,300.40,300.90,293.82,297.60,267000,297.60
2012-05-14,306.90,307.60,300.30,302.60,286600,302.60
2012-05-11,303.20,310.70,302.50,310.00,483000,310.00
2012-05-10,303.80,306.00,301.20,303.00,233700,303.00
2012-05-09,301.20,305.50,299.10,300.90,826900,300.90
2012-05-08,306.50,309.55,299.82,300.40,629200,300.40
2012-05-04,315.00,315.99,303.90,305.20,325500,305.20
2012-05-03,312.40,315.60,310.60,315.60,1433100,315.60
2012-05-02,305.00,313.60,305.00,312.70,826600,312.70
2012-05-01,300.70,306.60,300.70,306.60,602200,306.60
2012-04-30,302.00,304.10,299.20,302.20,828100,302.20
2012-04-27,292.50,302.10,292.50,302.00,827500,302.00
2012-04-26,291.50,295.80,288.70,294.50,528000,294.50
2012-04-25,296.50,296.50,279.50,291.00,1210100,291.00
2012-04-24,280.20,286.20,269.15,285.00,1094200,285.00
2012-04-23,278.40,284.50,274.50,279.80,553100,279.80
2012-04-20,278.80,283.00,276.00,280.90,252200,280.90
2012-04-19,282.70,285.00,277.60,279.90,399500,279.90
2012-04-18,282.30,284.70,279.71,283.00,899100,283.00
2012-04-17,278.50,282.00,277.28,281.30,365300,281.30
2012-04-16,280.70,284.45,277.40,277.40,363700,277.40
2012-04-13,285.90,287.40,279.36,281.20,253200,281.20
2012-04-12,272.30,290.70,272.30,287.00,368700,287.00
2012-04-11,270.80,273.50,265.45,273.30,543000,273.30
2012-04-10,284.10,284.10,270.50,270.50,603500,270.50
2012-04-05,281.00,289.80,280.00,285.00,405700,285.00
2012-04-04,289.50,290.24,280.50,280.50,329400,280.50
2012-04-03,293.30,294.00,286.70,289.60,299800,289.60
2012-04-02,290.70,294.63,288.10,293.40,392800,293.40
2012-03-30,286.10,291.60,285.60,289.00,274700,289.00
2012-03-29,280.90,286.20,280.90,284.50,178900,284.50
2012-03-28,285.20,288.80,280.78,282.20,410600,282.20
2012-03-27,291.20,291.20,285.00,286.10,196300,286.10
2012-03-26,290.00,292.30,288.10,289.60,257100,289.60
2012-03-23,289.00,289.80,285.20,287.50,163800,287.50
2012-03-22,288.40,288.40,284.96,287.70,222600,287.70
2012-03-21,285.60,289.90,285.60,287.00,187600,287.00
2012-03-20,284.40,287.40,275.81,283.90,171100,283.90
2012-03-19,291.40,292.20,285.90,286.70,234000,286.70
2012-03-16,295.00,295.00,290.88,291.00,724600,291.00
2012-03-15,291.90,294.00,290.50,293.50,252600,293.50
2012-03-14,294.20,294.98,291.50,292.20,462700,292.20
2012-03-13,284.50,293.90,284.10,293.60,426900,293.60
2012-03-12,278.60,285.00,276.60,284.40,144700,284.40
2012-03-09,279.80,282.14,275.70,279.60,894900,279.60
2012-03-08,283.00,288.50,266.94,280.50,518100,280.50
2012-03-07,280.00,283.00,273.70,280.50,242500,280.50
2012-03-06,282.00,285.30,276.10,278.70,353800,278.70
2012-03-05,293.70,293.79,285.10,287.40,244000,287.40
2012-03-02,292.80,295.20,289.20,293.70,66500,293.70
2012-03-01,293.50,295.63,284.30,293.40,136700,293.40
2012-02-29,297.00,297.00,293.80,295.00,375000,295.00
2012-02-28,289.40,296.10,282.45,296.10,256000,296.10
2012-02-27,270.50,296.90,266.20,292.20,139900,292.20
2012-02-24,296.80,297.31,291.60,294.10,192200,294.10
2012-02-23,289.00,295.70,287.57,294.80,308600,294.80
2012-02-22,289.30,292.90,285.00,290.00,640200,290.00
2012-02-21,291.00,293.18,286.00,289.80,909100,289.80
2012-02-20,289.80,293.50,285.71,290.50,458000,290.50
2012-02-17,276.40,289.40,274.70,286.80,540800,286.80
2012-02-16,277.30,279.65,274.10,275.49,619400,275.49
2012-02-15,265.30,284.62,265.00,278.00,1652300,278.00
2012-02-14,259.50,262.80,258.00,262.80,205400,262.80
2012-02-13,259.00,261.06,255.00,261.00,1670700,261.00
2012-02-10,256.00,259.00,250.00,259.00,111400,259.00
2012-02-09,256.00,258.10,253.50,256.70,1070700,256.70
2012-02-08,258.90,258.90,251.70,256.40,195000,256.40
2012-02-07,255.70,257.60,251.40,257.60,262600,257.60
2012-02-06,255.90,261.00,252.20,254.20,176500,254.20
2012-02-03,240.00,257.80,235.88,256.70,400600,256.70
2012-02-02,244.90,253.50,242.40,248.30,497700,248.30
2012-02-01,245.60,251.90,244.70,250.30,623200,250.30
2012-01-31,239.80,244.80,235.90,244.80,524800,244.80
2012-01-30,237.90,238.80,223.52,238.10,273400,238.10
2012-01-27,236.10,239.00,232.60,237.80,876500,237.80
2012-01-26,234.50,237.70,231.64,237.10,577900,237.10
2012-01-25,231.30,233.90,228.39,232.80,150700,232.80
2012-01-24,235.50,237.20,229.80,230.00,243600,230.00
2012-01-23,233.60,235.50,231.55,234.50,885500,234.50
2012-01-20,235.90,237.01,233.50,235.00,256200,235.00
2012-01-19,229.00,235.10,224.24,234.00,511700,234.00
2012-01-18,231.50,231.50,227.10,228.60,262600,228.60
2012-01-17,236.90,237.90,230.90,230.90,228000,230.90
2012-01-16,229.90,236.30,227.40,233.90,124300,233.90
2012-01-13,236.30,236.30,229.40,231.50,167900,231.50
2012-01-12,229.00,234.10,228.10,234.00,858000,234.00
2012-01-11,232.90,234.10,227.90,229.60,124300,229.60
