Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,148.60,151.90,138.00,143.90,5950300,144.70
2012-08-02,148.60,151.90,138.00,144.70,7790000,144.70
2012-08-01,165.00,168.50,163.40,168.50,712100,168.50
2012-07-31,165.20,166.50,164.06,165.20,1019100,165.20
2012-07-27,162.90,164.70,160.80,163.40,782300,163.40
2012-07-26,156.80,161.82,156.50,161.80,681200,161.80
2012-07-25,152.60,158.00,150.93,156.90,2270900,156.90
2012-07-24,153.00,155.80,152.10,152.70,828100,152.70
2012-07-23,155.30,156.00,152.10,152.80,856800,152.80
2012-07-20,155.70,157.50,154.90,156.00,2455400,156.00
2012-07-19,155.50,157.30,154.50,156.00,2486500,156.00
2012-07-18,155.40,156.90,155.00,155.40,1271200,155.40
2012-07-17,164.90,164.90,155.40,155.40,1189500,155.40
2012-07-16,166.00,166.00,161.80,164.00,659400,164.00
2012-07-13,164.90,167.90,164.90,166.50,641900,166.50
2012-07-12,167.00,167.00,164.70,164.80,828700,164.80
2012-07-11,170.80,170.80,166.10,167.20,656300,167.20
2012-07-10,169.50,172.10,167.30,170.90,797100,170.90
2012-07-09,170.40,170.80,167.30,168.40,793300,168.40
2012-07-06,165.40,170.02,165.40,170.00,1733900,170.00
2012-07-05,167.90,168.74,165.00,166.50,629700,166.50
2012-07-04,168.40,168.40,166.00,167.10,771200,167.10
2012-07-03,164.70,168.00,163.90,166.36,1783900,166.36
2012-07-02,160.80,164.60,160.50,163.46,1363700,163.46
2012-06-29,162.30,162.30,160.00,160.50,966300,160.50
2012-06-28,162.80,163.78,158.90,160.06,954100,160.06
2012-06-27,162.00,164.00,161.90,162.90,980500,162.90
2012-06-26,163.40,165.50,161.60,162.91,1242500,162.91
2012-06-25,163.00,164.30,161.90,163.29,1179600,163.29
2012-06-22,165.90,165.90,161.60,163.20,1355200,163.20
2012-06-21,167.00,168.90,165.20,167.00,996000,167.00
2012-06-20,161.00,167.90,159.20,167.30,2169600,167.30
2012-06-19,160.00,161.00,158.50,160.80,918300,160.80
2012-06-18,162.00,162.00,157.80,159.50,3425400,159.50
2012-06-15,160.90,162.30,159.80,160.00,5167700,160.00
2012-06-14,160.30,162.00,159.70,160.70,1465300,160.70
2012-06-13,159.90,161.50,158.30,160.64,945700,160.64
2012-06-12,162.80,162.90,157.60,159.50,2835600,159.50
2012-06-11,161.50,165.20,161.10,163.00,1548800,163.00
