Date,Open,High,Low,Close,Volume,Adj Close
2012-08-03,1501.50,1501.50,1501.50,1501.50,20600,1499.00
2012-08-02,1517.00,1543.50,1488.00,1499.00,4482500,1499.00
2012-08-01,1494.00,1549.50,1490.00,1517.50,5709800,1517.50
2012-07-31,1499.00,1505.00,1464.50,1464.50,3153900,1464.50
2012-07-27,1473.50,1502.50,1458.00,1493.00,3936400,1493.00
2012-07-26,1444.50,1483.50,1431.00,1466.50,3404400,1466.50
2012-07-25,1428.50,1458.00,1428.50,1441.50,1905300,1441.50
2012-07-24,1462.50,1466.00,1423.00,1429.00,2897000,1429.00
2012-07-23,1473.00,1478.50,1440.00,1457.50,2707800,1457.50
2012-07-20,1514.50,1518.93,1486.50,1492.50,5739000,1492.50
2012-07-19,1488.50,1521.00,1484.00,1519.00,5398800,1519.00
2012-07-18,1459.50,1487.50,1450.00,1485.00,2537600,1485.00
2012-07-17,1472.00,1477.00,1448.50,1450.50,2110000,1450.50
2012-07-16,1469.50,1479.00,1464.00,1470.00,2519900,1470.00
2012-07-13,1452.00,1483.50,1444.80,1474.00,3247100,1474.00
2012-07-12,1449.00,1449.00,1422.00,1445.00,4580600,1445.00
2012-07-11,1444.00,1466.50,1438.00,1457.00,3625000,1457.00
2012-07-10,1425.00,1456.00,1420.50,1450.50,2623400,1450.50
2012-07-09,1427.00,1438.50,1413.50,1423.50,2090000,1423.50
2012-07-06,1434.00,1443.50,1420.00,1427.00,1943300,1427.00
2012-07-05,1440.50,1458.50,1426.50,1434.00,2944900,1434.00
2012-07-04,1441.00,1450.50,1409.78,1446.50,3568500,1446.50
2012-07-03,1419.00,1450.50,1419.00,1447.50,3669700,1447.50
2012-07-02,1391.50,1422.50,1384.50,1419.00,4492200,1419.00
2012-06-29,1415.00,1419.00,1381.00,1384.50,5648500,1384.50
2012-06-28,1383.00,1383.00,1339.00,1375.50,5418600,1375.50
2012-06-27,1345.00,1375.00,1334.00,1375.00,5462000,1375.00
2012-06-26,1369.00,1369.00,1333.00,1334.00,3683000,1334.00
2012-06-25,1380.50,1387.50,1347.50,1354.50,5137700,1354.50
2012-06-22,1398.50,1410.50,1382.00,1386.00,4290300,1386.00
2012-06-21,1430.00,1441.00,1409.65,1410.00,3773800,1410.00
2012-06-20,1419.50,1446.00,1415.74,1439.50,3934100,1439.50
2012-06-19,1374.50,1426.50,1374.50,1417.00,5993600,1417.00
2012-06-18,1405.00,1413.50,1356.75,1368.50,5529400,1368.50
2012-06-15,1384.00,1399.33,1360.50,1367.87,31939700,1367.87
2012-06-14,1355.50,1379.00,1342.00,1375.00,9703800,1375.00
