Date,Open,High,Low,Close,Volume,Adj Close
2012-08-03,374.40,374.40,374.40,374.40,1400,371.00
2012-08-02,369.00,379.24,368.50,371.00,43200,371.00
2012-08-01,366.40,370.70,365.14,370.00,31500,370.00
2012-07-31,357.60,368.70,357.60,368.70,43700,368.70
2012-07-27,376.20,382.00,369.10,372.80,41000,372.80
2012-07-26,374.60,378.50,365.00,375.00,47000,375.00
2012-07-25,376.50,376.50,352.90,365.00,42800,365.00
2012-07-24,366.70,373.30,359.60,373.30,80500,373.30
2012-07-23,365.00,374.80,361.63,374.80,17200,374.80
2012-07-20,392.20,392.20,365.60,377.80,37900,377.80
2012-07-19,375.00,387.70,375.00,378.90,72500,378.90
2012-07-18,374.00,385.60,374.00,380.30,140500,380.30
2012-07-17,367.40,376.90,367.40,373.59,49000,373.59
2012-07-16,366.20,375.40,360.63,370.50,48600,370.50
2012-07-13,359.80,370.10,359.72,366.20,54700,366.20
2012-07-12,361.50,365.40,360.00,361.50,18500,361.50
2012-07-11,367.00,369.30,361.20,362.70,15300,362.70
2012-07-10,358.10,369.40,358.10,363.10,65700,363.10
2012-07-09,358.40,364.90,357.20,359.30,56800,359.30
2012-07-06,362.30,368.10,354.90,355.40,32700,355.40
2012-07-05,354.60,371.50,354.60,362.30,26100,362.30
2012-07-04,365.00,365.00,354.50,360.70,6700,360.70
2012-07-03,357.40,363.40,352.31,360.00,47600,360.00
2012-07-02,350.00,359.70,350.00,357.40,38400,357.40
2012-06-29,354.10,354.90,350.00,350.00,43800,350.00
2012-06-28,348.80,356.40,348.00,350.10,157000,350.10
2012-06-27,340.80,357.90,339.20,351.00,26700,351.00
2012-06-26,344.10,350.00,335.80,340.00,158700,340.00
2012-06-25,350.00,353.60,340.00,340.00,82700,340.00
2012-06-22,353.40,356.60,348.40,352.20,56000,352.20
2012-06-21,349.80,358.90,345.90,350.20,107400,350.20
2012-06-20,351.00,354.10,339.00,354.10,63100,354.10
2012-06-19,336.20,350.20,332.20,349.50,57600,349.50
2012-06-18,329.90,348.10,329.90,333.80,77700,333.80
2012-06-15,322.60,341.39,322.60,341.30,261300,341.30
2012-06-14,319.80,327.20,319.60,326.20,60400,326.20
2012-06-13,318.30,326.10,315.40,322.20,97200,322.20
