Date,Open,High,Low,Close,Volume,Adj Close
2012-08-03,1515.00,1515.00,1515.00,1515.00,200,1506.00
2012-08-02,1565.00,1565.00,1506.00,1506.00,253700,1506.00
2012-08-01,1549.00,1569.00,1548.00,1561.00,196000,1561.00
2012-07-31,1575.00,1594.00,1547.00,1547.00,273000,1547.00
2012-07-27,1505.00,1578.00,1505.00,1566.00,324400,1566.00
2012-07-26,1484.00,1531.37,1476.00,1509.00,301300,1509.00
2012-07-25,1494.00,1494.00,1468.00,1486.00,266300,1486.00
2012-07-24,1538.00,1538.00,1478.00,1479.00,282200,1479.00
2012-07-23,1537.00,1552.00,1499.00,1501.00,303900,1501.00
2012-07-20,1552.00,1563.00,1548.00,1558.00,328300,1558.00
2012-07-19,1489.00,1567.00,1489.00,1559.00,345400,1559.00
2012-07-18,1470.00,1489.00,1463.00,1489.00,120900,1489.00
2012-07-17,1481.00,1481.00,1454.00,1466.00,360000,1466.00
2012-07-16,1470.00,1480.00,1454.00,1480.00,224300,1480.00
2012-07-13,1476.00,1476.00,1455.00,1458.58,330200,1458.58
2012-07-12,1490.00,1490.00,1454.00,1459.00,195700,1459.00
2012-07-11,1541.00,1542.00,1481.00,1494.00,284400,1494.00
2012-07-10,1514.00,1548.00,1496.00,1537.00,434100,1537.00
2012-07-09,1529.00,1531.00,1495.00,1500.00,205000,1500.00
2012-07-06,1569.00,1569.00,1528.00,1535.00,132400,1535.00
2012-07-05,1580.00,1597.00,1554.00,1568.00,180500,1568.00
2012-07-04,1588.00,1597.22,1566.00,1584.00,91900,1584.00
2012-07-03,1562.00,1604.00,1561.00,1596.00,304500,1596.00
2012-07-02,1546.00,1570.31,1534.00,1550.00,268700,1550.00
2012-06-29,1491.00,1537.00,1479.00,1532.00,544500,1532.00
2012-06-28,1495.00,1506.00,1446.00,1461.00,418900,1461.00
2012-06-27,1483.00,1498.15,1474.00,1498.00,329500,1498.00
2012-06-26,1498.00,1505.00,1463.00,1468.00,247200,1468.00
2012-06-25,1498.00,1511.20,1492.00,1498.00,216100,1498.00
2012-06-22,1556.00,1560.00,1508.00,1510.00,235800,1510.00
2012-06-21,1543.00,1600.00,1533.00,1576.00,493600,1576.00
2012-06-20,1493.00,1556.00,1473.00,1556.00,361700,1556.00
2012-06-19,1466.00,1501.00,1466.00,1495.00,261000,1495.00
2012-06-18,1467.00,1470.00,1423.00,1470.00,341300,1470.00
2012-06-15,1447.00,1473.00,1426.14,1427.00,892300,1427.00
2012-06-14,1470.00,1471.00,1434.00,1435.00,410900,1435.00
2012-06-13,1534.00,1546.00,1452.00,1467.00,449300,1467.00
2012-06-12,1545.00,1547.00,1504.00,1525.00,264500,1525.00
2012-06-11,1572.00,1592.00,1542.00,1543.00,196000,1543.00
2012-06-08,1569.00,1578.00,1533.00,1543.00,450500,1543.00
2012-06-07,1583.00,1602.00,1565.00,1586.00,349700,1586.00
2012-06-06,1570.00,1596.00,1557.00,1567.00,741400,1567.00
2012-06-01,1606.00,1615.00,1521.00,1529.00,302700,1529.00
2012-05-31,1616.00,1643.00,1598.00,1606.00,312400,1606.00
2012-05-30,1661.00,1676.00,1612.00,1618.00,284000,1618.00
2012-05-29,1646.00,1710.00,1646.00,1705.00,353700,1705.00
2012-05-28,1628.00,1651.00,1610.89,1640.00,171700,1640.00
2012-05-25,1629.00,1645.00,1603.00,1608.00,264700,1608.00
2012-05-24,1631.00,1631.00,1590.00,1617.00,379200,1617.00
2012-05-23,1626.00,1629.00,1602.00,1605.00,358700,1605.00
2012-05-22,1632.00,1642.00,1620.00,1642.00,477200,1642.00
2012-05-21,1623.00,1637.00,1608.00,1613.00,438600,1613.00
