Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,146.50,147.40,139.20,140.40,81700,139.00
2012-08-02,146.50,147.40,138.40,139.00,97600,139.00
2012-08-01,147.30,150.70,144.10,145.70,126700,145.70
2012-07-31,151.00,153.30,148.00,149.90,114400,149.90
2012-07-27,132.90,142.00,132.70,142.00,173400,142.00
2012-07-26,122.40,132.80,121.80,132.00,186700,132.00
2012-07-25,122.00,124.70,121.10,122.90,127000,122.90
2012-07-24,120.90,122.90,119.30,122.00,163100,122.00
2012-07-23,125.30,125.30,120.70,122.50,334400,122.50
2012-07-20,130.00,130.30,125.40,126.50,119500,126.50
2012-07-19,125.70,129.90,124.73,129.80,217300,129.80
2012-07-18,131.10,131.40,124.30,124.30,288800,124.30
2012-07-17,135.70,138.10,131.10,131.10,152100,131.10
2012-07-16,135.50,136.20,132.50,136.20,153600,136.20
2012-07-13,138.80,139.70,133.00,134.90,159500,134.90
2012-07-12,137.20,137.20,135.50,137.20,70600,137.20
2012-07-11,138.50,141.00,136.10,137.10,139200,137.10
2012-07-10,139.90,142.60,137.50,140.60,162400,140.60
2012-07-09,140.50,143.70,136.80,138.70,255600,138.70
2012-07-06,150.40,150.40,140.60,141.20,210600,141.20
2012-07-05,152.20,152.82,146.34,148.30,210100,148.30
2012-07-04,153.10,153.20,148.79,152.90,283000,152.90
2012-07-03,148.91,152.70,135.50,148.60,2015400,148.60
2012-07-02,170.50,174.50,169.50,170.00,124200,170.00
2012-06-29,163.60,174.40,163.00,171.50,203100,171.50
2012-06-28,161.50,161.50,154.50,157.00,144900,157.00
2012-06-27,164.10,165.10,159.80,162.00,116300,162.00
2012-06-26,163.30,164.10,156.70,162.90,185900,162.90
2012-06-25,173.00,173.40,157.60,160.30,247700,160.30
2012-06-22,169.20,174.20,165.07,172.20,52900,172.20
2012-06-21,168.60,173.00,165.20,172.50,254000,172.50
2012-06-20,165.40,170.50,165.40,170.50,254100,170.50
2012-06-19,161.90,167.50,159.90,164.50,360900,164.50
2012-06-18,167.60,173.20,157.50,161.50,733300,161.50
2012-06-15,151.50,167.30,150.60,167.20,969800,167.20
2012-06-14,138.00,149.50,137.80,149.50,248900,149.50
2012-06-13,145.90,148.10,136.20,138.00,268900,138.00
2012-06-12,147.30,148.00,141.80,144.50,247800,144.50
2012-06-11,155.40,164.80,147.00,147.00,571900,147.00
2012-06-08,148.50,151.60,146.30,150.40,253800,150.40
2012-06-07,151.30,152.40,146.43,151.00,314000,151.00
2012-06-06,132.20,148.70,131.50,147.20,368100,147.20
2012-06-01,131.70,133.00,124.50,129.00,256500,129.00
2012-05-31,139.50,141.80,128.30,131.30,370000,131.30
2012-05-30,144.70,144.90,138.60,138.60,349600,138.60
2012-05-29,144.30,148.20,143.80,147.00,161900,147.00
2012-05-28,145.00,148.60,142.50,143.40,197200,143.40
