Date,Open,High,Low,Close,Volume,Adj Close
2012-08-03,16.56,16.56,16.56,16.56,1200,16.75
2012-08-02,16.50,16.81,15.50,16.75,7307700,16.75
2012-08-01,17.00,17.16,16.35,16.75,3698700,16.75
2012-07-31,16.50,16.75,15.95,16.75,2086300,16.75
2012-07-27,16.25,16.75,16.00,16.00,2065900,16.00
2012-07-26,16.25,17.00,16.25,16.50,1767900,16.50
2012-07-25,16.50,17.00,15.71,16.50,2771700,16.50
2012-07-24,16.00,16.50,15.75,16.50,1143800,16.50
2012-07-23,16.25,16.75,15.75,16.25,2076700,16.25
2012-07-20,16.75,17.00,16.25,16.75,2258400,16.75
2012-07-19,16.25,17.00,16.00,17.00,2645500,17.00
2012-07-18,15.00,16.79,15.00,16.00,6509400,16.00
2012-07-17,14.00,15.29,14.00,15.00,4436500,15.00
2012-07-16,14.25,14.50,14.00,14.25,3517800,14.25
2012-07-13,14.00,14.50,14.00,14.50,1222800,14.50
2012-07-12,14.25,14.25,14.00,14.25,3136900,14.25
2012-07-11,14.00,14.50,14.00,14.50,2242700,14.50
2012-07-10,14.50,14.90,14.25,14.25,3064200,14.25
2012-07-09,14.75,14.98,14.16,14.75,2989500,14.75
2012-07-06,15.25,15.50,14.75,14.75,3449900,14.75
2012-07-05,15.50,16.00,15.00,15.25,1702100,15.25
2012-07-04,15.00,16.00,15.00,15.50,2361000,15.50
2012-07-03,16.00,16.00,15.25,15.25,2411900,15.25
2012-07-02,14.75,15.75,14.75,15.50,3050500,15.50
2012-06-29,14.75,15.50,14.50,15.00,5896100,15.00
2012-06-28,15.25,15.75,13.28,14.50,9259800,14.50
2012-06-27,15.50,16.00,15.25,15.50,4087400,15.50
2012-06-26,15.75,16.50,15.75,15.75,3981300,15.75
2012-06-25,16.75,17.00,16.00,16.00,4334300,16.00
2012-06-22,16.75,17.02,16.30,16.50,3499900,16.50
2012-06-21,17.00,17.25,16.50,16.50,3637400,16.50
2012-06-20,16.75,17.26,16.53,17.00,2526300,17.00
2012-06-19,17.00,17.39,16.75,16.75,2226100,16.75
2012-06-18,17.25,17.75,16.67,17.00,2396600,17.00
2012-06-15,17.00,17.50,16.56,17.00,8265200,17.00
