Date,Open,High,Low,Close,Volume,Adj Close
2012-08-03,882.50,882.50,882.50,882.50,000,891.00
2012-08-02,906.00,906.00,880.00,891.00,2500,891.00
2012-08-01,880.00,891.75,880.00,880.00,1100,880.00
2012-07-31,902.00,910.00,884.50,884.50,5100,884.50
2012-07-27,883.50,906.50,883.50,890.50,41900,890.50
2012-07-26,881.00,909.50,881.00,890.00,30800,890.00
2012-07-25,880.00,901.79,880.00,883.00,5600,883.00
2012-07-24,881.00,895.00,880.00,880.00,1900,880.00
2012-07-23,900.00,900.00,880.00,880.00,4200,880.00
2012-07-20,883.50,907.50,880.00,880.00,2200,880.00
2012-07-19,884.00,907.00,880.50,884.50,45000,884.50
2012-07-18,880.00,895.00,880.00,884.00,1600,884.00
2012-07-17,886.00,914.50,880.00,880.00,11900,880.00
2012-07-16,897.00,902.50,883.00,886.00,7400,886.00
2012-07-13,886.50,900.00,886.50,900.00,10800,900.00
2012-07-12,895.00,907.00,881.50,900.00,2900,900.00
2012-07-11,900.00,900.00,886.50,900.00,10000,900.00
2012-07-10,891.00,918.50,891.00,899.50,8900,899.50
2012-07-09,893.00,905.00,883.00,896.00,17500,896.00
2012-07-06,900.00,900.00,886.85,890.00,5200,890.00
2012-07-05,900.00,900.00,885.50,895.50,5700,895.50
2012-07-04,908.00,908.00,900.00,900.00,211800,900.00
2012-07-03,902.00,908.00,900.00,904.50,8200,904.50
2012-07-02,900.00,912.00,900.00,907.00,6300,907.00
2012-06-29,904.00,919.50,900.00,901.00,10900,901.00
2012-06-28,915.00,915.00,900.00,905.00,8100,905.00
2012-06-27,911.50,919.50,900.00,903.00,5000,903.00
2012-06-26,900.00,907.00,900.00,900.00,22700,900.00
2012-06-25,915.50,915.50,900.00,900.00,64300,900.00
2012-06-22,906.00,914.50,900.00,903.50,52800,903.50
2012-06-21,910.00,918.00,900.00,900.50,3300,900.50
2012-06-20,900.00,908.00,900.00,903.50,141200,903.50
2012-06-19,901.00,927.62,900.00,900.00,24600,900.00
2012-06-18,900.50,924.25,900.00,900.00,11200,900.00
2012-06-15,891.00,960.00,880.50,926.00,707200,926.00
2012-06-14,900.00,900.00,875.00,887.90,297000,887.90
2012-06-13,910.00,910.00,870.50,885.00,37400,885.00
