Date,Open,High,Low,Close,Volume,Adj Close
2012-08-03,530.50,534.99,530.50,534.99,2200,541.00
2012-08-01,540.00,543.00,534.80,541.00,210700,541.00
2012-07-31,542.50,542.50,537.00,540.50,281800,540.50
2012-07-30,538.50,542.00,533.23,541.00,308500,541.00
2012-07-27,528.00,536.00,524.03,533.90,1210500,533.90
2012-07-26,522.00,527.00,519.03,525.00,908800,525.00
2012-07-25,509.50,522.00,509.50,521.00,818100,521.00
2012-07-24,516.50,520.17,511.50,513.00,278200,513.00
2012-07-23,529.00,529.50,515.25,518.50,256100,518.50
2012-07-20,534.50,538.39,530.50,533.00,196900,533.00
2012-07-19,531.50,539.00,531.50,539.00,384300,539.00
2012-07-18,530.00,535.60,530.00,531.50,155700,531.50
2012-07-17,535.50,536.00,530.53,531.00,250500,531.00
2012-07-16,532.00,534.00,530.53,531.00,210100,531.00
2012-07-13,533.50,533.50,530.00,532.50,511100,532.50
2012-07-12,535.50,535.50,529.50,529.50,418400,529.50
2012-07-11,541.00,541.00,536.64,541.00,221100,541.00
2012-07-10,540.00,542.50,537.20,541.00,473800,541.00
2012-07-09,541.50,544.99,536.00,537.00,813400,537.00
2012-07-06,549.00,549.00,542.00,545.00,341800,545.00
2012-07-05,549.00,552.00,543.50,546.50,436200,546.50
2012-07-04,547.00,549.50,542.17,549.00,307600,549.00
2012-07-03,535.00,549.50,531.61,549.50,362700,549.50
2012-07-02,533.00,540.00,530.00,538.00,295100,538.00
2012-06-29,530.00,534.00,525.78,533.00,231900,533.00
2012-06-28,522.50,522.50,514.50,520.00,395300,520.00
2012-06-27,519.00,522.50,514.50,521.00,263800,521.00
2012-06-26,514.00,521.00,513.50,518.50,160200,518.50
2012-06-25,523.50,525.00,514.00,514.50,350500,514.50
2012-06-22,526.50,528.98,522.86,524.50,154800,524.50
2012-06-21,538.00,538.00,529.00,529.00,281000,529.00
2012-06-20,534.00,537.50,533.50,534.50,207400,534.50
2012-06-19,531.00,536.00,527.00,535.50,597100,535.50
2012-06-18,531.00,531.90,525.50,526.50,301000,526.50
2012-06-15,528.00,532.00,521.69,522.00,1020000,522.00
2012-06-14,528.50,528.50,523.00,523.00,218100,523.00
2012-06-13,524.00,531.00,524.00,525.50,677600,525.50
2012-06-12,526.00,528.50,522.00,524.00,464500,524.00
2012-06-11,531.00,537.40,523.00,524.00,426400,524.00
2012-06-08,532.50,532.50,524.00,525.00,311500,525.00
2012-06-07,526.50,540.28,525.55,530.00,657100,530.00
2012-06-06,521.00,527.00,516.00,527.00,682400,527.00
2012-06-01,525.00,527.74,516.00,518.00,448400,518.00
2012-05-31,517.00,525.00,517.00,519.50,237900,519.50
2012-05-30,525.00,526.46,516.00,517.50,771700,517.50
2012-05-29,519.50,529.50,518.00,529.50,242100,529.50
2012-05-28,512.50,521.17,512.50,515.00,968600,515.00
2012-05-25,509.50,516.50,509.00,512.00,340000,512.00
2012-05-24,511.00,516.49,505.60,511.50,265300,511.50
2012-05-23,517.50,517.50,502.50,505.00,813200,505.00
2012-05-22,513.00,517.84,513.00,513.50,598300,513.50
2012-05-21,512.50,515.00,507.00,510.00,533900,510.00
2012-05-14,539.50,542.00,522.22,528.00,594400,528.00
2012-05-11,540.50,543.00,535.36,543.00,337900,543.00
2012-05-10,543.00,546.90,541.00,545.00,423900,545.00
2012-05-09,547.50,551.64,537.90,545.50,477700,545.50
2012-05-08,562.00,562.00,543.50,543.50,802900,543.50
2012-05-04,569.00,569.00,559.00,562.00,720300,562.00
2012-05-03,570.00,571.50,567.00,570.00,615200,570.00
2012-05-02,567.00,572.50,567.00,569.00,535100,569.00
2012-05-01,560.50,570.50,560.00,569.50,618700,569.50
2012-04-30,561.50,564.00,560.39,563.50,557500,563.50
