Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,795.00,814.50,795.00,814.50,22300,810.00
2012-08-02,795.00,814.50,795.00,810.00,36700,810.00
2012-08-01,800.00,812.01,795.00,801.00,20000,801.00
2012-07-31,792.50,813.00,792.50,799.50,38900,799.50
2012-07-27,786.00,799.00,772.14,790.00,48700,790.00
2012-07-26,788.50,795.00,771.50,790.00,93200,790.00
2012-07-25,791.00,801.00,780.00,790.00,69200,790.00
2012-07-24,810.50,810.50,788.12,799.00,93000,799.00
2012-07-23,830.00,840.00,805.50,815.00,65700,815.00
2012-07-20,861.50,869.50,830.00,830.00,656300,830.00
2012-07-19,850.50,869.50,850.50,866.50,44200,866.50
2012-07-18,840.00,863.00,837.00,853.00,96800,853.00
2012-07-17,880.00,889.50,850.50,870.00,81300,870.00
2012-07-16,876.00,888.00,866.50,880.50,46500,880.50
2012-07-13,881.00,888.45,852.04,884.00,108900,884.00
2012-07-12,888.00,894.06,863.60,885.50,42300,885.50
2012-07-11,882.50,891.00,877.90,890.00,60900,890.00
2012-07-10,866.50,889.50,864.81,887.00,64500,887.00
2012-07-09,857.00,872.50,857.00,866.00,51300,866.00
2012-07-06,858.00,862.00,838.51,860.50,84400,860.50
2012-07-05,850.00,867.90,832.72,859.00,58700,859.00
2012-07-04,863.00,863.00,852.34,860.00,36900,860.00
2012-07-03,851.50,863.00,843.62,860.00,43300,860.00
2012-07-02,853.50,856.40,842.50,854.00,38900,854.00
2012-06-29,856.00,857.45,847.40,852.00,64400,852.00
2012-06-28,842.00,847.00,832.00,845.00,45000,845.00
2012-06-27,830.50,839.31,817.40,837.00,67300,837.00
2012-06-26,825.50,840.38,818.06,833.00,109700,833.00
2012-06-25,827.00,838.50,819.32,830.00,42100,830.00
2012-06-22,818.50,850.00,814.30,827.50,284000,827.50
2012-06-21,826.00,832.50,820.00,825.00,71000,825.00
2012-06-20,835.50,847.11,827.30,832.00,11200,832.00
2012-06-19,827.00,863.00,821.00,838.00,111900,838.00
2012-06-18,819.00,830.00,811.00,829.50,60300,829.50
2012-06-15,833.00,848.50,815.50,816.00,240000,816.00
2012-06-14,788.00,840.25,786.60,834.00,229900,834.00
2012-06-13,771.00,797.00,770.00,793.50,93000,793.50
2012-06-12,797.00,797.00,771.50,775.00,55400,775.00
2012-06-11,775.50,797.00,765.50,797.00,89100,797.00
2012-06-08,770.00,774.50,753.50,770.00,48800,770.00
2012-06-07,759.50,781.50,740.00,778.50,108300,778.50
2012-06-06,736.00,777.50,729.56,777.50,92700,777.50
2012-06-01,744.00,744.00,732.50,735.00,65300,735.00
2012-05-31,735.00,764.50,731.45,742.50,182900,742.50
2012-05-30,707.00,735.00,701.00,712.13,161900,712.13
2012-05-29,705.00,712.50,696.66,709.50,115400,709.50
2012-05-28,720.00,720.00,686.73,703.00,42600,703.00
2012-05-25,704.50,715.50,702.10,710.00,73600,710.00
2012-05-24,709.00,711.00,703.50,704.50,69100,704.50
2012-05-23,718.00,718.00,690.00,703.00,166400,703.00
2012-05-22,693.50,703.61,688.50,695.00,90100,695.00
2012-05-21,696.00,709.00,686.00,698.50,62000,698.50
2012-05-18,706.00,706.00,695.00,700.00,43800,700.00
2012-05-17,700.00,708.00,689.85,700.00,90700,700.00
2012-05-16,695.00,703.00,688.50,699.50,61000,699.50
2012-05-14,694.50,705.00,690.00,698.00,43700,698.00
2012-05-11,690.00,708.50,677.97,703.00,51200,703.00
2012-05-10,703.00,703.00,688.69,695.00,34600,695.00
2012-05-09,691.50,707.79,685.50,703.00,155300,703.00
2012-05-08,699.00,700.00,659.00,697.50,102300,697.50
2012-05-04,700.00,707.88,690.50,697.00,51500,697.00
2012-05-03,690.50,704.00,690.50,700.00,65000,700.00
2012-05-02,678.50,695.30,676.19,692.00,63200,692.00
2012-05-01,675.50,692.99,674.71,689.00,18800,689.00
