Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,18.25,18.75,18.25,18.25,35800,18.25
2012-08-02,18.25,18.75,18.25,18.25,80700,18.25
2012-08-01,18.75,18.75,18.25,18.75,43700,18.75
2012-07-31,18.50,18.75,18.25,18.25,130800,18.25
2012-07-27,18.50,18.50,18.50,18.50,115100,18.50
2012-07-26,18.75,18.75,18.50,18.50,150300,18.50
2012-07-25,18.25,18.50,18.00,18.50,214800,18.50
2012-07-24,18.25,18.50,18.25,18.25,40500,18.25
2012-07-23,18.75,18.75,18.00,18.25,166800,18.25
2012-07-20,18.75,18.75,18.25,18.50,165900,18.50
2012-07-19,18.25,18.75,18.25,18.75,198000,18.75
2012-07-18,18.50,18.50,18.25,18.50,1783500,18.50
2012-07-17,18.50,18.75,18.25,18.50,805500,18.50
2012-07-16,18.75,18.75,18.50,18.75,976000,18.75
2012-07-13,18.75,18.86,18.50,18.75,152000,18.75
2012-07-12,18.75,18.75,18.75,18.75,1290800,18.75
2012-07-11,18.50,18.75,18.50,18.75,1019800,18.75
2012-07-10,18.75,19.00,18.75,18.75,1833200,18.75
2012-07-09,19.25,19.25,18.75,19.00,337500,19.00
2012-07-06,19.25,19.25,19.00,19.25,155000,19.25
2012-07-05,19.01,19.25,19.25,19.25,17700,19.25
2012-07-04,19.50,19.50,19.00,19.00,421800,19.00
2012-07-03,19.25,19.50,19.25,19.25,322200,19.25
2012-07-02,18.75,19.25,18.75,19.25,6903100,19.25
2012-06-29,19.25,19.25,19.00,19.00,354800,19.00
2012-06-28,18.75,19.00,18.75,19.00,452600,19.00
2012-06-27,19.00,19.31,18.75,19.00,469500,19.00
2012-06-26,18.75,19.25,18.50,19.00,850000,19.00
2012-06-25,19.00,19.25,18.83,19.00,452200,19.00
2012-06-22,19.00,19.25,19.00,19.00,642300,19.00
2012-06-21,19.00,19.25,19.00,19.25,295700,19.25
2012-06-20,19.25,19.39,19.00,19.25,335500,19.25
2012-06-19,19.75,19.75,19.25,19.50,3100900,19.50
2012-06-18,19.75,20.00,19.50,19.50,505600,19.50
2012-06-15,19.75,20.00,19.53,20.00,798300,20.00
2012-06-14,19.75,20.00,19.50,19.75,1261600,19.75
2012-06-13,20.00,20.00,19.50,19.75,2604900,19.75
2012-06-12,20.00,20.25,19.25,20.25,2223700,20.25
