Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,56.35,56.35,55.86,56.00,50000,55.90
2012-08-01,55.75,55.90,55.60,55.90,465900,55.90
2012-07-31,55.75,55.75,55.60,55.62,237600,55.62
2012-07-30,55.50,56.00,55.50,56.00,536700,56.00
2012-07-27,55.25,55.25,55.08,55.25,214100,55.25
2012-07-26,54.75,55.25,54.60,55.25,585900,55.25
2012-07-25,54.40,54.75,54.25,54.25,209500,54.25
2012-07-24,54.75,54.88,54.25,54.25,164000,54.25
2012-07-23,54.92,54.92,54.33,54.75,32000,54.75
2012-07-20,55.50,55.55,55.00,55.00,227000,55.00
2012-07-19,55.60,56.00,55.36,55.84,549000,55.84
2012-07-18,55.25,55.35,55.08,55.25,268200,55.25
2012-07-17,55.50,55.64,54.88,55.00,311500,55.00
2012-07-16,55.75,55.75,55.11,55.38,377400,55.38
2012-07-13,55.25,55.60,55.00,55.60,364800,55.60
2012-07-12,55.25,55.25,54.61,55.06,323600,55.06
2012-07-11,55.20,55.20,55.08,55.08,295400,55.08
2012-07-10,55.25,55.50,54.86,55.50,1009700,55.50
2012-07-09,55.00,55.25,54.86,55.25,375600,55.25
2012-07-06,55.50,55.70,55.00,55.00,372200,55.00
2012-07-05,55.00,55.89,55.00,55.65,266200,55.65
2012-07-04,55.00,55.40,55.00,55.05,325000,55.05
2012-07-03,55.75,56.00,55.05,55.91,341400,55.91
2012-07-02,56.00,56.00,55.25,55.50,264000,55.50
2012-06-29,55.00,55.39,55.00,55.35,320800,55.35
2012-06-28,54.25,54.55,54.25,54.25,156200,54.25
2012-06-27,54.50,54.50,54.15,54.25,362200,54.25
2012-06-26,53.75,54.08,53.75,53.75,112500,53.75
2012-06-25,54.00,54.22,53.60,53.60,509500,53.60
2012-06-22,53.75,54.50,53.50,53.50,135300,53.50
2012-06-21,54.25,54.60,54.00,54.00,192500,54.00
2012-06-20,54.89,54.89,54.25,54.33,264700,54.33
2012-06-19,54.00,54.75,53.77,54.27,113700,54.27
2012-06-18,54.50,54.50,53.50,53.52,241400,53.52
2012-06-15,53.00,53.75,53.00,53.25,287100,53.25
2012-06-14,53.25,53.59,53.00,53.00,76600,53.00
2012-06-13,53.31,53.77,53.25,53.35,70800,53.35
2012-06-12,53.25,53.50,53.25,53.25,120100,53.25
2012-06-11,54.00,54.35,53.00,53.50,513500,53.50
2012-06-08,53.50,53.50,53.00,53.50,241400,53.50
2012-06-07,53.25,53.75,53.10,53.50,779100,53.50
2012-06-06,52.50,53.00,52.50,53.00,997800,53.00
