Date,Open,High,Low,Close,Volume,Adj Close
2012-08-03,930.20,930.20,930.20,930.20,000,932.00
2012-08-01,929.50,939.50,928.00,932.00,27800,932.00
2012-07-31,934.50,934.65,924.00,924.00,38200,924.00
2012-07-30,925.00,939.00,924.50,927.50,59300,927.50
2012-07-27,912.00,924.00,908.50,924.00,40800,924.00
2012-07-26,895.00,917.00,890.00,917.00,49000,917.00
2012-07-25,906.00,906.00,893.00,893.00,29300,893.00
2012-07-24,907.50,912.08,895.50,897.00,24400,897.00
2012-07-23,905.00,920.00,895.51,908.00,34700,908.00
2012-07-20,932.00,932.00,916.00,925.00,28300,925.00
2012-07-19,922.50,932.00,922.16,930.00,52200,930.00
2012-07-18,907.00,923.00,907.00,923.00,51700,923.00
2012-07-17,915.00,923.50,903.00,907.50,35800,907.50
2012-07-16,919.00,920.40,910.30,914.00,25100,914.00
2012-07-13,910.50,930.33,903.60,918.00,51200,918.00
2012-07-12,908.00,908.00,899.10,908.00,41400,908.00
2012-07-11,921.00,921.00,910.50,917.00,45800,917.00
2012-07-10,919.50,927.25,912.30,917.50,47000,917.50
2012-07-09,925.00,925.00,913.10,915.00,62700,915.00
2012-07-06,929.00,929.00,917.45,925.00,29000,925.00
2012-07-05,925.00,931.50,917.50,922.00,41600,922.00
2012-07-04,922.50,926.49,917.00,925.50,29000,925.50
2012-07-03,914.50,925.50,912.00,921.00,36500,921.00
2012-07-02,901.00,918.00,901.00,914.00,51500,914.00
2012-06-29,890.00,909.50,888.50,901.00,36100,901.00
2012-06-28,893.50,893.50,876.50,876.50,55600,876.50
2012-06-27,876.50,894.00,876.50,894.00,28800,894.00
2012-06-26,882.50,884.00,875.25,882.00,31700,882.00
2012-06-25,888.00,888.00,870.50,874.50,42500,874.50
2012-06-22,890.50,890.50,881.00,881.00,22500,881.00
2012-06-21,902.50,905.00,894.00,898.00,31700,898.00
2012-06-20,898.00,907.50,889.50,904.00,24500,904.00
2012-06-19,890.00,905.00,887.00,905.00,75500,905.00
2012-06-18,888.00,894.08,877.00,882.00,37600,882.00
2012-06-15,878.50,895.50,874.47,875.00,152900,875.00
2012-06-14,885.50,887.00,876.00,879.00,23800,879.00
2012-06-13,882.00,886.70,873.00,879.00,43600,879.00
2012-06-12,888.50,888.50,870.50,874.00,50900,874.00
2012-06-11,891.00,896.95,884.00,888.00,37200,888.00
2012-06-08,883.00,887.33,873.50,884.00,43800,884.00
2012-06-07,867.50,888.00,866.26,888.00,55800,888.00
2012-06-06,853.50,870.00,852.50,870.00,61900,870.00
2012-06-01,853.50,863.30,845.50,847.00,40900,847.00
2012-05-31,863.50,868.11,851.00,851.00,51600,851.00
2012-05-30,870.50,870.50,854.50,857.50,32700,857.50
2012-05-29,877.00,877.00,866.00,870.00,76400,870.00
2012-05-28,873.50,877.50,867.30,867.50,36500,867.50
2012-05-25,862.00,873.99,862.00,867.00,56900,867.00
2012-05-24,866.00,870.00,857.00,864.00,29200,864.00
2012-05-23,867.00,872.10,853.00,860.50,57100,860.50
2012-05-22,875.50,881.40,858.00,874.00,135700,874.00
2012-05-21,868.00,876.00,862.50,867.50,61900,867.50
2012-05-14,897.00,899.80,882.00,894.00,63300,894.00
2012-05-11,892.50,909.00,891.50,909.00,41900,909.00
2012-05-10,898.50,902.14,888.00,896.00,62600,896.00
2012-05-09,895.00,900.50,884.00,890.00,58300,890.00
2012-05-08,913.00,916.99,891.00,891.00,80100,891.00
2012-05-04,923.50,925.00,910.50,914.00,51800,914.00
2012-05-03,930.00,932.00,924.36,929.00,45800,929.00
2012-05-02,943.50,943.50,929.89,934.00,65400,934.00
2012-05-01,926.00,942.00,925.00,941.00,51400,941.00
2012-04-30,931.00,935.25,924.50,926.00,42700,926.00
2012-04-27,920.00,934.50,920.00,930.50,39400,930.50
2012-04-26,929.50,934.00,917.51,929.50,42900,929.50
2012-04-25,922.50,930.00,916.00,923.00,49500,923.00
2012-04-24,915.50,925.00,914.50,922.50,84800,922.50
2012-04-23,924.00,924.00,906.00,909.00,57000,909.00
2012-04-20,928.00,932.44,923.50,927.00,44300,927.00
2012-04-19,932.00,936.23,924.50,928.00,47900,928.00
2012-04-18,927.50,939.49,927.50,935.00,71500,935.00
2012-04-17,914.00,932.50,914.00,930.50,51000,930.50
2012-04-16,917.00,925.00,909.66,921.50,68300,921.50
2012-04-13,923.00,923.00,907.00,907.00,63200,907.00
2012-04-12,913.00,923.00,904.50,922.00,83800,922.00
2012-04-11,898.00,916.00,898.00,913.00,69300,913.00
2012-04-10,926.00,934.00,904.00,904.00,133900,904.00
2012-04-05,911.00,922.99,911.00,921.00,74000,921.00
2012-04-04,925.00,930.80,910.00,911.00,72500,911.00
2012-04-03,932.00,937.00,925.00,926.00,142600,926.00
2012-04-02,923.50,932.00,915.34,932.00,103300,932.00
2012-03-30,924.50,928.50,918.00,922.00,83100,922.00
2012-03-29,922.50,926.00,911.00,924.00,105200,924.00
2012-03-28,930.50,933.20,922.00,922.00,54500,922.00
2012-03-27,949.00,949.00,930.00,933.00,43000,933.00
2012-03-26,931.00,940.00,923.50,933.50,75300,933.50
2012-03-23,934.00,935.65,921.00,927.50,68100,927.50
2012-03-22,925.50,929.00,920.50,928.00,48200,928.00
2012-03-21,933.00,937.00,926.50,937.00,53400,937.00
2012-03-20,937.50,940.02,923.00,932.00,116400,932.00
2012-03-19,945.50,947.00,935.01,947.00,60200,947.00
2012-03-16,933.00,946.00,933.00,946.00,133300,946.00
2012-03-15,942.00,950.99,936.00,938.00,94500,938.00
2012-03-14,949.00,953.50,941.00,947.50,93300,947.50
2012-03-13,954.00,970.00,946.00,970.00,70000,970.00
2012-03-12,941.50,948.00,938.29,942.00,49200,942.00
2012-03-09,941.00,953.00,941.00,945.00,68900,945.00
2012-03-08,933.00,960.00,933.00,946.50,78000,946.50
2012-03-07,924.00,933.00,920.24,933.00,76900,933.00
2012-03-06,922.50,931.50,916.50,926.00,116500,926.00
2012-03-05,935.00,937.50,926.00,926.00,40200,926.00
2012-03-02,935.00,940.99,934.50,935.00,46800,935.00
2012-03-01,929.00,945.00,929.00,938.50,46300,938.50
2012-02-29,938.00,943.00,929.50,937.00,45700,937.00
2012-02-28,944.50,944.50,933.50,942.00,28300,942.00
2012-02-27,936.00,942.00,931.41,942.00,76500,942.00
2012-02-24,946.00,946.00,939.00,946.00,71900,946.00
2012-02-23,926.00,945.00,922.34,945.00,67300,945.00
2012-02-22,918.00,931.90,914.79,927.00,66200,927.00
2012-02-21,916.00,922.00,912.11,922.00,44800,922.00
2012-02-20,915.50,921.49,910.50,920.50,64700,920.50
2012-02-17,913.00,916.00,907.01,914.50,24400,914.50
2012-02-16,906.00,909.50,897.01,905.00,32200,905.00
2012-02-15,902.00,913.00,902.00,911.00,78600,911.00
2012-02-14,904.00,907.00,899.26,899.50,31000,899.50
2012-02-13,897.50,906.00,896.13,901.50,46800,901.50
2012-02-10,892.00,895.46,890.25,892.50,68300,892.50
2012-02-09,908.50,910.00,896.00,896.00,94900,896.00
2012-02-08,913.50,915.00,905.00,905.00,31600,905.00
2012-02-07,904.00,911.00,901.30,911.00,46000,911.00
2012-02-06,909.50,914.50,902.43,909.00,39500,909.00
2012-02-03,904.00,915.00,896.68,910.00,76000,910.00
2012-02-02,906.00,907.00,897.50,903.50,54500,903.50
2012-02-01,888.00,908.00,888.00,908.00,69300,908.00
2012-01-31,893.00,900.50,885.00,885.00,88300,885.00
2012-01-30,893.00,893.00,882.00,884.50,44100,884.50
2012-01-27,894.50,901.00,885.50,895.50,20900,895.50
2012-01-26,887.50,903.10,887.50,900.00,29100,900.00
2012-01-25,894.00,898.99,882.00,887.00,49000,887.00
2012-01-24,894.50,902.49,892.00,898.00,59700,898.00
2012-01-23,892.00,905.00,887.10,901.50,81300,901.50
2012-01-20,888.50,892.00,879.63,892.00,56200,892.00
2012-01-19,880.50,887.50,875.50,884.00,52700,884.00
2012-01-18,871.00,882.50,870.00,879.50,56300,879.50
2012-01-17,874.50,888.00,871.72,873.50,45400,873.50
2012-01-16,872.00,872.00,860.91,872.00,19500,872.00
2012-01-13,869.50,876.00,862.50,865.50,23800,865.50
2012-01-12,874.00,882.00,865.00,871.00,32300,871.00
2012-01-11,885.00,885.00,871.44,879.00,35900,879.00
2012-01-09,875.70,879.00,869.00,870.00,126100,870.00
2012-01-06,856.50,873.50,852.51,873.00,36200,873.00
2012-01-05,873.00,873.50,854.50,854.50,45600,854.50
2012-01-04,884.00,885.49,865.51,872.50,47400,872.50
2012-01-03,870.00,885.00,863.00,885.00,39300,885.00
2011-12-30,865.50,869.00,858.00,858.00,4700,858.00
2011-12-29,857.00,866.50,855.05,856.50,26400,856.50
2011-12-28,859.00,861.99,854.00,854.00,23800,854.00
2011-12-23,860.00,863.00,855.01,863.00,8400,863.00
2011-12-22,855.00,861.49,851.51,859.00,38400,859.00
2011-12-21,842.50,854.00,842.50,845.00,34000,845.00
2011-12-20,835.50,848.50,831.50,842.50,51300,842.50
2011-12-19,841.00,846.00,833.50,837.50,61300,837.50
2011-12-16,845.00,852.67,842.01,848.00,48800,848.00
2011-12-15,841.50,855.00,833.51,845.00,34700,845.00
2011-12-14,849.50,855.00,837.00,843.00,52900,843.00
2011-12-13,849.00,860.00,842.50,852.00,45700,852.00
2011-12-12,849.00,860.00,840.00,840.00,59200,840.00
2011-12-09,852.50,859.69,847.10,856.50,36100,856.50
2011-12-08,861.00,864.00,848.00,848.00,46600,848.00
2011-12-07,872.00,876.69,851.12,852.50,39400,852.50
2011-12-06,862.00,872.00,859.50,866.00,53500,866.00
2011-12-05,864.00,877.00,864.00,873.00,29600,873.00
2011-12-02,864.00,876.00,857.00,871.00,62200,871.00
2011-12-01,862.00,867.50,856.21,862.00,40600,862.00
2011-11-30,834.50,870.00,828.80,866.50,86800,866.50
2011-11-28,808.50,839.49,808.50,838.00,39300,838.00
2011-11-25,805.00,816.00,796.98,807.50,51700,807.50
2011-11-24,818.00,817.50,805.00,805.00,16900,805.00
2011-11-23,823.00,829.00,816.50,824.00,47900,824.00
2011-11-22,833.50,839.00,829.00,829.00,79000,829.00
2011-11-21,836.50,846.75,820.00,822.00,61100,822.00
