Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,38.35,40.00,38.30,40.00,200,61.19
2011-06-13,59.92,61.75,59.88,61.19,189300,61.19
2011-06-10,57.62,59.88,56.99,59.50,793200,59.50
2011-06-09,54.15,57.90,54.15,57.50,695500,57.50
2011-06-08,55.20,55.85,53.25,55.00,165400,55.00
2011-06-07,50.16,55.20,50.16,55.20,260500,55.20
2011-06-06,50.50,52.50,50.30,52.50,43800,52.50
2011-06-03,51.40,51.40,50.20,50.26,83500,50.26
2011-06-02,50.10,51.70,49.65,50.00,41000,50.00
2011-06-01,50.05,51.70,49.80,50.07,358700,50.07
2011-05-31,51.00,55.00,50.00,50.00,1014700,50.00
2011-05-27,48.61,48.67,45.35,48.17,273400,48.17
2011-05-26,43.80,48.00,42.35,46.00,2459800,46.00
2011-05-25,46.00,47.50,39.00,43.25,381600,43.25
2011-05-24,46.50,48.00,46.50,46.66,137100,46.66
2011-05-23,47.00,47.00,43.66,45.40,75600,45.40
2011-05-20,45.50,46.35,45.50,46.35,16600,46.35
2011-05-19,45.30,45.32,44.75,45.32,11200,45.32
2011-05-18,44.05,47.00,44.05,45.30,88900,45.30
2011-05-17,42.46,45.50,42.46,44.00,125200,44.00
2011-05-16,42.56,43.40,41.45,43.40,29300,43.40
2011-05-13,42.56,42.56,42.56,42.56,600,42.56
2011-05-12,43.00,43.00,41.62,42.74,50100,42.74
2011-05-11,43.20,43.20,41.40,41.40,17600,41.40
2011-05-10,42.05,43.56,42.00,43.25,32500,43.25
2011-05-09,43.90,43.90,43.35,43.35,38500,43.35
2011-05-06,43.25,44.38,42.02,43.00,223000,43.00
2011-05-05,43.75,45.60,43.00,45.00,112900,45.00
2011-05-04,45.85,45.85,44.00,44.10,121200,44.10
2011-05-03,45.50,46.64,43.75,45.00,131600,45.00
2011-04-28,44.89,44.89,43.75,43.75,109100,43.75
2011-04-27,46.30,46.30,43.50,43.50,37400,43.50
2011-04-26,43.95,45.00,43.95,44.10,78000,44.10
2011-04-21,44.64,45.00,43.50,45.00,75400,45.00
2011-04-20,44.70,45.00,43.50,43.50,133300,43.50
2011-04-19,43.60,45.00,42.02,44.10,477200,44.10
2011-04-18,44.20,44.20,42.00,42.33,152500,42.33
2011-04-15,45.49,45.49,44.20,45.07,337300,45.07
2011-04-14,45.70,47.00,44.60,45.49,652300,45.49
2011-04-13,43.00,49.25,43.00,45.00,1516200,45.00
2011-04-12,42.40,42.40,39.12,41.08,130300,41.08
2011-04-11,41.25,42.75,40.00,42.45,220300,42.45
2011-04-08,39.15,42.00,39.00,39.65,204400,39.65
2011-04-07,38.00,41.70,38.00,41.60,220300,41.60
2011-04-06,40.10,41.82,38.00,39.00,475800,39.00
2011-04-05,41.00,41.00,38.00,38.00,30100,38.00
2011-04-04,38.90,39.55,38.65,39.50,158300,39.50
2011-04-01,40.40,40.40,38.00,38.00,134600,38.00
2011-03-31,41.00,42.70,39.00,40.40,486400,40.40
2011-03-30,42.50,42.00,36.00,42.00,530900,42.00
2011-03-29,42.90,44.45,42.00,42.52,251100,42.52
2011-03-28,42.15,45.00,42.15,42.90,881200,42.90
2011-03-25,43.75,47.00,42.50,43.55,944000,43.55
2011-03-24,48.88,50.90,42.00,42.05,826700,42.05
2011-03-23,38.90,49.50,38.90,48.65,1516300,48.65
2011-03-22,34.00,43.60,34.00,39.53,1387500,39.53
2011-03-21,33.00,35.00,33.00,35.00,316400,35.00
2011-03-18,30.50,32.50,30.50,31.90,190600,31.90
2011-03-17,30.45,31.50,29.75,31.50,404800,31.50
2011-03-16,29.42,31.00,29.42,30.35,372100,30.35
2011-03-15,29.88,29.88,28.50,29.30,194700,29.30
2011-03-14,27.75,32.00,27.60,30.00,1079600,30.00
2011-03-11,27.75,28.00,27.58,28.00,221300,28.00
2011-03-10,28.00,28.10,27.58,27.65,77700,27.65
2011-03-09,28.00,28.40,27.70,27.85,36800,27.85
2011-03-08,28.25,28.50,27.77,27.80,160000,27.80
2011-03-07,28.25,28.35,28.00,28.00,176300,28.00
2011-03-04,27.00,30.47,27.00,28.00,1091400,28.00
2011-03-03,29.25,29.25,26.75,27.15,621700,27.15
2011-03-02,31.00,32.00,27.75,28.90,674900,28.90
2011-03-01,20.25,31.97,20.25,31.00,2242800,31.00
2011-02-28,20.25,20.70,19.75,19.75,12000,19.75
2011-02-25,20.50,20.50,19.60,19.75,14700,19.75
2011-02-24,20.25,20.25,19.75,19.75,10900,19.75
2011-02-23,20.00,21.00,19.75,19.80,120400,19.80
2011-02-22,20.50,20.60,19.12,20.60,304500,20.60
2011-02-21,21.00,21.00,20.00,20.00,3600,20.00
2011-02-18,20.50,20.80,20.05,20.05,20300,20.05
2011-02-17,21.00,21.00,20.00,20.50,220200,20.50
2011-02-16,21.25,21.25,21.00,21.00,200000,21.00
2011-02-15,21.25,21.25,20.50,20.50,1600,20.50
2011-02-14,21.25,22.00,20.50,21.00,135200,21.00
2011-02-11,21.25,21.25,21.25,21.25,20000,21.25
2011-02-10,21.25,21.50,20.52,21.50,52700,21.50
2011-02-09,21.25,21.50,20.25,21.50,57900,21.50
2011-02-08,21.25,21.24,20.51,20.51,111500,20.51
2011-02-07,21.00,21.61,20.55,20.55,58500,20.55
2011-02-04,21.25,21.25,20.75,20.75,107100,20.75
2011-02-03,22.25,21.50,20.52,20.52,153400,20.52
2011-02-02,22.50,24.00,21.00,21.00,158600,21.00
2011-02-01,21.75,22.00,22.00,22.00,50000,22.00
2011-01-31,22.25,22.30,21.50,22.10,119500,22.10
2011-01-28,22.25,22.30,21.50,21.51,47400,21.51
2011-01-27,22.00,22.60,21.01,22.50,111300,22.50
2011-01-26,22.00,21.10,21.00,21.10,5400,21.10
2011-01-25,22.00,22.59,21.10,21.10,80600,21.10
