Date,Open,High,Low,Close,Volume,Adj Close
2012-08-03,157.20,157.20,157.20,157.20,000,158.40
2012-08-01,156.80,158.43,153.79,158.40,217700,158.40
2012-07-31,155.50,157.40,155.10,156.90,180400,156.90
2012-07-30,156.00,157.50,155.10,156.00,224800,156.00
2012-07-27,154.50,155.90,152.78,155.90,229200,155.90
2012-07-26,151.80,155.10,151.80,155.10,227700,155.10
2012-07-25,151.00,153.97,149.95,152.30,300200,152.30
2012-07-24,151.20,153.64,150.00,150.60,169800,150.60
2012-07-23,152.50,152.74,150.51,151.80,165100,151.80
2012-07-20,154.00,155.50,152.50,153.80,215900,153.80
2012-07-19,155.50,157.30,153.10,154.50,223300,154.50
2012-07-18,154.50,156.29,153.46,154.00,268000,154.00
2012-07-17,153.90,155.99,152.30,154.00,224700,154.00
2012-07-16,155.00,155.70,152.10,155.00,148700,155.00
2012-07-13,152.80,155.50,151.17,155.50,190800,155.50
2012-07-12,152.50,154.10,152.50,152.50,195700,152.50
2012-07-11,153.10,154.12,151.08,153.70,293000,153.70
2012-07-10,152.10,154.74,151.22,154.30,227500,154.30
2012-07-09,152.90,154.43,151.10,151.50,186400,151.50
2012-07-06,153.40,154.70,151.10,151.10,172200,151.10
2012-07-05,151.90,153.59,151.50,151.70,208900,151.70
2012-07-04,151.40,153.70,150.70,153.00,235900,153.00
2012-07-03,153.50,155.00,151.80,155.00,347500,155.00
2012-07-02,151.10,154.30,150.19,151.30,330600,151.30
2012-06-29,149.60,150.80,148.00,148.00,299200,148.00
2012-06-28,148.60,148.80,146.60,146.60,313400,146.60
2012-06-27,145.90,149.00,144.21,149.00,159300,149.00
2012-06-26,146.10,147.10,145.00,146.40,282200,146.40
2012-06-25,147.20,147.37,143.50,143.50,130100,143.50
2012-06-22,147.70,148.45,145.88,146.90,152700,146.90
2012-06-21,149.20,149.90,148.00,149.00,69000,149.00
2012-06-20,148.30,150.71,147.70,149.80,316200,149.80
2012-06-19,146.90,149.40,145.12,149.10,208700,149.10
2012-06-18,147.60,147.90,144.50,145.00,509900,145.00
2012-06-15,146.10,147.06,144.71,146.90,725500,146.90
2012-06-14,143.80,145.70,143.04,145.30,246500,145.30
2012-06-13,144.10,145.42,142.70,145.40,392600,145.40
2012-06-12,147.10,147.10,143.10,143.90,263100,143.90
2012-06-11,150.90,150.90,146.00,146.00,289400,146.00
2012-06-08,149.50,149.80,146.50,147.00,312100,147.00
2012-06-07,145.60,152.30,145.40,149.90,235700,149.90
2012-06-06,145.40,148.30,144.90,147.60,366700,147.60
2012-06-01,144.30,146.60,142.50,142.50,398200,142.50
2012-05-31,146.20,146.60,144.10,144.10,245600,144.10
2012-05-30,146.90,146.90,143.70,144.60,235600,144.60
2012-05-29,145.30,147.58,145.00,146.90,111300,146.90
2012-05-28,147.10,147.10,143.70,146.80,307500,146.80
2012-05-25,145.90,145.99,143.50,145.20,290800,145.20
2012-05-24,142.20,146.20,141.81,146.20,203300,146.20
2012-05-23,142.60,145.90,140.70,140.70,284400,140.70
2012-05-22,144.60,147.48,142.50,142.50,385200,142.50
2012-05-21,144.00,146.60,144.00,144.00,223500,144.00
2012-05-14,148.10,149.70,147.34,149.00,300300,149.00
2012-05-11,147.30,151.60,146.25,151.20,390500,151.20
2012-05-10,147.50,149.59,146.10,148.50,278400,148.50
2012-05-09,152.30,152.30,145.78,149.50,417800,149.50
2012-05-08,151.50,152.40,150.10,150.60,409600,150.60
2012-05-04,152.10,153.00,150.50,153.00,359200,153.00
2012-05-03,152.00,153.90,150.80,153.70,178400,153.70
2012-05-02,152.50,153.20,151.00,152.70,287700,152.70
2012-05-01,149.00,153.00,149.00,152.40,206500,152.40
2012-04-30,149.20,150.80,148.70,148.70,129000,148.70
2012-04-27,149.30,151.40,148.50,150.50,134800,150.50
2012-04-26,149.20,150.90,148.40,149.10,221300,149.10
2012-04-25,150.10,150.30,149.00,149.10,276100,149.10
2012-04-24,146.00,150.10,146.00,150.10,199000,150.10
2012-04-23,148.60,149.89,145.70,147.30,362900,147.30
2012-04-20,148.50,152.00,148.50,149.70,234800,149.70
2012-04-19,149.00,151.00,148.80,148.90,375200,148.90
2012-04-18,150.10,151.70,148.58,150.10,328600,150.10
2012-04-17,147.50,151.40,147.50,151.30,371000,151.30
2012-04-16,149.40,149.50,147.00,147.00,354300,147.00
2012-04-13,150.20,151.46,148.80,149.80,298900,149.80
2012-04-12,150.00,150.40,149.00,150.00,1855000,150.00
2012-04-11,148.80,149.99,148.00,148.60,377400,148.60
2012-04-10,150.00,150.90,148.40,148.40,506800,148.40
2012-04-05,150.40,153.00,149.80,150.20,325300,150.20
