Date,Open,High,Low,Close,Volume,Adj Close
2012-08-03,182.30,183.10,181.90,181.90,4500,182.00
2012-08-02,183.50,188.30,182.00,182.00,1190300,182.00
2012-08-01,182.90,185.00,181.77,183.20,1023400,183.20
2012-07-31,181.70,183.90,181.60,182.70,2150900,182.70
2012-07-27,179.40,179.80,175.90,179.30,2156700,179.30
2012-07-26,171.70,178.40,169.60,178.00,1522400,178.00
2012-07-25,172.20,173.60,171.20,171.20,2195500,171.20
2012-07-24,173.50,174.30,172.20,173.00,1286900,173.00
2012-07-23,173.50,175.80,171.00,173.00,2173400,173.00
2012-07-20,175.50,177.00,175.00,175.00,1551300,175.00
2012-07-19,170.30,177.43,170.00,176.10,2122400,176.10
2012-07-18,169.60,172.30,168.40,169.50,1707400,169.50
2012-07-17,170.20,171.10,167.40,168.60,1065100,168.60
2012-07-16,168.60,173.70,166.90,169.70,1410900,169.70
2012-07-13,165.80,169.12,164.28,169.10,995100,169.10
2012-07-12,167.00,168.20,165.00,165.20,1718700,165.20
2012-07-11,169.90,170.80,167.10,167.40,1512500,167.40
2012-07-10,170.10,172.03,169.40,170.30,1752000,170.30
2012-07-09,171.50,172.50,169.50,169.80,1155400,169.80
2012-07-06,175.20,176.60,171.10,172.10,1330200,172.10
2012-07-05,177.40,178.00,174.60,175.80,1455700,175.80
2012-07-04,175.70,177.10,174.78,176.00,781200,176.00
2012-07-03,173.70,176.50,173.60,175.10,1009600,175.10
2012-07-02,169.40,175.30,169.38,173.80,4282100,173.80
2012-06-29,171.20,171.70,169.30,169.50,3494500,169.50
2012-06-28,170.30,171.10,166.00,167.30,1205300,167.30
2012-06-27,167.10,170.40,165.10,170.00,1751700,170.00
2012-06-26,168.10,170.20,165.90,166.00,1241200,166.00
2012-06-25,167.90,169.20,166.00,167.60,1985700,167.60
2012-06-22,169.90,171.50,169.10,169.30,1264700,169.30
2012-06-21,171.30,174.00,169.00,171.60,2174100,171.60
2012-06-20,165.30,172.10,162.80,172.10,2710100,172.10
2012-06-19,162.90,167.00,162.50,167.00,1960400,167.00
2012-06-18,167.00,167.30,161.60,163.40,2915700,163.40
2012-06-15,159.90,167.90,159.30,167.80,4684400,167.80
2012-06-14,157.90,160.20,156.50,158.90,2598600,158.90
2012-06-13,161.80,163.40,157.40,158.00,2274500,158.00
2012-06-12,164.40,165.22,160.40,162.00,2168200,162.00
2012-06-11,169.70,171.30,164.40,164.70,2039500,164.70
2012-06-08,166.60,167.10,162.90,165.90,2907100,165.90
2012-06-07,164.30,169.00,163.00,167.50,3737100,167.50
2012-06-06,158.90,164.37,156.90,163.50,3697000,163.50
2012-06-01,164.30,164.30,157.20,158.60,1789200,158.60
2012-05-31,165.00,166.10,162.50,164.30,5616400,164.30
2012-05-30,167.10,167.20,161.90,164.10,1784700,164.10
