Date,Open,High,Low,Close,Volume,Adj Close
2012-08-03,69.80,69.80,69.50,69.50,41900,69.50
2012-08-01,69.80,69.90,69.50,69.50,272500,69.50
2012-07-31,70.10,70.10,69.50,69.90,593100,69.90
2012-07-30,69.50,70.20,69.50,70.00,508800,70.00
2012-07-27,69.85,70.00,69.45,69.80,363000,69.80
2012-07-26,69.95,70.00,69.31,69.75,335200,69.75
2012-07-25,69.55,70.15,69.20,70.15,563700,70.15
2012-07-24,70.30,70.45,69.80,69.80,237100,69.80
2012-07-23,70.25,70.85,68.50,70.50,332100,70.50
2012-07-20,71.00,71.00,70.25,70.95,164200,70.95
2012-07-19,70.65,71.00,70.59,70.85,378100,70.85
2012-07-18,70.85,71.00,70.55,70.80,260200,70.80
2012-07-17,71.20,71.20,70.50,70.50,383000,70.50
2012-07-16,70.70,71.00,70.51,70.85,377600,70.85
2012-07-13,70.90,71.30,70.70,71.00,387100,71.00
2012-07-12,70.50,71.06,70.50,70.50,382600,70.50
2012-07-11,71.40,71.50,70.70,71.00,576600,71.00
2012-07-10,71.30,71.65,70.95,71.25,366400,71.25
2012-07-09,70.70,71.30,70.70,70.80,369500,70.80
2012-07-06,70.70,71.30,70.70,71.30,215800,71.30
2012-07-05,71.30,71.40,70.80,71.30,271700,71.30
2012-07-04,71.30,71.40,70.71,71.40,363200,71.40
2012-07-03,70.45,71.45,70.45,71.45,342400,71.45
2012-07-02,70.25,71.00,70.25,71.00,506500,71.00
2012-06-29,70.45,70.60,69.90,70.60,254800,70.60
2012-06-28,70.45,70.45,69.90,70.00,236900,70.00
2012-06-27,70.50,70.50,69.90,70.30,198300,70.30
2012-06-26,70.65,70.65,69.70,69.70,217800,69.70
2012-06-25,70.45,70.50,69.75,69.75,279500,69.75
2012-06-22,70.60,70.73,70.10,70.20,483900,70.20
2012-06-21,70.35,70.45,70.00,70.25,253700,70.25
2012-06-20,70.05,70.50,69.95,70.20,349800,70.20
2012-06-19,69.80,70.65,69.80,70.30,290300,70.30
2012-06-18,69.45,71.00,69.09,70.40,592200,70.40
2012-06-15,68.35,70.25,68.35,70.00,3079500,70.00
2012-06-14,68.65,69.30,68.00,69.30,317600,69.30
2012-06-13,67.35,69.25,67.30,67.70,410500,67.70
2012-06-12,68.70,68.75,67.10,67.10,543000,67.10
2012-06-11,69.90,70.40,67.90,67.90,502400,67.90
2012-06-08,69.00,70.00,69.00,69.50,264100,69.50
2012-06-07,69.00,70.40,68.50,69.00,407900,69.00
2012-06-06,68.25,69.90,68.25,69.20,598200,69.20
2012-06-01,68.90,69.57,68.05,68.45,549700,68.45
2012-05-31,70.00,70.00,68.85,68.85,602800,68.85
2012-05-30,69.95,70.00,68.85,69.40,278300,69.40
2012-05-29,69.75,70.00,69.05,69.95,296800,69.95
2012-05-28,69.60,69.90,68.75,69.00,248000,69.00
2012-05-25,69.55,70.00,69.00,69.00,277600,69.00
2012-05-24,69.95,70.25,69.50,69.50,265500,69.50
2012-05-23,70.60,70.60,69.40,69.70,497200,69.70
2012-05-22,71.00,71.35,70.50,70.50,861600,70.50
2012-05-21,71.65,71.85,71.00,71.10,500100,71.10
2012-05-14,71.25,72.40,71.15,72.40,351200,72.40
2012-05-11,70.40,72.00,70.05,71.85,319300,71.85
2012-05-10,70.45,71.25,70.00,71.25,401400,71.25
2012-05-09,71.15,71.17,69.05,70.90,940100,70.90
2012-05-08,71.20,72.30,71.00,71.50,863600,71.50
2012-05-04,71.50,71.86,71.10,71.10,637800,71.10
2012-05-03,72.95,72.95,71.50,71.50,854300,71.50
2012-05-02,73.30,73.65,72.15,72.15,1079900,72.15
2012-05-01,73.25,73.80,73.25,73.70,432100,73.70
2012-04-30,73.90,73.90,72.14,73.50,5206700,73.50
2012-04-27,73.35,73.45,73.20,73.40,583000,73.40
2012-04-26,73.90,73.90,73.40,73.45,508500,73.45
2012-04-25,73.00,73.50,73.00,73.45,568100,73.45
2012-04-24,73.90,73.90,73.10,73.20,321300,73.20
2012-04-23,73.60,73.86,73.00,73.25,513300,73.25
2012-04-20,73.30,73.94,73.02,73.65,586700,73.65
