Date,Open,High,Low,Close,Volume,Adj Close
2012-08-03,1443.00,1443.00,1443.00,1443.00,1000,1435.00
2012-08-02,1421.00,1468.00,1421.00,1435.00,251800,1435.00
2012-08-01,1464.00,1482.00,1420.00,1424.00,221100,1424.00
2012-07-31,1443.00,1475.00,1443.00,1469.00,170700,1469.00
2012-07-27,1485.00,1495.00,1477.00,1482.00,197600,1482.00
2012-07-26,1492.00,1500.00,1475.00,1484.00,158000,1484.00
2012-07-25,1514.00,1519.00,1494.00,1496.00,126100,1496.00
2012-07-24,1533.00,1537.00,1516.00,1516.00,113400,1516.00
2012-07-23,1528.00,1548.00,1527.00,1530.00,77200,1530.00
2012-07-20,1564.00,1574.00,1556.00,1567.00,137400,1567.00
2012-07-19,1520.00,1577.00,1500.00,1567.00,195300,1567.00
2012-07-18,1590.00,1617.00,1583.00,1597.00,54700,1597.00
2012-07-17,1599.00,1603.00,1574.00,1591.00,58300,1591.00
2012-07-16,1586.00,1605.00,1585.00,1601.00,63700,1601.00
2012-07-13,1592.00,1596.00,1576.00,1593.00,71600,1593.00
2012-07-12,1594.00,1594.00,1573.00,1582.00,75100,1582.00
2012-07-11,1631.00,1661.00,1590.00,1597.00,213000,1597.00
2012-07-10,1625.00,1639.00,1624.00,1635.00,116900,1635.00
2012-07-09,1642.00,1647.00,1622.00,1626.00,118500,1626.00
2012-07-06,1648.00,1659.00,1638.00,1647.00,80700,1647.00
2012-07-05,1653.00,1679.00,1646.00,1662.00,129900,1662.00
2012-07-04,1649.00,1684.00,1640.00,1661.00,76200,1661.00
2012-07-03,1638.00,1663.00,1634.00,1662.00,114200,1662.00
2012-07-02,1590.00,1640.00,1582.00,1640.00,209900,1640.00
2012-06-29,1594.00,1603.00,1575.00,1587.00,111900,1587.00
2012-06-28,1558.00,1567.00,1543.00,1564.00,107700,1564.00
2012-06-27,1545.00,1562.00,1529.00,1553.00,83000,1553.00
2012-06-26,1579.00,1580.00,1541.00,1545.00,113500,1545.00
2012-06-25,1598.00,1598.00,1566.00,1581.00,63800,1581.00
2012-06-22,1608.00,1609.00,1583.00,1598.00,114300,1598.00
2012-06-21,1630.00,1644.00,1609.00,1609.00,151200,1609.00
2012-06-20,1631.00,1646.00,1615.00,1639.00,140400,1639.00
2012-06-19,1639.00,1639.00,1617.00,1628.00,110000,1628.00
2012-06-18,1640.00,1640.00,1615.00,1630.00,111400,1630.00
2012-06-15,1635.00,1644.00,1620.00,1628.00,248900,1628.00
2012-06-14,1627.00,1633.00,1612.00,1630.00,240200,1630.00
2012-06-13,1666.00,1666.00,1619.00,1629.00,153600,1629.00
2012-06-12,1684.00,1685.00,1643.00,1660.00,122800,1660.00
2012-06-11,1712.00,1719.00,1672.00,1678.00,81300,1678.00
2012-06-08,1679.00,1701.17,1665.00,1701.00,63200,1701.00
2012-06-07,1675.00,1698.00,1651.00,1687.00,158100,1687.00
2012-06-06,1639.00,1678.00,1627.00,1675.00,115800,1675.00
2012-06-01,1664.00,1664.00,1622.00,1623.00,137800,1623.00
2012-05-31,1650.00,1677.00,1650.00,1664.00,131600,1664.00
2012-05-30,1666.00,1684.00,1644.00,1653.00,93000,1653.00
2012-05-29,1638.00,1677.00,1621.00,1662.26,134600,1662.26
2012-05-28,1598.00,1628.00,1592.00,1607.00,78400,1607.00
2012-05-25,1609.00,1622.00,1588.21,1590.00,101600,1590.00
2012-05-24,1614.00,1620.00,1595.00,1610.00,91200,1610.00
2012-05-23,1610.00,1624.00,1601.00,1602.00,62700,1602.00
2012-05-22,1615.00,1638.00,1612.00,1631.00,85200,1631.00
2012-05-21,1605.00,1630.00,1605.00,1613.00,69000,1613.00
2012-05-18,1625.00,1635.00,1610.00,1610.00,128600,1610.00
2012-05-17,1638.00,1666.00,1635.00,1640.00,105000,1640.00
2012-05-16,1616.00,1653.00,1616.00,1644.00,128700,1644.00
2012-05-14,1633.00,1637.00,1617.00,1636.00,66800,1636.00
2012-05-11,1620.00,1656.00,1620.00,1650.00,116100,1650.00
2012-05-10,1639.00,1639.00,1608.00,1633.00,91200,1633.00
2012-05-09,1636.00,1649.00,1597.00,1624.00,163100,1624.00
2012-05-08,1661.00,1668.00,1634.00,1638.00,125200,1638.00
2012-05-04,1708.00,1716.00,1657.00,1664.00,114000,1664.00
2012-05-03,1722.00,1725.00,1705.00,1716.00,115800,1716.00
2012-05-02,1724.00,1740.00,1704.00,1725.00,228800,1725.00
2012-05-01,1680.00,1702.00,1675.00,1698.00,81700,1698.00
2012-04-30,1717.00,1718.00,1679.00,1684.00,93200,1684.00
2012-04-27,1690.00,1721.00,1690.00,1715.00,114000,1715.00
2012-04-26,1722.00,1737.00,1701.00,1706.00,89400,1706.00
2012-04-25,1721.00,1736.00,1717.00,1727.00,127000,1727.00
2012-04-24,1645.00,1729.00,1645.00,1719.00,241200,1719.00
2012-04-23,1677.00,1677.00,1637.00,1640.00,142000,1640.00
2012-04-20,1674.00,1687.00,1667.00,1681.00,139900,1681.00
2012-04-19,1662.00,1694.00,1662.00,1680.00,200400,1680.00
2012-04-18,1681.00,1698.00,1660.00,1669.00,153300,1669.00
2012-04-17,1678.00,1698.00,1674.00,1687.00,185000,1687.00
2012-04-16,1670.00,1699.00,1667.00,1683.00,133200,1683.00
2012-04-13,1700.00,1718.00,1679.00,1680.00,91500,1680.00
2012-04-12,1684.00,1717.00,1684.00,1705.00,137400,1705.00
2012-04-11,1665.00,1692.00,1651.00,1685.00,195100,1685.00
2012-04-10,1710.00,1722.00,1689.00,1689.00,192900,1689.00
2012-04-05,1731.00,1736.00,1717.00,1726.00,69900,1726.00
2012-04-04,1756.00,1761.34,1728.00,1731.00,264300,1731.00
2012-04-03,1776.00,1787.00,1763.00,1763.00,118500,1763.00
2012-04-02,1751.00,1780.00,1741.00,1780.00,137300,1780.00
2012-03-30,1727.00,1751.00,1727.00,1749.00,158100,1749.00
2012-03-29,1721.00,1736.00,1718.00,1727.00,223600,1727.00
2012-03-28,1734.00,1751.00,1726.00,1727.00,114000,1727.00
2012-03-27,1753.00,1761.86,1740.00,1741.00,121700,1741.00
2012-03-26,1733.00,1756.00,1727.00,1753.00,92200,1753.00
2012-03-23,1719.00,1738.00,1715.00,1731.00,175100,1731.00
2012-03-22,1714.00,1729.00,1710.00,1719.00,137700,1719.00
2012-03-21,1716.00,1726.00,1710.00,1722.00,202500,1722.00
2012-03-20,1730.00,1734.00,1698.00,1715.00,293300,1715.00
2012-03-19,1773.00,1781.00,1737.00,1737.00,117000,1737.00
2012-03-16,1758.00,1781.00,1738.06,1779.00,204700,1779.00
2012-03-15,1766.00,1773.00,1746.00,1754.87,157900,1754.87
2012-03-14,1785.00,1788.50,1763.00,1767.00,117900,1767.00
2012-03-13,1750.00,1776.00,1741.00,1774.00,124700,1774.00
2012-03-12,1731.00,1750.00,1722.00,1741.00,89800,1741.00
2012-03-09,1735.00,1744.01,1731.00,1732.00,99700,1732.00
2012-03-08,1697.00,1747.00,1695.00,1736.00,144600,1736.00
2012-03-07,1676.00,1708.00,1676.00,1694.00,131600,1694.00
2012-03-06,1715.00,1719.00,1676.00,1677.00,252600,1677.00
2012-03-05,1709.00,1727.00,1699.00,1723.00,136500,1723.00
2012-03-02,1706.00,1713.00,1693.47,1710.00,111200,1710.00
2012-03-01,1699.00,1733.00,1694.00,1700.00,203000,1700.00
2012-02-29,1708.00,1708.00,1678.00,1685.39,86700,1685.39
2012-02-28,1713.00,1713.00,1685.00,1691.00,122000,1691.00
2012-02-27,1702.00,1704.00,1680.00,1700.00,63900,1700.00
2012-02-24,1717.00,1724.00,1697.00,1700.00,157600,1700.00
2012-02-23,1709.00,1726.00,1699.00,1710.00,91300,1710.00
2012-02-22,1676.00,1726.00,1668.00,1715.00,120000,1715.00
2012-02-21,1672.00,1677.00,1660.00,1671.00,127800,1671.00
2012-02-20,1680.00,1690.00,1667.24,1677.00,106900,1677.00
2012-02-17,1642.00,1668.00,1642.00,1667.00,102900,1667.00
2012-02-16,1635.00,1644.00,1618.51,1638.00,106500,1638.00
2012-02-15,1631.00,1648.00,1626.00,1642.00,82200,1642.00
2012-02-14,1611.00,1637.00,1611.00,1628.00,122300,1628.00
2012-02-13,1616.00,1625.00,1610.00,1620.00,67000,1620.00
2012-02-10,1595.00,1616.00,1595.00,1614.00,70500,1614.00
2012-02-09,1591.00,1613.00,1585.00,1603.00,132900,1603.00
2012-02-08,1589.00,1594.00,1577.00,1591.00,105800,1591.00
2012-02-07,1586.00,1592.00,1570.00,1588.00,138000,1588.00
2012-02-06,1577.00,1582.00,1558.00,1579.00,85100,1579.00
2012-02-03,1548.00,1583.00,1540.00,1575.00,176500,1575.00
2012-02-02,1563.00,1587.00,1554.00,1554.00,152200,1554.00
2012-02-01,1534.00,1572.00,1534.00,1565.00,113700,1565.00
2012-01-31,1517.00,1546.00,1511.00,1532.00,82100,1532.00
2012-01-30,1510.00,1515.00,1499.00,1515.00,123500,1515.00
2012-01-27,1503.00,1527.00,1498.00,1510.00,117900,1510.00
2012-01-26,1519.00,1538.00,1502.00,1505.00,154400,1505.00
2012-01-25,1517.00,1518.00,1490.00,1509.00,95200,1509.00
2012-01-24,1553.00,1553.00,1497.00,1509.00,234900,1509.00
2012-01-23,1539.00,1561.00,1529.00,1550.00,130700,1550.00
2012-01-20,1579.00,1580.00,1534.00,1535.00,317100,1535.00
2012-01-19,1592.00,1595.00,1568.00,1594.00,249100,1594.00
2012-01-18,1572.00,1593.00,1572.00,1586.00,167000,1586.00
2012-01-17,1558.00,1576.00,1545.00,1575.00,85100,1575.00
2012-01-16,1533.00,1562.00,1531.00,1540.00,79800,1540.00
2012-01-13,1552.00,1560.00,1540.00,1552.00,180500,1552.00
2012-01-12,1507.00,1542.00,1496.00,1542.00,202000,1542.00
2012-01-11,1500.00,1520.00,1484.00,1501.00,90700,1501.00
2012-01-10,1492.00,1516.00,1492.00,1501.00,157200,1501.00
2012-01-09,1479.00,1493.00,1467.00,1492.00,154100,1492.00
