Date,Open,High,Low,Close,Volume,Adj Close
2012-08-03,677.00,677.00,673.50,674.81,5500,673.50
2012-08-02,679.00,679.50,670.00,673.50,2608000,673.50
2012-08-01,685.50,689.00,674.50,677.00,3431600,677.00
2012-07-31,693.50,698.00,683.00,683.00,2772400,683.00
2012-07-27,705.00,705.50,692.50,693.00,4015900,693.00
2012-07-26,690.00,702.00,687.50,701.50,4861100,701.50
2012-07-25,691.00,695.50,687.00,688.50,3089800,688.50
2012-07-24,691.50,695.39,687.00,691.50,3026500,691.50
2012-07-23,692.50,697.00,688.00,691.00,2579600,691.00
2012-07-20,690.00,698.00,686.00,698.00,4841600,698.00
2012-07-19,696.00,696.00,686.50,690.50,2514200,690.50
2012-07-18,698.00,698.00,684.00,696.00,4998500,696.00
2012-07-17,697.00,698.00,690.00,698.00,3915900,698.00
2012-07-16,683.50,697.00,681.81,697.00,3902000,697.00
2012-07-13,679.00,685.00,674.00,684.50,2599800,684.50
2012-07-12,683.00,685.50,680.50,683.50,1522400,683.50
2012-07-11,678.50,683.07,676.25,683.00,2592600,683.00
2012-07-10,678.50,681.50,672.00,679.00,1633300,679.00
2012-07-09,674.50,679.50,669.00,676.50,1319300,676.50
2012-07-06,670.50,677.00,670.00,676.00,1693600,676.00
2012-07-05,675.00,675.00,661.50,671.00,1730300,671.00
2012-07-04,677.50,678.00,670.67,673.50,1344900,673.50
2012-07-03,679.00,679.00,669.00,673.50,2072800,673.50
2012-07-02,675.00,679.50,668.58,679.50,2571500,679.50
2012-06-29,680.00,682.00,670.50,675.00,3077800,675.00
2012-06-28,662.50,674.50,662.00,674.50,3260200,674.50
2012-06-27,653.00,661.50,652.00,659.00,1337600,659.00
2012-06-26,650.50,655.00,648.50,652.00,1728200,652.00
2012-06-25,645.50,649.67,639.00,647.00,1651000,647.00
2012-06-22,651.00,669.84,644.50,646.00,2032900,646.00
2012-06-21,657.00,677.34,651.00,653.50,2613300,653.50
2012-06-20,651.50,667.34,642.00,656.00,3046300,656.00
2012-06-19,662.50,672.01,661.00,669.50,2953400,669.50
2012-06-18,670.50,670.50,655.50,661.00,4553600,661.00
2012-06-15,679.50,682.78,662.60,663.00,5504100,663.00
2012-06-14,678.00,683.00,676.50,680.50,1709900,680.50
2012-06-13,681.00,681.00,654.88,678.50,2455900,678.50
2012-06-12,675.50,681.50,671.00,676.50,4950600,676.50
2012-06-11,686.50,686.50,672.50,675.00,2902800,675.00
2012-06-08,664.50,680.57,664.50,680.50,2747200,680.50
2012-06-07,678.00,678.00,665.00,668.50,4066700,668.50
2012-06-06,680.00,680.00,665.00,678.00,5966800,678.00
2012-06-01,657.50,667.67,651.50,662.50,4556400,662.50
2012-05-31,646.00,657.46,643.50,657.00,4904300,657.00
