Date,Open,High,Low,Close,Volume,Adj Close
2012-08-03,70.10,71.00,70.00,70.00,43600,70.00
2012-08-02,69.00,70.50,68.65,70.00,327500,70.00
2012-08-01,69.00,70.14,68.66,69.00,2372200,69.00
2012-07-31,68.75,69.50,68.39,69.00,198200,69.00
2012-07-27,67.25,67.25,64.97,67.00,31081400,67.00
2012-07-26,67.00,67.75,65.25,67.75,320300,67.75
2012-07-25,66.50,67.19,65.75,67.00,271500,67.00
2012-07-24,67.25,67.75,66.00,66.25,810800,66.25
2012-07-23,68.50,69.12,67.50,67.50,98900,67.50
2012-07-20,68.00,70.00,68.00,69.00,2531600,69.00
2012-07-19,67.00,70.00,67.00,70.00,578300,70.00
2012-07-18,66.75,67.86,64.25,67.75,2562500,67.75
2012-07-17,72.00,73.31,64.66,67.00,2480100,67.00
2012-07-16,73.00,74.72,72.18,73.00,251200,73.00
2012-07-13,73.75,74.44,72.88,74.00,187200,74.00
2012-07-12,73.60,73.60,72.38,73.50,66900,73.50
2012-07-11,74.00,74.00,72.25,73.00,270100,73.00
2012-07-10,73.75,73.98,73.00,73.25,233600,73.25
2012-07-09,72.00,75.00,72.00,73.75,636200,73.75
2012-07-06,74.00,74.50,71.75,73.00,170700,73.00
2012-07-05,74.00,74.00,71.00,71.00,298300,71.00
2012-07-04,73.75,75.76,72.00,73.00,379300,73.00
2012-07-03,74.25,75.00,73.00,73.50,170900,73.50
2012-07-02,76.75,77.18,73.00,73.50,338400,73.50
2012-06-29,76.50,78.75,75.65,76.75,1550300,76.75
2012-06-28,74.50,76.50,73.00,76.00,188300,76.00
2012-06-27,74.50,75.50,73.05,73.75,729400,73.75
2012-06-26,79.00,80.56,75.25,75.75,259200,75.75
2012-06-25,79.50,80.81,76.28,79.50,606900,79.50
2012-06-22,70.00,80.86,70.00,79.50,1507400,79.50
2012-06-21,70.00,71.50,68.25,71.50,748100,71.50
2012-06-20,68.00,71.00,66.95,71.00,595300,71.00
2012-06-19,67.75,68.25,67.50,68.00,125500,68.00
2012-06-18,69.00,69.46,67.50,67.50,260200,67.50
2012-06-15,66.25,69.50,66.14,69.50,443500,69.50
2012-06-14,66.25,67.00,65.44,66.75,190700,66.75
2012-06-13,65.50,67.00,65.00,66.50,146700,66.50
2012-06-12,66.75,66.89,66.00,66.50,256900,66.50
2012-06-11,65.00,66.64,64.34,66.50,130000,66.50
2012-06-08,65.75,66.50,64.00,65.50,124500,65.50
2012-06-07,63.75,66.50,63.75,66.50,297400,66.50
2012-06-06,64.50,65.50,64.00,65.00,228400,65.00
2012-06-01,64.00,65.50,63.75,64.00,408100,64.00
2012-05-31,66.75,67.75,63.75,64.00,606400,64.00
2012-05-30,66.00,66.85,65.80,66.25,57800,66.25
2012-05-29,66.50,68.00,65.35,67.00,61400,67.00
2012-05-28,68.00,68.00,65.25,66.75,42200,66.75
2012-05-25,68.00,68.61,65.25,65.25,107000,65.25
2012-05-24,64.25,68.12,62.37,66.75,245000,66.75
2012-05-23,62.50,64.75,62.50,64.00,270100,64.00
2012-05-22,62.50,64.38,62.28,64.25,237100,64.25
2012-05-21,63.00,64.28,61.00,62.25,514800,62.25
2012-05-18,64.00,66.75,63.00,63.50,611200,63.50
2012-05-17,67.00,67.86,63.72,64.50,371000,64.50
2012-05-16,68.25,70.00,66.04,66.75,213000,66.75
2012-05-14,68.00,70.44,68.00,69.75,170000,69.75
2012-05-11,68.75,70.50,67.50,70.00,193200,70.00
