Date,Open,High,Low,Close,Volume,Adj Close
2012-06-27,2.80,2.80,2.68,2.77,5542000,2.77
2012-06-26,2.90,2.93,2.71,2.78,8291600,2.78
2012-06-25,2.97,3.08,2.66,2.95,17840400,2.95
2012-06-22,2.93,2.99,2.75,2.99,8825400,2.99
2012-06-21,2.95,3.05,2.78,2.95,10798200,2.95
2012-06-20,2.88,2.92,2.79,2.91,4496500,2.91
2012-06-19,2.91,2.91,2.79,2.90,13985900,2.90
2012-06-18,2.95,2.98,2.70,2.95,11558600,2.95
2012-06-15,2.72,2.90,2.69,2.86,19262300,2.86
2012-06-14,2.95,3.00,2.66,2.71,53478900,2.71
2012-06-13,3.00,3.02,2.89,2.90,16955000,2.90
2012-06-12,3.09,3.10,2.95,3.02,6975000,3.02
2012-06-11,3.07,3.09,3.00,3.05,6694400,3.05
2012-06-08,3.00,3.07,2.97,3.02,9051300,3.02
2012-06-07,3.09,3.15,2.98,3.10,18949200,3.10
2012-06-06,3.08,3.44,2.96,3.07,21886700,3.07
2012-06-01,3.05,3.15,2.95,3.03,106714500,3.03
2012-05-31,3.34,3.34,3.13,3.15,19141000,3.15
2012-05-30,3.28,3.44,3.15,3.23,21249900,3.23
2012-05-29,3.30,3.40,3.20,3.25,6803300,3.25
2012-05-28,3.69,3.69,3.26,3.42,8603500,3.42
2012-05-25,3.70,3.83,3.45,3.49,15499800,3.49
2012-05-24,3.49,3.64,3.32,3.45,14920400,3.45
2012-05-23,3.34,3.45,3.25,3.40,7859400,3.40
2012-05-22,3.25,3.40,3.09,3.30,18626400,3.30
2012-05-21,3.22,3.35,3.16,3.25,11243300,3.25
2012-05-18,3.30,3.30,3.06,3.23,17151100,3.23
2012-05-17,3.40,3.40,3.16,3.25,22886700,3.25
2012-05-16,3.59,3.59,3.27,3.37,13372900,3.37
2012-05-14,3.70,3.70,3.41,3.58,13785300,3.58
2012-05-11,3.65,3.70,3.55,3.70,10032700,3.70
2012-05-10,3.70,3.89,3.56,3.70,20577300,3.70
2012-05-09,3.99,3.99,3.51,3.71,21208700,3.71
2012-05-08,3.85,4.05,3.80,3.91,8837100,3.91
2012-05-04,4.01,4.07,3.81,4.00,11183000,4.00
2012-05-03,4.00,4.09,3.97,4.05,4188100,4.05
2012-05-02,4.15,4.15,3.96,4.06,3709500,4.06
2012-05-01,4.05,4.13,3.99,4.10,4903700,4.10
2012-04-30,4.20,4.24,4.03,4.05,7121800,4.05
2012-04-27,4.05,4.22,4.05,4.10,9130600,4.10
2012-04-26,4.22,4.40,4.01,4.05,4963600,4.05
2012-04-25,4.12,4.17,4.02,4.08,10777700,4.08
2012-04-24,4.06,4.25,4.03,4.18,7365500,4.18
2012-04-23,4.10,4.45,4.02,4.14,10975900,4.14
2012-04-20,4.45,4.45,4.10,4.18,9061200,4.18
2012-04-19,4.13,4.36,4.07,4.25,11706500,4.25
2012-04-18,4.15,4.22,4.02,4.18,10124100,4.18
2012-04-17,4.14,4.24,4.07,4.18,5988000,4.18
2012-04-16,4.37,4.37,4.08,4.08,15190700,4.08
2012-04-13,4.25,4.40,4.05,4.26,20434400,4.26
2012-04-12,4.20,4.35,4.04,4.13,12693600,4.13
2012-04-11,4.20,4.27,4.02,4.16,19062400,4.16
2012-04-10,4.48,4.48,4.10,4.20,10802100,4.20
2012-04-05,4.10,4.66,4.01,4.24,18711900,4.24
