Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,305.50,305.50,298.24,303.75,100,303.75
2012-08-02,305.50,305.50,297.04,303.75,9400,303.75
2012-08-01,304.50,306.94,299.50,305.00,17000,305.00
2012-07-31,303.00,310.00,301.00,310.00,23900,310.00
2012-07-27,299.75,302.50,293.00,302.50,21300,302.50
2012-07-26,290.25,307.00,290.25,297.00,34600,297.00
2012-07-25,299.75,299.75,287.00,287.00,10100,287.00
2012-07-24,299.75,299.75,290.00,290.00,7000,290.00
2012-07-23,290.25,300.00,290.25,300.00,6900,300.00
2012-07-20,290.00,298.01,287.25,290.00,19300,290.00
2012-07-19,285.00,300.00,285.00,298.75,47300,298.75
2012-07-18,285.00,290.00,280.00,285.00,673200,285.00
2012-07-17,285.00,295.50,285.00,285.00,27000,285.00
2012-07-16,288.25,299.00,285.00,285.00,13400,285.00
2012-07-13,290.25,298.00,289.50,289.50,15100,289.50
2012-07-12,290.75,298.75,290.75,290.75,15000,290.75
2012-07-11,295.75,299.53,291.13,295.75,10800,295.75
2012-07-10,295.25,304.16,295.25,304.00,33600,304.00
2012-07-09,280.25,304.00,280.00,304.00,42400,304.00
2012-07-06,280.00,289.00,280.00,280.75,11700,280.75
2012-07-05,278.75,288.07,278.75,285.00,18000,285.00
2012-07-04,270.50,279.00,270.50,279.00,4500,279.00
2012-07-03,273.50,273.50,265.00,266.50,1100,266.50
2012-07-02,268.00,279.75,264.50,271.50,24300,271.50
2012-06-29,270.00,270.00,263.50,270.00,2500,270.00
2012-06-28,270.00,270.00,270.00,270.00,000,270.00
2012-06-27,270.00,270.00,259.51,260.00,14700,260.00
2012-06-26,263.00,270.39,263.00,270.00,4900,270.00
2012-06-25,271.25,271.64,271.25,271.64,4700,271.64
2012-06-22,261.17,270.00,261.17,270.00,10200,270.00
2012-06-21,269.00,271.25,260.25,260.25,24500,260.25
2012-06-20,271.25,271.25,265.00,270.00,3700,270.00
2012-06-19,269.00,270.00,264.00,264.00,5200,264.00
2012-06-18,265.00,269.00,265.00,269.00,23300,269.00
2012-06-15,262.75,267.91,253.25,267.75,24200,267.75
2012-06-14,249.00,263.00,248.00,248.00,9300,248.00
2012-06-13,259.75,260.00,246.25,260.00,6700,260.00
2012-06-12,245.25,259.39,245.25,245.75,160400,245.75
2012-06-11,246.25,259.35,246.25,248.00,14000,248.00
2012-06-08,251.00,256.56,249.50,249.50,14500,249.50
2012-06-07,247.75,252.00,247.75,251.00,16300,251.00
2012-06-06,251.00,256.00,245.50,245.50,9700,245.50
2012-06-01,250.00,257.95,250.00,250.00,42000,250.00
2012-05-31,260.00,260.00,251.00,251.00,2300,251.00
2012-05-30,251.00,259.50,251.00,251.00,15300,251.00
2012-05-29,251.75,260.00,248.75,251.00,29700,251.00
2012-05-28,237.25,245.00,237.00,237.00,13300,237.00
2012-05-25,237.00,237.00,235.00,237.00,8700,237.00
2012-05-24,237.25,248.00,237.00,237.00,3000,237.00
2012-05-23,237.25,238.00,237.00,237.00,1200,237.00
2012-05-22,237.25,248.00,237.00,237.00,4800,237.00
2012-05-21,237.25,237.25,237.00,237.00,4600,237.00
2012-05-18,237.75,249.87,237.75,249.87,900,249.87
2012-05-17,245.00,245.00,237.00,237.00,5400,237.00
2012-05-16,235.25,235.25,235.25,235.25,000,235.25
2012-05-14,240.25,249.31,235.00,235.00,12500,235.00
2012-05-11,244.00,249.75,235.25,240.25,30600,240.25
2012-05-10,236.50,246.00,234.75,234.75,11900,234.75
2012-05-09,240.25,244.49,236.50,241.91,17700,241.91
2012-05-08,241.25,243.25,241.00,241.00,6400,241.00
2012-05-04,240.00,248.00,240.00,240.00,11400,240.00
2012-05-03,251.50,252.47,240.00,240.00,25200,240.00
2012-05-02,258.00,262.42,251.50,251.50,28400,251.50
2012-05-01,267.60,267.60,257.00,257.00,9600,257.00
2012-04-30,268.48,268.48,259.25,259.30,17100,259.30
2012-04-27,268.75,269.00,259.61,269.00,10000,269.00
2012-04-26,260.00,269.00,253.00,269.00,46200,269.00
2012-04-25,259.90,259.90,259.90,259.90,2600,259.90
2012-04-24,248.75,257.40,248.50,248.50,5700,248.50
2012-04-23,263.25,263.50,250.60,260.00,33600,260.00
2012-04-20,253.25,259.90,249.87,250.00,25500,250.00
2012-04-19,245.25,245.25,245.00,245.00,100,245.00
2012-04-18,250.00,250.00,250.00,250.00,2600,250.00
2012-04-17,245.50,250.00,245.50,250.00,800,250.00
2012-04-16,248.04,256.00,248.04,255.92,2700,255.92
2012-04-13,256.75,257.00,245.00,255.75,14600,255.75
2012-04-12,254.75,254.75,248.65,248.65,3300,248.65
2012-04-11,242.25,254.25,242.25,254.25,4200,254.25
2012-04-10,249.75,250.05,243.71,250.00,4300,250.00
2012-04-05,242.35,250.25,242.35,243.35,2000,243.35
2012-04-04,250.00,250.00,236.00,250.00,28600,250.00
2012-04-03,239.62,250.00,239.62,249.25,5500,249.25
2012-04-02,250.05,245.00,242.35,245.00,4100,245.00
2012-03-30,250.00,252.00,238.84,252.00,16100,252.00
2012-03-29,246.25,246.25,240.94,242.59,13100,242.59
2012-03-28,240.25,240.50,240.25,240.50,8200,240.50
2012-03-27,251.75,253.35,240.00,240.00,18100,240.00
2012-03-26,241.45,251.65,241.45,241.45,4800,241.45
2012-03-23,250.35,250.35,239.57,240.00,13800,240.00
2012-03-22,252.00,252.00,245.00,245.00,11900,245.00
2012-03-21,250.00,252.38,246.46,250.00,4700,250.00
2012-03-20,250.00,250.00,250.00,250.00,1300,250.00
2012-03-19,254.00,255.99,254.00,255.99,7400,255.99
2012-03-16,253.25,258.00,252.25,258.00,30800,258.00
2012-03-15,253.00,253.80,250.00,250.00,33300,250.00
2012-03-14,240.00,248.00,240.00,247.00,19900,247.00
2012-03-13,240.00,245.74,240.00,240.00,2300,240.00
2012-03-12,242.00,248.00,240.00,240.00,1900,240.00
2012-03-09,240.00,240.00,240.00,240.00,400,240.00
2012-03-08,249.00,249.00,246.75,246.75,9400,246.75
2012-03-07,243.25,243.25,240.75,240.75,2500,240.75
2012-03-06,240.00,258.00,240.00,240.00,000,240.00
2012-03-05,248.00,248.00,241.76,243.00,10500,243.00
2012-03-02,243.00,252.00,243.00,243.00,000,243.00
2012-03-01,246.50,248.25,243.15,243.15,3100,243.15
2012-02-29,249.75,252.25,245.00,246.50,16500,246.50
2012-02-28,249.50,249.50,246.50,246.50,3300,246.50
2012-02-27,246.83,246.83,246.60,246.60,1700,246.60
2012-02-24,246.82,253.00,246.82,253.00,7400,253.00
2012-02-23,247.50,247.50,246.80,246.80,14300,246.80
2012-02-22,257.75,257.75,256.50,256.50,8400,256.50
2012-02-21,247.25,247.25,247.25,247.25,1600,247.25
2012-02-20,253.00,253.50,253.00,253.50,12300,253.50
2012-02-17,253.00,253.00,243.45,246.83,21600,246.83
2012-02-16,247.60,252.00,247.60,248.22,7400,248.22
2012-02-15,246.25,256.37,246.25,247.00,7500,247.00
2012-02-14,247.25,257.75,246.00,246.00,7400,246.00
2012-02-13,252.00,257.48,247.25,256.00,25200,256.00
2012-02-10,253.25,257.50,252.50,253.50,24600,253.50
2012-02-09,245.00,248.25,239.52,248.25,23200,248.25
2012-02-08,239.75,243.00,232.40,243.00,22900,243.00
2012-02-07,232.25,243.42,232.25,235.25,3900,235.25
2012-02-06,236.10,236.10,227.25,227.25,17100,227.25
2012-02-03,232.57,233.00,232.57,233.00,3300,233.00
2012-02-02,236.10,236.25,228.45,236.25,19700,236.25
2012-02-01,236.10,236.10,228.45,228.45,3200,228.45
2012-01-31,223.25,235.00,223.25,225.00,10800,225.00
2012-01-30,221.40,227.05,221.40,225.00,313900,225.00
2012-01-27,220.49,225.97,220.49,225.97,1200,225.97
2012-01-26,220.00,220.00,216.50,220.00,3000,220.00
2012-01-25,211.40,211.40,211.40,211.40,2200,211.40
2012-01-24,207.00,222.00,207.00,207.00,000,207.00
2012-01-23,211.25,220.00,211.25,212.00,5700,212.00
2012-01-20,211.40,216.50,211.40,211.40,7900,211.40
2012-01-19,211.40,220.00,211.40,211.40,14200,211.40
2012-01-18,211.88,220.00,211.88,220.00,4400,220.00
2012-01-17,220.00,220.00,213.00,213.00,900,213.00
2012-01-16,212.00,219.00,212.00,219.00,5900,219.00
2012-01-13,212.00,212.00,212.00,212.00,3700,212.00
2012-01-12,213.50,213.50,213.50,213.50,2100,213.50
2012-01-11,214.50,214.75,213.50,214.75,8900,214.75
2012-01-10,225.88,225.88,219.50,225.88,200,225.88
2012-01-09,226.75,226.75,212.25,223.25,3700,223.25
2012-01-06,219.00,219.00,214.50,214.50,2100,214.50
2012-01-05,219.50,219.50,219.50,219.50,200,219.50
2012-01-04,225.50,225.50,214.28,222.50,67100,222.50
2012-01-03,212.00,227.00,212.00,212.00,000,212.00
2011-12-30,221.00,225.00,219.12,225.00,16400,225.00
2011-12-29,212.00,219.50,212.00,212.00,000,212.00
2011-12-28,212.00,219.50,212.00,212.00,000,212.00
2011-12-23,205.75,219.50,205.75,205.75,000,205.75
2011-12-22,212.00,221.00,212.00,212.00,000,212.00
2011-12-21,212.25,212.25,212.00,212.00,1500,212.00
2011-12-20,212.25,213.50,212.00,212.00,15300,212.00
2011-12-19,212.25,220.00,212.25,213.00,5300,213.00
2011-12-16,220.82,220.85,213.00,213.00,3300,213.00
2011-12-15,213.10,220.48,213.10,220.48,4900,220.48
2011-12-14,221.25,221.50,213.64,220.25,3355800,220.25
2011-12-13,214.50,214.00,214.00,214.00,5100,214.00
2011-12-12,213.87,214.50,213.87,214.50,10900,214.50
2011-12-09,225.00,225.00,215.25,215.25,1500,215.25
2011-12-08,214.43,216.00,214.43,216.00,2000,216.00
2011-12-07,226.46,226.64,215.00,215.00,14600,215.00
2011-12-06,227.57,227.57,220.00,220.00,5100,220.00
2011-12-05,212.75,223.09,212.75,213.50,20900,213.50
2011-12-02,212.65,212.92,212.15,212.15,7100,212.15
2011-12-01,210.00,210.25,202.00,210.25,33700,210.25
2011-11-30,201.78,212.85,201.78,212.15,7300,212.15
2011-11-29,202.75,212.75,202.75,206.00,27900,206.00
2011-11-28,189.15,189.27,189.15,189.27,5400,189.27
2011-11-25,200.59,200.59,200.59,200.59,500,200.59
2011-11-24,201.25,204.27,192.50,202.75,42200,202.75
2011-11-23,201.60,210.00,201.60,205.00,15700,205.00
2011-11-22,201.50,210.00,201.50,210.00,8900,210.00
2011-11-21,213.00,213.00,206.00,206.00,3400,206.00
2011-11-18,211.95,211.95,211.95,211.95,1800,211.95
2011-11-17,205.35,205.35,205.35,205.35,300,205.35
2011-11-16,211.00,211.00,211.00,211.00,40000,211.00
2011-11-15,207.32,212.00,207.32,212.00,2600,212.00
2011-11-14,204.00,219.00,204.00,204.00,000,204.00
2011-11-11,205.25,212.50,205.25,208.50,5300,208.50
2011-11-10,205.25,214.00,205.25,214.00,1800,214.00
