Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,625.00,625.00,625.00,625.00,000,625.00
2012-08-02,625.00,625.00,622.12,625.00,200,625.00
2012-08-01,625.00,625.00,613.00,613.15,3500,613.15
2012-07-31,625.00,625.00,608.50,625.00,2300,625.00
2012-07-27,614.00,616.00,601.00,601.00,8900,601.00
2012-07-26,625.00,630.00,625.00,630.00,2300,630.00
2012-07-25,627.50,627.50,618.50,618.50,200,618.50
2012-07-24,614.94,625.00,617.00,617.00,1700,617.00
2012-07-23,630.00,630.00,613.00,613.00,6100,613.00
2012-07-20,635.00,636.00,625.00,625.00,8100,625.00
2012-07-19,625.00,643.50,625.00,643.00,5700,643.00
2012-07-18,625.00,635.00,620.00,630.00,8400,630.00
2012-07-17,640.00,640.50,610.00,632.50,30300,632.50
2012-07-16,645.00,657.00,641.02,648.00,18600,648.00
2012-07-13,646.50,661.50,645.00,646.00,7500,646.00
2012-07-12,646.00,646.00,646.00,646.00,2700,646.00
2012-07-11,650.50,655.50,650.00,650.00,11500,650.00
2012-07-10,650.50,662.00,650.50,654.00,9100,654.00
2012-07-09,655.00,670.00,655.00,655.00,3100,655.00
2012-07-06,650.50,668.00,650.50,668.00,2200,668.00
2012-07-05,650.50,666.00,650.50,657.00,11700,657.00
2012-07-04,650.00,665.00,650.00,665.00,1600,665.00
2012-07-03,651.00,658.50,648.82,650.00,5700,650.00
2012-07-02,667.50,670.00,650.00,650.00,11700,650.00
2012-06-29,670.00,672.50,666.38,672.50,3300,672.50
2012-06-28,669.50,670.00,664.50,670.00,13600,670.00
2012-06-27,669.50,672.50,669.50,672.50,1200,672.50
2012-06-26,657.00,666.50,656.50,666.50,5900,666.50
2012-06-25,657.50,670.25,657.50,660.00,1300,660.00
2012-06-22,662.00,666.00,660.00,660.00,2000,660.00
2012-06-21,654.65,666.00,653.54,666.00,4100,666.00
2012-06-20,666.00,666.00,652.50,658.00,200,658.00
2012-06-19,664.50,675.00,664.50,666.00,9700,666.00
2012-06-18,655.00,669.50,645.00,654.50,23000,654.50
2012-06-15,650.00,669.40,627.50,669.00,57800,669.00
2012-06-14,646.50,650.00,631.50,650.00,3800,650.00
2012-06-13,644.50,650.00,625.50,646.50,14500,646.50
2012-06-12,635.00,640.00,625.50,629.00,26700,629.00
2012-06-11,635.00,647.28,632.00,632.00,25400,632.00
2012-06-08,640.00,649.50,640.00,643.00,19000,643.00
2012-06-07,648.00,656.62,642.00,645.50,47600,645.50
2012-06-06,640.50,645.00,635.00,635.00,33000,635.00
2012-06-01,646.00,646.50,638.00,646.50,6900,646.50
2012-05-31,640.50,648.50,637.50,645.00,18700,645.00
2012-05-30,642.00,642.00,642.00,642.00,5400,642.00
2012-05-29,643.00,643.00,637.00,640.00,12900,640.00
2012-05-28,635.50,657.15,635.50,636.00,8200,636.00
2012-05-25,638.50,654.66,638.50,644.00,17700,644.00
2012-05-24,640.50,647.50,640.50,647.00,5900,647.00
2012-05-23,635.00,650.50,635.00,642.00,19700,642.00
2012-05-22,652.00,653.00,640.15,652.00,5400,652.00
2012-05-21,651.00,651.50,640.33,643.50,25200,643.50
2012-05-18,640.00,651.50,640.00,645.00,8900,645.00
2012-05-17,650.00,652.00,637.50,652.00,197100,652.00
2012-05-16,636.00,648.50,636.00,637.00,17200,637.00
2012-05-14,635.50,645.78,630.00,636.00,10600,636.00
2012-05-11,635.00,651.50,632.60,639.50,34100,639.50
2012-05-10,645.50,647.00,638.50,638.50,2900,638.50
2012-05-09,636.00,639.50,636.00,636.00,39700,636.00
2012-05-08,635.00,641.30,635.00,635.00,12600,635.00
2012-05-04,636.00,644.68,631.00,640.00,35900,640.00
2012-05-03,639.50,643.32,630.40,640.00,35800,640.00
2012-05-02,655.00,655.94,623.00,623.00,30200,623.00
2012-05-01,660.00,664.00,653.00,659.99,9300,659.99
2012-04-30,662.00,670.00,660.00,670.00,35700,670.00
2012-04-27,655.50,668.00,655.50,665.00,6000,665.00
2012-04-26,664.50,670.00,661.50,665.00,56900,665.00
2012-04-25,667.50,667.50,663.00,665.00,6800,665.00
2012-04-24,657.50,668.00,645.00,668.00,23300,668.00
2012-04-23,648.00,659.00,640.00,649.00,52600,649.00
2012-04-20,655.50,656.50,647.00,647.00,11200,647.00
2012-04-19,656.00,672.83,656.00,656.00,12000,656.00
2012-04-18,660.00,672.52,656.00,659.66,8700,659.66
2012-04-17,665.50,680.00,665.50,668.50,4400,668.50
2012-04-16,660.00,679.35,660.00,669.80,1854100,669.80
2012-04-13,684.50,685.00,673.79,673.79,1200,673.79
2012-04-12,671.50,671.50,671.50,671.50,000,671.50
2012-04-11,669.53,669.53,665.00,666.00,708900,666.00
2012-04-10,681.50,693.81,670.00,676.37,45100,676.37
2012-04-05,683.00,688.25,682.50,683.78,25800,683.78
2012-04-04,680.00,690.00,680.00,685.00,19700,685.00
2012-04-03,683.00,691.41,681.50,681.50,3900,681.50
2012-04-02,677.50,700.00,667.00,688.00,34800,688.00
2012-03-30,655.00,680.00,653.31,653.31,49300,653.31
2012-03-29,640.00,659.50,640.00,648.50,14600,648.50
2012-03-28,648.50,648.50,638.00,645.00,20500,645.00
2012-03-27,650.00,650.00,640.00,640.00,4200,640.00
2012-03-26,644.75,650.00,643.00,643.96,150200,643.96
2012-03-23,652.50,652.50,642.00,643.40,9000,643.40
2012-03-22,652.50,652.50,642.00,650.00,5200,650.00
2012-03-21,644.25,652.00,640.00,652.00,4000,652.00
2012-03-20,647.50,650.00,635.00,650.00,16900,650.00
2012-03-19,640.00,653.29,640.00,640.96,28800,640.96
2012-03-16,642.50,654.50,641.00,641.96,32400,641.96
2012-03-15,654.50,654.50,642.38,643.00,3800,643.00
2012-03-14,642.00,659.85,640.64,655.00,9800,655.00
2012-03-13,632.50,654.50,624.75,645.53,32400,645.53
2012-03-12,625.00,634.14,624.00,624.00,7700,624.00
2012-03-09,618.28,620.96,616.00,620.93,23600,620.93
2012-03-08,610.50,634.50,610.50,633.00,11600,633.00
2012-03-07,610.50,629.00,610.00,610.00,2500,610.00
2012-03-06,615.00,629.50,615.00,629.00,4400,629.00
2012-03-05,620.00,629.50,617.17,620.00,7700,620.00
