Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,100.92,102.88,100.92,102.88,10200,102.88
2012-08-02,100.92,102.88,100.92,102.88,10200,102.88
2012-08-01,99.00,100.00,96.15,97.00,862800,97.00
2012-07-31,88.00,97.00,88.00,97.00,31100,97.00
2012-07-27,90.75,95.00,90.12,95.00,6300,95.00
2012-07-26,88.00,96.00,88.00,88.00,000,88.00
2012-07-25,95.00,95.00,91.25,91.25,8800,91.25
2012-07-24,88.00,88.00,88.00,88.00,200,88.00
2012-07-23,89.00,91.00,89.00,91.00,1300,91.00
2012-07-20,88.00,95.00,88.00,89.00,533700,89.00
2012-07-19,93.00,95.00,88.50,91.00,13600,91.00
2012-07-18,82.00,89.00,82.00,87.50,76400,87.50
2012-07-17,82.50,87.40,82.00,82.00,67900,82.00
2012-07-16,82.50,87.72,82.50,82.50,36200,82.50
2012-07-13,82.50,88.00,82.50,85.00,15700,85.00
2012-07-12,82.50,87.45,82.50,82.50,2900,82.50
2012-07-11,83.00,87.45,82.50,82.50,9600,82.50
2012-07-10,83.00,86.00,83.00,83.00,1200,83.00
2012-07-09,83.00,86.00,83.00,83.00,4800,83.00
2012-07-06,82.50,86.65,82.50,83.00,28800,83.00
2012-07-05,84.00,87.50,82.50,82.50,98900,82.50
2012-07-04,82.50,87.99,82.50,84.00,48600,84.00
2012-07-03,83.00,86.00,83.00,84.00,11600,84.00
2012-07-02,83.00,88.25,83.00,83.00,23000,83.00
2012-06-29,88.25,88.25,88.25,88.25,3800,88.25
2012-06-28,83.38,83.38,83.00,83.00,900,83.00
2012-06-27,83.00,83.00,83.00,83.00,100,83.00
2012-06-26,79.00,93.50,79.00,79.00,000,79.00
2012-06-25,81.00,91.50,81.00,81.00,000,81.00
2012-06-22,84.50,88.00,84.00,84.00,17200,84.00
2012-06-21,85.00,88.00,84.50,84.50,111100,84.50
2012-06-20,89.75,89.75,85.00,85.75,526600,85.75
2012-06-19,87.00,90.00,87.00,87.00,000,87.00
2012-06-18,90.50,90.75,85.00,86.25,24900,86.25
2012-06-15,92.00,92.75,85.00,90.00,81300,90.00
2012-06-14,90.00,91.00,86.00,88.50,30100,88.50
2012-06-13,92.00,93.50,90.00,91.98,36500,91.98
2012-06-12,90.00,90.00,86.00,86.75,80000,86.75
2012-06-11,86.00,90.00,86.00,86.50,27000,86.50
2012-06-08,86.00,86.00,86.00,86.00,300,86.00
2012-06-07,91.25,91.25,86.00,87.25,33600,87.25
2012-06-06,90.00,90.75,90.00,90.75,7400,90.75
2012-06-01,90.50,93.50,90.50,93.50,14600,93.50
2012-05-31,94.50,94.50,92.50,94.50,14700,94.50
2012-05-30,92.50,95.19,92.50,93.00,13200,93.00
2012-05-29,92.50,95.50,92.50,92.50,31900,92.50
2012-05-28,92.50,96.90,92.50,92.50,8200,92.50
2012-05-25,92.50,96.50,92.50,92.50,13800,92.50
2012-05-24,92.50,96.00,92.50,92.50,17600,92.50
2012-05-23,92.50,93.25,92.50,93.25,26800,93.25
2012-05-22,93.00,93.00,93.00,93.00,79100,93.00
2012-05-21,93.00,96.25,93.00,93.00,34700,93.00
2012-05-18,95.00,97.50,92.75,94.00,72500,94.00
2012-05-17,93.75,97.50,93.00,93.00,12300,93.00
2012-05-16,98.00,98.75,94.00,98.00,19900,98.00
2012-05-14,97.00,99.24,96.00,97.00,210200,97.00
2012-05-11,93.00,97.00,93.00,97.00,7200,97.00
2012-05-10,93.50,96.90,93.50,95.00,4000,95.00
2012-05-09,93.75,95.00,93.75,95.00,3800,95.00
2012-05-08,96.00,96.79,95.00,95.00,35600,95.00
2012-05-04,96.00,98.04,96.00,96.25,5700,96.25
2012-05-03,96.00,99.78,96.00,97.00,14100,97.00
2012-05-02,99.50,102.00,96.00,98.00,46800,98.00
2012-05-01,97.90,101.67,97.00,97.00,22000,97.00
2012-04-30,95.00,96.00,91.30,96.00,45500,96.00
2012-04-27,92.50,94.00,90.00,92.00,7097200,92.00
2012-04-26,93.75,95.00,91.25,91.75,29500,91.75
2012-04-25,90.00,94.61,88.25,88.25,4018900,88.25
2012-04-24,87.50,89.75,87.50,89.75,1100,89.75
2012-04-23,95.00,95.00,89.45,95.00,1900,95.00
2012-04-20,94.63,95.11,94.63,94.63,53500,94.63
2012-04-19,91.11,91.25,91.11,91.11,10500,91.11
2012-04-18,88.75,94.38,88.00,88.00,29800,88.00
2012-04-17,93.50,95.10,90.25,92.50,16900,92.50
2012-04-16,96.85,96.85,95.25,96.75,16100,96.75
2012-04-13,97.54,97.54,97.54,97.54,4900,97.54
2012-04-12,95.00,98.49,93.50,95.00,1168400,95.00
2012-04-11,100.00,100.00,100.00,100.00,900,100.00
2012-04-10,96.50,98.50,96.25,96.25,85200,96.25
2012-04-05,99.50,99.50,99.50,99.50,400,99.50
2012-04-04,99.90,99.90,96.80,97.75,8400,97.75
2012-04-03,97.00,97.51,95.90,97.25,75400,97.25
2012-04-02,95.50,99.57,95.50,96.00,15400,96.00
2012-03-30,96.00,98.25,96.00,98.25,125600,98.25
2012-03-29,96.00,96.20,94.85,94.85,23300,94.85
2012-03-28,94.00,99.50,94.00,94.00,000,94.00
2012-03-27,97.00,97.25,97.00,97.25,3000,97.25
2012-03-26,99.50,98.00,97.01,98.00,11100,98.00
2012-03-23,98.50,100.00,98.26,100.00,109000,100.00
2012-03-22,100.00,100.00,98.00,100.00,401500,100.00
2012-03-21,96.25,100.21,96.25,99.75,82400,99.75
2012-03-20,101.00,101.00,98.60,101.00,35800,101.00
2012-03-19,96.00,98.50,96.00,98.50,5000,98.50
2012-03-16,96.00,100.00,96.00,96.75,7800,96.75
2012-03-15,98.00,100.55,96.00,98.75,10900,98.75
2012-03-14,97.50,98.50,97.50,98.50,9200,98.50
2012-03-13,102.00,102.00,100.00,101.25,849700,101.25
2012-03-12,96.25,102.00,96.25,97.25,21900,97.25
2012-03-09,99.49,100.51,97.75,97.75,3200,97.75
2012-03-08,102.00,102.00,97.50,99.00,562800,99.00
2012-03-07,98.45,102.32,97.00,97.00,33800,97.00
2012-03-06,101.00,103.00,100.00,100.00,868300,100.00
2012-03-05,108.00,108.00,103.76,107.90,14300,107.90
2012-03-02,98.00,108.00,96.00,106.00,142600,106.00
2012-03-01,95.00,95.55,93.30,95.00,34900,95.00
2012-02-29,91.80,94.70,90.00,90.00,3581200,90.00
2012-02-28,83.58,92.43,83.18,88.50,214100,88.50
2012-02-27,85.00,87.40,85.00,86.00,226900,86.00
2012-02-24,87.00,87.00,85.10,86.75,11800,86.75
2012-02-23,85.30,86.00,85.30,86.00,6500,86.00
2012-02-22,86.80,86.80,86.15,86.15,12900,86.15
2012-02-21,83.00,86.50,83.00,85.30,28900,85.30
2012-02-20,86.00,86.00,82.50,83.50,343900,83.50
2012-02-17,87.10,88.26,80.00,86.25,88900,86.25
2012-02-16,82.75,82.75,81.50,81.87,199300,81.87
2012-02-15,83.25,84.75,82.50,84.75,1184300,84.75
2012-02-14,85.60,85.60,82.75,82.75,8600,82.75
2012-02-13,84.80,84.80,82.90,82.90,211300,82.90
2012-02-10,85.00,85.00,82.50,83.00,11700,83.00
