Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,42.50,45.37,42.31,44.25,51400,44.25
2012-08-02,42.50,45.37,42.31,44.25,180600,44.25
2012-08-01,41.25,42.50,41.25,42.00,625000,42.00
2012-07-31,40.25,41.29,39.50,40.00,82700,40.00
2012-07-27,41.00,41.80,40.50,40.75,186300,40.75
2012-07-26,40.25,41.50,40.22,41.50,235700,41.50
2012-07-25,39.50,40.50,38.33,38.50,413800,38.50
2012-07-24,40.00,40.60,38.50,38.50,49000,38.50
2012-07-23,40.25,40.50,38.75,40.00,243100,40.00
2012-07-20,36.25,40.48,36.25,39.25,232900,39.25
2012-07-19,34.50,37.04,34.39,36.25,146800,36.25
2012-07-18,32.00,34.00,31.43,34.00,294700,34.00
2012-07-17,33.50,35.53,31.00,31.00,198800,31.00
2012-07-16,34.75,35.75,33.75,33.75,206600,33.75
2012-07-13,33.00,35.00,33.00,34.25,138200,34.25
2012-07-12,33.00,33.00,33.00,33.00,86400,33.00
2012-07-11,36.00,36.59,35.25,35.25,106400,35.25
2012-07-10,37.00,38.84,36.00,36.00,135400,36.00
2012-07-09,38.00,39.00,36.75,36.75,43200,36.75
2012-07-06,39.25,40.58,38.00,38.00,51400,38.00
2012-07-05,39.00,40.24,39.00,39.00,21400,39.00
2012-07-04,39.25,40.56,39.00,39.00,27400,39.00
2012-07-03,40.00,40.00,39.00,39.00,76700,39.00
2012-07-02,41.50,43.25,39.00,39.00,104500,39.00
2012-06-29,41.50,42.00,41.25,41.25,71100,41.25
2012-06-28,42.00,42.42,41.00,41.00,22700,41.00
2012-06-27,42.00,43.34,41.25,41.25,165100,41.25
2012-06-26,42.00,43.47,41.50,41.50,77300,41.50
2012-06-25,42.50,42.50,41.50,41.50,71300,41.50
2012-06-22,43.00,43.40,42.66,43.00,21700,43.00
2012-06-21,44.00,44.00,42.50,42.50,90900,42.50
2012-06-20,44.50,44.50,43.00,43.50,244200,43.50
2012-06-19,43.50,45.00,43.30,45.00,130700,45.00
2012-06-18,44.50,44.89,43.05,44.00,84000,44.00
