Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,473.60,473.60,468.70,470.00,21100,472.20
2012-08-01,471.50,473.16,466.71,472.20,63100,472.20
2012-07-31,469.30,473.00,469.00,469.00,76000,469.00
2012-07-30,465.40,472.90,465.40,472.90,48400,472.90
2012-07-27,463.90,469.90,461.00,469.90,68500,469.90
2012-07-26,455.20,462.90,453.10,460.00,85400,460.00
2012-07-25,458.70,459.30,452.84,454.90,101800,454.90
2012-07-24,456.50,459.92,455.00,455.00,87900,455.00
2012-07-23,458.20,460.00,455.80,456.00,81300,456.00
2012-07-20,468.30,468.30,462.61,465.00,64000,465.00
2012-07-19,464.80,469.00,464.80,469.00,76300,469.00
2012-07-18,461.60,466.00,461.50,466.00,69100,466.00
2012-07-17,463.50,465.14,460.77,463.10,99200,463.10
2012-07-16,462.70,465.00,459.79,463.50,87800,463.50
2012-07-13,460.50,464.00,458.58,464.00,116900,464.00
2012-07-12,461.00,461.00,455.48,461.00,109600,461.00
2012-07-11,461.50,463.40,459.10,463.40,90400,463.40
2012-07-10,459.50,466.90,459.50,465.30,114600,465.30
2012-07-09,463.70,464.00,459.50,462.20,128300,462.20
2012-07-06,465.30,465.30,459.50,464.00,58300,464.00
2012-07-05,462.90,467.50,461.00,463.70,100900,463.70
2012-07-04,463.30,468.00,459.51,468.00,58400,468.00
2012-07-03,456.20,468.90,456.20,468.90,83500,468.90
2012-07-02,454.50,459.40,450.70,459.20,77500,459.20
2012-06-29,447.80,455.00,445.00,454.90,122900,454.90
2012-06-28,447.10,447.20,442.00,444.70,162800,444.70
2012-06-27,441.30,448.52,440.70,446.90,108200,446.90
2012-06-26,438.00,441.50,438.00,440.70,151800,440.70
2012-06-25,439.80,443.00,438.00,439.50,116100,439.50
2012-06-22,444.10,446.70,440.08,446.70,113200,446.70
2012-06-21,447.80,448.50,445.25,447.80,92800,447.80
2012-06-20,448.00,452.00,445.10,452.00,125100,452.00
2012-06-19,441.50,451.00,441.00,451.00,101300,451.00
2012-06-18,441.90,445.10,438.00,440.50,92000,440.50
2012-06-15,439.30,444.00,436.29,436.40,370200,436.40
2012-06-14,441.30,442.10,435.71,438.40,63500,438.40
2012-06-13,437.50,441.00,435.50,438.80,83200,438.80
2012-06-12,439.50,440.50,433.70,433.70,146700,433.70
2012-06-11,443.90,447.48,438.00,438.00,152800,438.00
2012-06-08,440.00,442.50,436.00,441.70,99800,441.70
2012-06-07,437.00,443.00,435.50,442.20,167300,442.20
2012-06-06,430.14,437.50,429.33,437.50,140500,437.50
2012-06-01,433.00,434.44,425.60,429.50,145500,429.50
2012-05-31,437.70,437.70,431.20,431.50,86100,431.50
2012-05-30,436.00,436.90,432.00,434.50,95600,434.50
2012-05-29,439.00,439.00,434.46,437.70,57300,437.70
2012-05-28,441.00,441.00,433.40,435.80,98000,435.80
2012-05-25,438.50,440.77,435.00,437.50,144600,437.50
2012-05-24,438.90,438.90,433.20,437.70,117800,437.70
2012-05-23,439.30,440.97,433.00,434.00,95800,434.00
2012-05-22,438.90,442.30,437.40,440.10,218200,440.10
2012-05-21,440.10,442.18,437.00,438.80,149000,438.80
2012-05-14,453.20,455.50,450.00,455.00,132600,455.00
2012-05-11,453.70,461.60,453.70,461.50,134900,461.50
2012-05-10,456.80,459.50,454.00,458.50,120800,458.50
2012-05-09,459.50,460.80,454.00,455.20,148400,455.20
2012-05-08,469.30,472.00,458.90,458.90,118200,458.90
2012-05-04,476.30,478.50,467.40,470.40,68300,470.40
2012-05-03,481.60,482.00,474.20,477.40,51800,477.40
2012-05-02,477.00,479.80,475.00,476.20,130100,476.20
2012-05-01,473.90,480.40,471.20,480.00,142500,480.00
2012-04-30,473.90,480.09,472.00,475.50,84600,475.50
2012-04-27,471.60,479.00,471.60,479.00,96300,479.00
2012-04-26,474.80,478.50,470.85,474.70,122900,474.70
2012-04-25,475.50,479.00,471.90,479.00,146000,479.00
2012-04-24,468.10,473.80,468.10,473.80,93200,473.80
2012-04-23,476.50,476.50,467.60,472.00,143700,472.00
2012-04-20,477.00,480.70,475.91,480.70,96300,480.70
2012-04-19,478.00,481.40,476.50,477.30,59900,477.30
2012-04-18,482.90,482.90,476.70,482.00,86800,482.00
2012-04-17,475.90,484.10,475.42,484.10,144600,484.10
2012-04-16,479.00,480.40,475.80,475.80,141700,475.80
2012-04-13,482.50,482.50,476.00,476.90,94200,476.90
2012-04-12,478.50,481.25,472.20,480.50,103700,480.50
2012-04-11,475.70,479.30,472.70,479.30,77200,479.30
2012-04-10,486.50,486.50,474.80,474.80,173600,474.80
2012-04-05,491.40,491.41,486.00,489.50,130300,489.50
2012-04-04,496.50,496.50,487.21,488.80,165200,488.80
2012-04-03,496.00,498.50,494.90,498.50,148500,498.50
2012-04-02,492.40,496.50,488.80,496.50,130900,496.50
2012-03-30,493.90,495.90,490.10,490.50,193600,490.50
2012-03-29,496.90,497.00,491.30,491.30,113500,491.30
2012-03-28,498.50,500.50,495.19,496.40,67600,496.40
2012-03-27,502.50,503.78,497.00,499.75,98500,499.75
2012-03-26,495.60,499.80,494.00,498.50,74500,498.50
2012-03-23,493.70,497.60,490.00,493.70,86500,493.70
2012-03-22,496.80,500.44,492.70,498.00,88500,498.00
2012-03-21,497.50,500.89,495.50,498.40,97800,498.40
2012-03-20,503.00,503.00,497.00,497.50,135800,497.50
2012-03-19,502.50,505.50,497.40,505.50,186200,505.50
2012-03-16,498.70,503.00,497.70,503.00,362700,503.00
2012-03-15,504.50,504.50,498.10,502.00,193300,502.00
2012-03-14,498.00,504.50,498.00,502.00,219600,502.00
2012-03-13,495.00,498.00,491.60,498.00,161900,498.00
2012-03-12,488.70,493.50,488.70,491.70,75700,491.70
2012-03-09,490.00,493.00,486.52,492.60,65300,492.60
2012-03-08,488.30,488.70,484.00,487.60,129900,487.60
2012-03-07,480.00,485.30,480.00,482.60,75200,482.60
2012-03-06,488.30,488.30,480.00,487.00,142400,487.00
2012-03-05,488.50,491.00,484.00,489.40,50000,489.40
2012-03-02,489.00,492.80,489.00,490.50,62000,490.50
2012-03-01,488.80,490.00,485.51,488.20,78000,488.20
2012-02-29,491.70,492.00,485.60,485.60,134000,485.60
2012-02-28,496.70,497.90,491.60,497.30,162500,497.30
2012-02-27,492.90,496.70,490.11,493.40,62500,493.40
2012-02-24,493.00,500.00,492.20,496.60,259200,496.60
2012-02-23,492.50,495.30,490.40,495.30,92800,495.30
2012-02-22,491.00,493.60,489.27,493.60,85100,493.60
2012-02-21,485.60,491.00,484.86,491.00,100100,491.00
2012-02-20,486.30,492.30,486.00,492.30,101600,492.30
2012-02-17,486.60,490.00,483.80,489.00,64000,489.00
2012-02-16,484.00,484.00,480.00,482.80,64200,482.80
2012-02-15,488.40,489.90,484.97,485.00,138100,485.00
2012-02-14,490.00,490.00,484.50,486.50,72900,486.50
2012-02-13,489.00,489.00,481.40,488.90,89700,488.90
2012-02-10,481.20,484.90,479.00,482.60,102400,482.60
2012-02-09,484.30,488.00,484.30,484.30,73900,484.30
2012-02-08,486.40,486.40,483.50,484.70,54500,484.70
2012-02-07,482.00,484.84,481.00,484.00,106700,484.00
2012-02-06,479.00,483.90,479.00,483.60,51600,483.60
2012-02-03,474.00,483.10,473.00,483.10,164000,483.10
2012-02-02,472.90,474.00,469.50,474.00,94900,474.00
2012-02-01,466.30,473.00,464.00,472.00,173900,472.00
2012-01-31,463.90,467.90,462.20,462.20,127700,462.20
2012-01-30,469.90,469.90,461.00,465.30,125000,465.30
2012-01-27,467.00,472.40,466.10,467.00,115400,467.00
2012-01-26,467.80,474.50,466.60,473.00,79700,473.00
2012-01-25,471.00,471.20,465.10,467.20,103500,467.20
2012-01-24,472.90,472.90,464.40,469.60,191900,469.60
2012-01-23,470.40,472.27,467.80,470.00,124900,470.00
2012-01-20,470.20,471.60,465.00,468.00,81800,468.00
2012-01-19,466.00,471.50,463.20,465.10,127900,465.10
2012-01-18,462.00,466.20,458.00,464.40,149200,464.40
2012-01-17,464.90,470.90,457.21,462.00,63100,462.00
2012-01-16,454.00,459.60,452.40,459.60,61800,459.60
2012-01-13,455.40,458.75,454.50,454.80,64400,454.80
2012-01-12,453.10,456.00,451.00,454.30,84600,454.30
2012-01-11,457.00,457.00,451.91,453.60,60700,453.60
2012-01-09,451.00,454.79,448.30,448.30,60500,448.30
2012-01-06,448.50,455.00,448.50,450.90,48700,450.90
2012-01-05,453.80,455.30,448.22,448.60,107600,448.60
2012-01-04,459.50,463.90,452.31,453.80,56300,453.80
2012-01-03,453.40,461.90,449.61,459.90,89200,459.90
2011-12-30,446.40,450.00,444.91,450.00,75700,450.00
2011-12-29,445.30,448.20,443.60,448.20,25100,448.20
2011-12-28,435.90,445.90,435.90,445.90,55200,445.90
2011-12-23,438.50,440.00,433.00,440.00,41600,440.00
2011-12-22,434.50,434.50,429.10,434.10,54900,434.10
2011-12-21,428.60,432.90,427.75,430.00,291600,430.00
2011-12-20,424.70,429.20,423.50,427.80,56600,427.80
2011-12-19,423.20,430.64,423.20,428.50,107700,428.50
2011-12-16,427.90,434.39,423.11,432.00,294500,432.00
2011-12-15,428.00,432.00,423.31,432.00,142800,432.00
2011-12-14,431.60,435.00,422.00,428.00,82700,428.00
2011-12-13,436.50,437.30,431.31,433.60,77400,433.60
2011-12-12,441.30,441.30,431.00,431.00,58900,431.00
2011-12-09,438.00,441.80,435.00,441.80,102600,441.80
2011-12-08,448.00,448.00,437.00,439.00,159400,439.00
2011-12-07,455.90,455.90,445.60,448.00,48500,448.00
2011-12-06,452.90,452.90,445.00,450.20,68100,450.20
2011-12-05,447.60,453.28,447.60,452.30,159900,452.30
2011-12-02,450.00,453.00,447.50,450.00,61300,450.00
2011-12-01,444.80,445.90,441.50,445.00,138200,445.00
2011-11-30,426.80,442.60,426.80,442.60,108500,442.60
2011-11-28,424.20,429.50,416.40,429.50,93300,429.50
2011-11-25,414.20,418.20,409.20,418.00,88100,418.00
2011-11-24,414.80,418.70,412.00,412.20,119100,412.20
2011-11-23,419.90,421.50,412.70,417.00,78800,417.00
2011-11-22,420.10,423.00,417.90,420.30,176300,420.30
2011-11-21,428.10,428.10,418.50,421.40,80300,421.40
2011-11-18,430.70,435.00,429.41,430.50,73700,430.50
2011-11-17,446.50,446.50,435.50,437.00,183600,437.00
2011-11-16,443.90,449.50,442.50,444.90,73100,444.90
2011-11-15,442.10,443.30,440.30,443.10,154200,443.10
2011-11-14,449.00,449.00,440.70,449.00,112500,449.00
2011-11-11,439.50,447.00,439.50,447.00,63900,447.00
2011-11-10,438.60,446.00,436.80,439.00,74700,439.00
2011-11-09,455.00,455.00,440.00,443.10,122000,443.10
2011-11-08,444.70,455.00,444.70,451.80,117900,451.80
2011-11-07,449.10,449.10,443.80,446.00,176600,446.00
