Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,235.00,238.00,230.00,237.80,16800,279.16
2011-06-13,279.80,280.00,276.50,279.16,448600,279.16
2011-06-10,272.75,285.00,272.75,279.16,539200,279.16
2011-06-09,260.00,273.00,259.00,273.00,236100,273.00
2011-06-08,255.00,261.50,255.00,260.00,102400,260.00
2011-06-07,258.30,260.00,259.00,260.00,19800,260.00
2011-06-06,255.00,256.50,250.33,256.50,41100,256.50
2011-06-03,249.00,249.75,249.00,249.00,19700,249.00
2011-06-02,249.00,249.00,249.00,249.00,000,249.00
2011-06-01,250.45,250.45,246.60,246.60,4700,246.60
2011-05-31,247.75,251.50,247.75,251.50,2200,251.50
2011-05-27,250.60,250.60,247.60,250.00,26300,250.00
2011-05-26,248.95,248.95,247.00,247.00,25000,247.00
2011-05-25,253.00,253.00,248.95,249.00,42500,249.00
2011-05-24,250.38,254.00,250.05,250.40,102100,250.40
2011-05-23,249.01,253.00,249.01,250.50,11500,250.50
2011-05-20,251.50,254.00,249.00,250.00,287900,250.00
2011-05-19,241.00,250.00,243.50,248.25,443000,248.25
2011-05-18,235.00,238.00,235.00,235.00,176600,235.00
2011-05-17,230.00,232.40,230.00,230.00,62900,230.00
2011-05-16,235.25,235.25,230.00,230.00,11900,230.00
2011-05-13,235.00,235.00,231.12,231.12,80200,231.12
2011-05-12,230.70,234.00,230.70,234.00,23000,234.00
2011-05-11,234.00,234.00,230.00,233.75,11300,233.75
2011-05-10,232.75,232.75,226.00,226.90,18200,226.90
2011-05-09,235.00,235.00,227.00,227.00,16300,227.00
2011-05-06,238.00,238.00,238.00,238.00,7000,238.00
2011-05-05,235.08,240.44,235.00,235.00,230100,235.00
2011-05-04,240.50,240.50,235.00,235.00,45000,235.00
2011-05-03,241.00,245.88,241.00,241.75,163300,241.75
2011-04-28,234.20,241.00,235.00,241.00,383000,241.00
2011-04-27,219.50,235.00,219.50,230.00,387700,230.00
2011-04-26,222.00,223.89,217.50,223.89,69500,223.89
2011-04-21,220.00,220.25,220.00,220.25,36800,220.25
2011-04-20,218.92,218.92,216.00,217.41,9200,217.41
2011-04-19,220.00,220.00,217.00,217.00,386600,217.00
2011-04-18,220.00,225.00,218.62,220.00,49000,220.00
2011-04-15,226.00,226.00,220.00,220.00,48600,220.00
2011-04-14,222.00,222.00,222.00,222.00,7900,222.00
2011-04-13,227.40,227.40,222.60,222.60,248500,222.60
2011-04-12,225.00,225.00,225.00,225.00,000,225.00
2011-04-11,229.00,229.00,229.00,229.00,3700,229.00
2011-04-08,229.00,230.00,220.50,230.00,341900,230.00
2011-04-07,228.00,229.00,218.99,218.99,15900,218.99
2011-04-06,227.50,227.50,227.50,227.50,19900,227.50
2011-04-05,220.00,221.45,220.00,221.45,112100,221.45
2011-04-04,226.50,235.00,225.00,226.50,22800,226.50
2011-04-01,226.50,234.00,226.50,228.00,35500,228.00
2011-03-31,234.50,234.50,227.64,234.00,126600,234.00
2011-03-30,232.00,232.00,230.70,230.70,1349000,230.70
2011-03-29,239.30,239.30,235.00,237.14,83400,237.14
2011-03-28,240.80,246.43,240.80,246.43,7100,246.43
2011-03-25,239.75,248.00,239.75,246.43,543400,246.43
2011-03-24,240.00,240.00,233.35,236.75,361000,236.75
2011-03-23,235.00,240.00,232.60,239.65,39100,239.65
