Date,Open,High,Low,Close,Volume,Adj Close
2012-08-03,102.50,102.50,102.50,102.50,000,102.00
2012-08-02,100.00,103.50,99.75,102.00,2406100,102.00
2012-08-01,99.00,103.69,99.00,100.00,2594700,100.00
2012-07-31,97.00,100.00,96.00,97.00,325500,97.00
2012-07-27,97.00,97.50,96.50,97.00,141700,97.00
2012-07-26,96.25,97.50,96.00,97.50,557900,97.50
2012-07-25,95.50,97.25,95.50,97.00,70600,97.00
2012-07-24,96.75,97.50,95.75,96.50,113300,96.50
2012-07-23,97.00,97.00,94.00,97.00,76700,97.00
2012-07-20,97.00,97.50,95.75,95.75,70900,95.75
2012-07-19,98.75,98.75,95.50,97.50,150000,97.50
2012-07-18,96.00,97.25,96.00,97.25,19300,97.25
2012-07-17,98.25,99.50,95.25,97.00,216900,97.00
2012-07-16,97.50,98.00,97.00,97.75,145900,97.75
2012-07-13,98.00,99.25,97.50,97.50,132500,97.50
2012-07-12,98.00,98.25,98.00,98.00,89200,98.00
2012-07-11,98.00,99.50,97.75,98.00,150300,98.00
2012-07-10,99.25,99.75,97.00,98.50,164800,98.50
2012-07-09,100.00,100.00,98.25,98.50,110800,98.50
2012-07-06,100.50,100.75,98.75,99.25,69300,99.25
2012-07-05,99.75,100.75,99.25,99.25,109500,99.25
2012-07-04,101.50,101.50,98.00,100.00,391500,100.00
2012-07-03,101.00,101.50,100.00,101.50,523000,101.50
2012-07-02,101.00,101.75,100.50,100.50,707600,100.50
2012-06-29,102.75,102.75,100.25,101.00,1661600,101.00
2012-06-28,101.25,102.00,99.75,101.00,278500,101.00
2012-06-27,101.75,101.75,99.75,100.50,342100,100.50
2012-06-26,100.00,102.00,100.00,100.75,172000,100.75
2012-06-25,101.75,102.50,100.00,100.25,119600,100.25
2012-06-22,103.00,103.00,100.75,100.75,82400,100.75
2012-06-21,102.25,103.00,101.50,101.50,29100,101.50
2012-06-20,103.00,103.50,101.25,102.00,85700,102.00
2012-06-19,103.50,103.50,101.75,103.50,74300,103.50
2012-06-18,103.50,104.75,101.75,103.50,272600,103.50
2012-06-15,101.75,104.75,101.00,103.25,588300,103.25
2012-06-14,100.00,101.00,99.75,101.00,369600,101.00
2012-06-13,100.25,100.50,98.50,100.00,495500,100.00
2012-06-12,98.25,100.25,98.25,100.00,419300,100.00
2012-06-11,102.00,102.00,98.25,98.25,928000,98.25
2012-06-08,101.75,102.00,99.75,100.50,493000,100.50
2012-06-07,102.00,102.00,100.50,101.50,411400,101.50
2012-06-06,100.00,102.50,99.25,102.25,573100,102.25
2012-06-01,98.25,99.50,98.25,99.25,347200,99.25
2012-05-31,97.50,98.75,97.50,98.75,873700,98.75
2012-05-30,99.00,99.25,97.15,97.50,804800,97.50
2012-05-29,98.50,99.50,97.50,98.75,1220600,98.75
2012-05-28,101.00,102.50,98.00,98.00,46255000,98.00
2012-05-25,102.00,102.25,100.50,102.25,2080100,102.25
2012-05-24,103.00,103.00,102.00,102.01,2026100,102.01
2012-05-23,103.00,104.75,102.54,102.75,1078400,102.75
2012-05-22,103.00,105.00,102.00,104.00,98800,104.00
2012-05-21,102.75,105.00,101.50,104.75,1074500,104.75
2012-05-18,103.75,104.75,102.00,102.75,963100,102.75
2012-05-17,105.00,105.00,103.00,103.50,332100,103.50
2012-05-16,102.75,104.25,102.00,103.25,408000,103.25
2012-05-14,105.50,105.75,101.75,105.75,221800,105.75
2012-05-11,106.00,106.00,103.50,106.00,110500,106.00
2012-05-10,104.25,106.00,101.00,105.50,532400,105.50
2012-05-09,106.50,107.00,99.00,103.50,967000,103.50
2012-05-08,105.00,107.75,104.16,106.00,361400,106.00
2012-05-04,101.25,106.00,101.25,104.75,258500,104.75
2012-05-03,102.00,104.00,101.50,104.00,218800,104.00
2012-05-02,102.00,102.50,99.25,102.50,235200,102.50
2012-05-01,99.75,101.75,99.25,101.50,467500,101.50
2012-04-30,99.00,101.00,97.94,101.00,492600,101.00
2012-04-27,98.00,102.00,97.86,101.25,220000,101.25
2012-04-26,98.50,99.75,98.50,99.00,64100,99.00
2012-04-25,99.25,99.25,97.20,98.50,67700,98.50
2012-04-24,99.00,99.75,97.75,99.50,68600,99.50
2012-04-23,98.00,99.00,97.25,98.50,74600,98.50
2012-04-20,99.00,99.50,97.25,98.75,645300,98.75
2012-04-19,98.50,99.00,95.75,98.75,2954400,98.75
2012-04-18,99.00,99.00,97.25,98.00,78500,98.00
2012-04-17,97.00,99.00,96.75,98.50,635500,98.50
2012-04-16,97.50,98.00,94.75,96.50,121100,96.50
2012-04-13,97.50,98.75,95.50,96.25,84200,96.25
2012-04-12,95.75,98.75,94.97,97.50,81000,97.50
2012-04-11,95.25,95.25,93.75,95.25,1777900,95.25
2012-04-10,96.25,98.00,94.25,95.00,106900,95.00
2012-04-05,97.75,98.00,96.00,96.25,240200,96.25
2012-04-04,96.00,97.50,94.22,97.25,209400,97.25
2012-04-03,95.00,96.00,94.25,96.00,330100,96.00
2012-04-02,95.00,96.25,94.75,95.00,233600,95.00
2012-03-30,95.75,96.75,94.00,94.75,586800,94.75
2012-03-29,95.75,97.00,94.00,95.25,304300,95.25
2012-03-28,97.00,97.50,95.00,95.75,241000,95.75
2012-03-27,96.25,98.00,96.00,97.00,692300,97.00
2012-03-26,97.00,97.75,94.25,95.75,1279800,95.75
2012-03-23,95.25,97.00,95.00,96.50,2684700,96.50
2012-03-22,97.00,97.50,95.00,95.00,509600,95.00
2012-03-21,98.00,99.50,97.00,97.50,403800,97.50
2012-03-20,98.50,99.50,96.00,97.00,862600,97.00
2012-03-19,97.50,99.25,95.50,98.50,91500,98.50
2012-03-16,99.75,99.75,97.00,98.00,178200,98.00
2012-03-15,98.00,99.75,97.75,99.25,6341900,99.25
2012-03-14,98.25,99.25,96.75,97.25,71600,97.25
2012-03-13,95.00,98.25,95.00,98.25,2898300,98.25
2012-03-12,97.00,99.50,96.75,97.00,182100,97.00
2012-03-09,98.00,98.25,96.20,98.25,369900,98.25
2012-03-08,96.00,99.09,96.00,98.00,584500,98.00
2012-03-07,95.00,97.25,95.00,96.50,2716300,96.50
2012-03-06,96.00,97.00,95.00,95.00,576000,95.00
2012-03-05,95.00,96.75,94.75,96.00,4521700,96.00
2012-03-02,95.00,95.00,90.50,95.00,3165500,95.00
2012-03-01,87.75,97.50,87.75,94.00,2263100,94.00
2012-02-29,85.50,87.50,85.47,85.50,119800,85.50
2012-02-28,87.50,88.00,85.00,85.50,117400,85.50
2012-02-27,88.00,88.00,86.00,86.75,17700,86.75
2012-02-24,88.50,89.00,86.00,86.25,60900,86.25
2012-02-23,89.50,89.75,87.25,87.25,623500,87.25
2012-02-22,89.00,90.25,87.17,89.25,254800,89.25
2012-02-21,87.00,88.00,85.75,87.00,344400,87.00
2012-02-20,84.50,86.98,84.00,85.00,3541800,85.00
2012-02-17,83.00,84.00,82.00,83.00,3093500,83.00
2012-02-16,78.75,80.75,78.75,79.75,51100,79.75
2012-02-15,79.50,81.00,79.17,79.50,31300,79.50
2012-02-14,81.00,82.35,79.50,79.50,51100,79.50
2012-02-13,83.75,84.50,79.50,80.50,432900,80.50
2012-02-10,82.00,83.00,80.32,80.50,504500,80.50
2012-02-09,80.00,83.75,78.42,81.00,188900,81.00
2012-02-08,77.50,80.42,77.50,79.00,812000,79.00
2012-02-07,78.75,79.00,77.15,79.00,24300,79.00
2012-02-06,78.00,78.97,76.25,78.75,82500,78.75
2012-02-03,76.00,77.00,74.86,75.50,102100,75.50
2012-02-02,73.50,76.50,72.00,76.00,269100,76.00
2012-02-01,70.00,73.00,70.00,70.50,181800,70.50
2012-01-31,69.50,71.75,69.00,69.00,106400,69.00
2012-01-30,69.50,70.65,69.25,70.25,59500,70.25
2012-01-27,69.50,71.00,69.00,70.00,94100,70.00
2012-01-26,69.50,70.00,69.00,69.50,63000,69.50
2012-01-25,69.50,70.50,69.00,70.25,34000,70.25
2012-01-24,69.75,72.08,69.75,69.75,20800,69.75
2012-01-23,70.25,71.75,70.00,70.75,30300,70.75
2012-01-20,71.00,71.18,70.75,70.75,32000,70.75
2012-01-19,72.00,73.00,71.75,72.00,40000,72.00
2012-01-18,72.75,72.75,72.25,72.25,17900,72.25
