Date,Open,High,Low,Close,Volume,Adj Close
2012-06-27,0.38,0.53,0.38,0.38,000,0.38
2012-06-26,0.42,0.42,0.37,0.38,3710700,0.38
2012-06-25,0.41,0.44,0.41,0.44,7190400,0.44
2012-06-22,0.41,0.41,0.38,0.41,3053100,0.41
2012-06-21,0.42,0.42,0.39,0.40,1644700,0.40
2012-06-20,0.40,0.43,0.39,0.39,1509400,0.39
2012-06-19,0.41,0.42,0.40,0.42,2438200,0.42
2012-06-18,0.43,0.43,0.41,0.41,1401800,0.41
2012-06-15,0.45,0.46,0.40,0.42,3039600,0.42
2012-06-14,0.44,0.48,0.41,0.45,9033200,0.45
2012-06-13,0.43,0.44,0.42,0.43,3433700,0.43
2012-06-12,0.44,0.45,0.40,0.42,5991600,0.42
2012-06-11,0.46,0.46,0.44,0.44,4213200,0.44
2012-06-08,0.45,0.46,0.45,0.46,1511900,0.46
2012-06-07,0.49,0.49,0.42,0.42,2419600,0.42
2012-06-06,0.50,0.50,0.46,0.46,2386300,0.46
2012-06-01,0.54,0.54,0.45,0.50,9400600,0.50
2012-05-31,0.50,0.55,0.50,0.53,3970300,0.53
2012-05-30,0.49,0.52,0.49,0.52,3957300,0.52
2012-05-29,0.45,0.55,0.42,0.48,18526500,0.48
2012-05-28,0.40,0.45,0.38,0.45,5053400,0.45
2012-05-25,0.41,0.41,0.38,0.39,1898100,0.39
2012-05-24,0.40,0.40,0.36,0.40,4444900,0.40
2012-05-23,0.41,0.43,0.40,0.40,964000,0.40
2012-05-22,0.40,0.44,0.40,0.41,3543300,0.41
2012-05-21,0.41,0.45,0.38,0.41,3094400,0.41
2012-05-18,0.36,0.41,0.36,0.41,4419300,0.41
2012-05-17,0.44,0.45,0.36,0.36,9828700,0.36
2012-05-16,0.45,0.45,0.43,0.44,3265000,0.44
2012-05-14,0.49,0.49,0.42,0.46,6773000,0.46
2012-05-11,0.48,0.54,0.43,0.49,20011100,0.49
2012-05-10,0.40,0.45,0.35,0.42,18056400,0.42
2012-05-09,0.42,0.43,0.37,0.38,14375400,0.38
2012-05-08,0.50,0.50,0.40,0.42,44107300,0.42
2012-05-04,0.55,0.55,0.49,0.51,16629900,0.51
2012-05-03,0.57,0.60,0.53,0.56,11141200,0.56
2012-05-02,0.57,0.60,0.55,0.56,10808800,0.56
2012-05-01,0.60,0.60,0.56,0.56,4136800,0.56
2012-04-30,0.60,0.61,0.57,0.60,4708700,0.60
2012-04-27,0.60,0.62,0.55,0.60,12158100,0.60
2012-04-26,0.60,0.62,0.56,0.60,10820600,0.60
2012-04-25,0.63,0.64,0.60,0.63,6215500,0.63
2012-04-24,0.61,0.68,0.60,0.63,7609200,0.63
2012-04-23,0.69,0.69,0.60,0.61,12059100,0.61
2012-04-20,0.65,0.69,0.65,0.66,8073600,0.66
2012-04-19,0.75,0.75,0.67,0.70,8663100,0.70
2012-04-18,0.76,0.76,0.67,0.75,19117800,0.75
2012-04-17,0.77,0.77,0.70,0.70,46201100,0.70
2012-04-16,0.97,1.19,0.80,0.80,85067400,0.80
2012-04-13,0.86,1.05,0.80,1.00,36549000,1.00
2012-04-12,0.87,0.90,0.81,0.86,11130300,0.86
2012-04-11,0.88,0.92,0.81,0.90,17709800,0.90
2012-04-10,0.91,0.91,0.87,0.91,6487300,0.91
2012-04-05,0.98,0.98,0.90,0.91,20858500,0.91
2012-04-04,1.02,1.05,0.97,0.98,17995700,0.98
2012-04-03,1.02,1.06,0.98,1.00,9416700,1.00
2012-04-02,1.01,1.08,1.00,1.05,6088100,1.05
2012-03-30,1.12,1.12,1.02,1.05,5962900,1.05
2012-03-29,1.05,1.12,1.02,1.12,11675900,1.12
2012-03-28,1.12,1.12,1.01,1.08,7389800,1.08
2012-03-27,1.07,1.16,1.05,1.05,9016200,1.05
2012-03-26,1.12,1.17,1.06,1.09,11137400,1.09
2012-03-23,1.22,1.22,1.10,1.12,9916400,1.12
2012-03-21,1.28,1.37,1.16,1.25,22757000,1.25
2012-03-20,1.13,1.37,1.08,1.26,50680100,1.26
2012-03-19,1.18,1.20,0.95,1.12,55522700,1.12
2012-03-16,1.79,2.05,0.85,2.00,127114200,2.00
2012-03-15,1.86,1.89,1.75,1.79,16099300,1.79
2012-03-14,1.87,1.95,1.85,1.86,16137300,1.86
2012-03-13,1.75,1.90,1.75,1.89,14304900,1.89
2012-03-12,1.90,1.90,1.71,1.75,18953300,1.75
2012-03-09,1.90,1.99,1.85,1.85,11486200,1.85
2012-03-08,1.97,1.97,1.85,1.90,11867200,1.90
2012-03-07,1.91,1.99,1.85,1.92,11693900,1.92
2012-03-06,2.05,2.05,1.90,1.91,10248600,1.91
2012-03-05,2.04,2.14,1.96,2.10,21114700,2.10
2012-03-02,2.05,2.09,1.96,2.05,9627900,2.05
2012-03-01,2.15,2.15,2.05,2.05,12417700,2.05
2012-02-29,2.04,2.24,1.98,2.10,20204900,2.10
2012-02-28,1.97,2.05,1.95,2.00,11595800,2.00
2012-02-27,1.95,2.07,1.91,1.97,14639500,1.97
2012-02-24,2.02,2.04,1.91,1.97,10884600,1.97
2012-02-23,2.00,2.05,1.92,2.00,16703100,2.00
2012-02-22,2.12,2.12,1.95,2.06,11572100,2.06
2012-02-21,1.99,2.15,1.96,2.12,18083700,2.12
2012-02-20,2.07,2.10,1.95,1.97,15089100,1.97
2012-02-17,2.06,2.10,2.00,2.05,17318000,2.05
2012-02-16,2.01,2.14,2.01,2.08,9671400,2.08
2012-02-15,2.18,2.19,2.01,2.05,18470200,2.05
2012-02-14,2.28,2.29,2.05,2.18,18210800,2.18
2012-02-13,2.25,2.42,2.23,2.25,28445200,2.25
2012-02-10,2.23,2.30,2.17,2.24,19127600,2.24
2012-02-09,2.07,2.30,2.07,2.20,16099100,2.20
2012-02-08,2.11,2.15,2.07,2.10,7377700,2.10
2012-02-07,2.18,2.19,2.09,2.15,8662500,2.15
2012-02-06,2.18,2.20,2.10,2.16,6346000,2.16
2012-02-03,2.21,2.30,2.13,2.15,10742800,2.15
2012-02-02,2.10,2.26,2.10,2.22,8987400,2.22
2012-02-01,2.22,2.30,2.00,2.15,15792500,2.15
2012-01-31,2.05,2.35,2.01,2.25,36460300,2.25
2012-01-30,2.15,2.15,2.05,2.05,4850400,2.05
2012-01-27,2.11,2.19,2.05,2.15,6528000,2.15
2012-01-26,1.98,2.14,1.93,1.95,16214800,1.95
2012-01-25,2.06,2.09,1.95,1.95,12964600,1.95
2012-01-24,2.13,2.21,2.05,2.06,9775400,2.06
2012-01-23,2.12,2.20,2.05,2.14,8010800,2.14
2012-01-20,2.10,2.19,2.05,2.14,8382200,2.14
2012-01-19,2.09,2.10,1.96,2.05,10231300,2.05
2012-01-18,2.13,2.13,2.02,2.07,7840100,2.07
2012-01-17,2.23,2.26,2.10,2.20,7305300,2.20
2012-01-16,2.11,2.24,2.11,2.20,8816700,2.20
2012-01-13,1.96,2.17,1.91,2.15,17849200,2.15
2012-01-12,2.00,2.05,1.90,1.98,15259700,1.98
2012-01-11,2.19,2.27,1.96,2.00,20104500,2.00
2012-01-10,2.21,2.25,2.15,2.20,17762500,2.20
2012-01-09,2.03,2.30,2.01,2.20,22315900,2.20
2012-01-06,2.10,2.19,1.95,2.05,16019600,2.05
2012-01-05,2.10,2.14,2.00,2.08,7788100,2.08
2012-01-04,2.28,2.29,2.10,2.10,10748200,2.10
2012-01-03,2.35,2.50,2.18,2.23,19828000,2.23
2011-12-30,2.12,2.35,2.10,2.34,22194300,2.34
2011-12-29,1.84,2.05,1.76,2.03,6728700,2.03
2011-12-28,1.90,1.96,1.80,1.83,6825500,1.83
2011-12-23,1.85,1.90,1.83,1.90,3022300,1.90
2011-12-22,1.84,1.85,1.80,1.82,4629700,1.82
2011-12-21,1.80,1.85,1.79,1.80,5330300,1.80
2011-12-20,1.84,1.88,1.70,1.84,6347300,1.84
2011-12-19,1.88,1.94,1.80,1.81,4631600,1.81
2011-12-16,1.90,1.95,1.80,1.92,5229300,1.92
2011-12-15,1.94,1.95,1.79,1.91,16381100,1.91
2011-12-14,1.90,1.95,1.87,1.91,6202800,1.91
2011-12-13,1.91,1.95,1.77,1.88,8232800,1.88
2011-12-12,1.93,1.96,1.90,1.91,6366200,1.91
2011-12-09,2.00,2.00,1.85,1.91,7110200,1.91
2011-12-08,2.02,2.03,1.90,1.93,6139600,1.93
2011-12-07,2.00,2.04,1.95,2.00,7814900,2.00
2011-12-06,2.01,2.05,1.96,1.99,8053400,1.99
2011-12-05,1.86,2.08,1.86,2.00,13272900,2.00
2011-12-02,1.86,1.90,1.82,1.85,5835400,1.85
2011-12-01,1.89,1.95,1.85,1.86,7976700,1.86
2011-11-30,1.89,1.95,1.85,1.87,5942700,1.87
2011-11-29,1.97,1.98,1.82,1.89,5979600,1.89
2011-11-28,2.04,2.05,1.90,2.00,7725200,2.00
2011-11-25,1.88,2.10,1.85,2.01,11979600,2.01
2011-11-24,1.95,1.98,1.80,1.90,9138300,1.90
2011-11-23,2.12,2.12,1.87,2.08,15129700,2.08
2011-11-22,2.15,2.29,2.00,2.19,29030300,2.19
2011-11-21,1.91,2.20,1.91,1.98,30229900,1.98
2011-11-18,1.92,1.95,1.86,1.92,3286700,1.92
2011-11-17,1.94,1.95,1.88,1.90,9978300,1.90
2011-11-16,1.93,1.95,1.85,1.92,7178700,1.92
2011-11-15,1.75,1.95,1.75,1.95,10905400,1.95
2011-11-14,1.82,1.82,1.76,1.79,5297300,1.79
2011-11-11,1.90,1.90,1.75,1.82,8222000,1.82
2011-11-10,2.01,2.01,1.82,1.85,8203400,1.85
2011-11-09,2.01,2.18,1.95,2.02,28212800,2.02
2011-11-08,1.77,2.05,1.77,2.00,34261900,2.00
2011-11-07,1.74,1.83,1.71,1.77,4718200,1.77
2011-11-04,1.64,1.74,1.64,1.70,5506200,1.70
