Date,Open,High,Low,Close,Volume,Adj Close
2012-08-03,846.00,848.90,843.10,843.50,14500,846.70
2012-08-02,860.10,869.10,835.50,846.70,8472400,846.70
2012-08-01,847.60,863.30,839.01,861.00,4507700,861.00
2012-07-31,841.40,859.80,841.40,848.10,4510900,848.10
2012-07-27,817.10,827.40,810.30,823.00,4609600,823.00
2012-07-26,803.00,823.80,797.70,809.90,4996100,809.90
2012-07-25,795.10,811.12,792.60,798.50,15888100,798.50
2012-07-24,818.30,825.60,789.40,798.60,4569600,798.60
2012-07-23,834.80,834.80,807.50,812.80,10375400,812.80
2012-07-20,848.10,864.09,837.50,840.70,9623800,840.70
2012-07-19,836.10,860.00,835.20,852.00,4711900,852.00
2012-07-18,847.70,847.70,831.70,841.10,4146800,841.10
2012-07-17,847.50,852.28,833.80,841.90,3622800,841.90
2012-07-16,841.00,848.93,836.80,843.20,2047900,843.20
2012-07-13,830.30,847.90,816.00,843.61,5428900,843.61
2012-07-12,828.60,829.00,815.80,823.50,4566400,823.50
2012-07-11,820.00,842.50,813.26,839.00,8305900,839.00
2012-07-10,819.10,855.00,816.50,826.50,6577700,826.50
2012-07-09,829.00,833.80,809.60,815.60,5209000,815.60
2012-07-06,844.50,844.50,830.00,834.00,4645200,834.00
2012-07-05,816.30,869.43,816.30,845.80,10306500,845.80
2012-07-04,808.20,833.20,803.20,820.80,7375400,820.80
2012-07-03,806.00,813.13,796.40,806.40,8923100,806.40
2012-07-02,804.10,806.31,779.60,802.90,11510400,802.90
2012-06-29,821.50,821.50,784.74,798.60,9031900,798.60
2012-06-28,798.00,804.06,775.90,793.50,8065100,793.50
2012-06-27,785.60,802.67,767.70,796.60,19998300,796.60
2012-06-26,790.00,810.40,781.40,785.80,11882000,785.80
2012-06-25,810.50,821.80,788.50,794.20,6683900,794.20
2012-06-22,829.30,830.57,813.40,816.50,7966300,816.50
2012-06-21,857.90,866.80,838.50,839.00,8975400,839.00
2012-06-20,850.00,891.20,849.60,870.10,16634400,870.10
2012-06-19,861.00,875.90,859.40,864.90,8373400,864.90
2012-06-18,908.50,922.20,852.80,859.20,16065900,859.20
2012-06-15,902.30,926.30,890.91,891.00,34234900,891.00
2012-06-14,910.80,915.00,880.00,899.60,13691300,899.60
