Date,Open,High,Low,Close,Volume,Adj Close
2012-07-27,1.15,1.25,1.13,1.21,52565800,1.20
2012-08-02,1.25,1.40,1.25,1.32,25232400,1.20
2012-08-01,1.25,1.40,1.25,1.29,23714500,1.20
2012-07-31,1.29,1.36,1.24,1.30,27554200,1.20
2012-07-27,1.15,1.25,1.13,1.20,54038500,1.20
2012-07-26,1.09,1.18,1.05,1.10,73333200,1.10
2012-07-25,1.20,1.34,0.75,1.08,231686200,1.08
2012-07-24,1.75,1.82,1.70,1.70,30200900,1.70
2012-07-23,1.85,1.85,1.65,1.78,24019100,1.78
2012-07-20,1.93,1.93,1.71,1.77,32825000,1.77
2012-07-19,1.75,1.98,1.75,1.92,55051000,1.92
2012-07-18,1.56,1.89,1.56,1.79,67482000,1.79
2012-07-17,1.64,1.74,1.50,1.60,60658400,1.60
2012-07-16,1.81,1.89,1.67,1.68,46510400,1.68
2012-07-13,2.00,2.01,1.77,1.85,92085900,1.85
2012-07-12,2.02,2.13,1.91,1.94,73317100,1.94
2012-07-11,2.16,2.30,1.84,1.98,104599300,1.98
2012-07-10,1.72,2.18,1.63,2.18,104737600,2.18
2012-07-09,1.57,1.70,1.50,1.67,39985600,1.67
2012-07-06,1.50,1.58,1.48,1.58,30490700,1.58
2012-07-05,1.53,1.58,1.49,1.49,14288000,1.49
2012-07-04,1.50,1.54,1.41,1.54,29556100,1.54
2012-07-03,1.63,1.63,1.49,1.50,43464100,1.50
2012-07-02,1.57,1.69,1.49,1.60,43435000,1.60
2012-06-29,1.53,1.63,1.52,1.55,68089200,1.55
2012-06-28,1.46,1.54,1.43,1.52,83548500,1.52
2012-06-27,1.32,1.44,1.32,1.44,76271400,1.44
2012-06-26,1.31,1.35,1.26,1.33,44403800,1.33
2012-06-25,1.35,1.41,1.31,1.31,24338400,1.31
2012-06-22,1.38,1.50,1.32,1.36,96944800,1.36
2012-06-21,1.35,1.44,1.29,1.37,76856100,1.37
2012-06-20,1.23,1.39,1.18,1.35,74700800,1.35
2012-06-19,1.28,1.28,1.18,1.21,43114100,1.21
2012-06-18,1.28,1.39,1.20,1.22,49306100,1.22
2012-06-15,1.30,1.34,1.20,1.20,122762400,1.20
2012-06-14,1.28,1.35,1.26,1.26,54257300,1.26
2012-06-13,1.28,1.40,1.28,1.30,41329800,1.30
2012-06-12,1.35,1.40,1.27,1.30,48104500,1.30
2012-06-11,1.50,1.53,1.26,1.28,92358500,1.28
2012-06-08,1.52,1.59,1.40,1.40,62343700,1.40
