FTSE:2717.05:Moving up:2717.05:33330.19:29.62:30.05
FTSE:2768.71:Moving up:51.66:33330.19:29.62:30.05
FTSE:2768.01:Moving down:-0.70:33330.19:29.62:30.05
FTSE:2767.56:Moving down:-0.45:33330.19:29.62:30.05
FTSE:2767.33:Moving down:-0.23:33330.19:29.62:30.05
FTSE:2768.17:Moving up:0.84:33330.19:29.62:30.05
FTSE:2768.19:Moving up:0.02:33330.19:29.62:30.05
FTSE:2767.83:Moving down:-0.36:33330.19:29.62:30.05
FTSE:2766.41:Moving down:-1.42:33330.19:29.62:30.05
FTSE:2765.55:Moving down:-0.86:33330.19:29.62:30.05
FTSE:2762.62:Moving down:-2.93:33330.19:29.62:30.05
FTSE:2762.58:Moving down:-0.04:33330.19:29.62:30.05
FTSE:2762.79:Moving up:0.21:33330.19:29.62:30.05
FTSE:2762.62:Moving down:-0.17:33330.19:29.62:30.05
FTSE:2762.79:Moving up:0.17:33330.19:29.62:30.05
FTSE:2762.89:Moving up:0.10:33330.19:29.62:30.05
FTSE:2763.16:Moving up:0.27:33330.19:29.62:30.05
FTSE::Moving down:-2763.16:33330.19:29.62:30.05
FTSE:2763.16:Moving up:2763.16:33330.19:29.62:30.05
FTSE:2763.07:Moving down:-0.09:33330.19:29.62:30.05
FTSE:2762.58:Moving down:-0.49:33330.19:29.62:30.05
FTSE:2762.28:Moving down:-0.30:33330.19:29.62:30.05
FTSE:2762.34:Moving up:0.06:33330.19:29.62:30.05
FTSE:2762.14:Moving down:-0.20:33330.19:29.62:30.05
FTSE:2762.01:Moving down:-0.13:33330.19:29.62:30.05
FTSE:2761.52:Moving down:-0.49:33330.19:29.62:30.05
FTSE:2759.94:Moving down:-1.58:33330.19:29.62:30.05
FTSE:2759.89:Moving down:-0.05:33330.19:29.62:30.05
FTSE:2759.71:Moving down:-0.18:33330.19:29.62:30.05
FTSE:2759.99:Moving up:0.28:33330.19:29.62:30.05
FTSE:2760.19:Moving up:0.20:33330.19:29.62:30.05
FTSE:2760.74:Moving up:0.55:33330.19:29.62:30.05
FTSE:2761.05:Moving up:0.31:33330.19:29.62:30.05
FTSE:2760.67:Moving down:-0.38:33330.19:29.62:30.05
FTSE:2760.57:Moving down:-0.10:33330.19:29.62:30.05
FTSE:2760.32:Moving down:-0.25:33330.19:29.62:30.05
FTSE:2758.85:Moving down:-1.47:33330.19:29.62:30.05
FTSE::Moving down:-2758.85:33330.19:29.62:30.05
FTSE:2758.85:Moving up:2758.85:33330.19:29.62:30.05
FTSE:2758.88:Moving up:0.03:33330.19:29.62:30.05
FTSE:2759.06:Moving up:0.18:33330.19:29.62:30.05
FTSE:2757.61:Moving down:-1.45:33330.19:29.62:30.05
FTSE:2756.72:Moving down:-0.89:33330.19:29.62:30.05
FTSE:2756.19:Moving down:-0.53:33330.19:29.62:30.05
FTSE:2754.41:Moving down:-1.78:33330.19:29.62:30.05
FTSE:2754.18:Moving down:-0.23:33330.19:29.62:30.05
FTSE:2754.24:Moving up:0.06:33330.19:29.62:30.05
FTSE:2753.25:Moving down:-0.99:33330.19:29.62:30.05
FTSE:2753.42:Moving up:0.17:33330.19:29.62:30.05
FTSE:2753.54:Moving up:0.12:33330.19:29.62:30.05
FTSE:2752.95:Moving down:-0.59:33330.19:29.62:30.05
FTSE::Moving down:-2752.95:33330.19:29.62:30.05
FTSE:2753.82:Moving up:2753.82:33330.19:29.62:30.05
FTSE:2754.84:Moving up:1.02:33330.19:29.62:30.05
FTSE:2755.19:Moving up:0.35:33330.19:29.62:30.05
FTSE:2755.53:Moving up:0.34:33330.19:29.62:30.05
FTSE:2755.29:Moving down:-0.24:33330.19:29.62:30.05
FTSE:2754.59:Moving down:-0.70:33330.19:29.62:30.05
FTSE:2754.45:Moving down:-0.14:33330.19:29.62:30.05
FTSE:2754.50:Moving up:0.05:33330.19:29.62:30.05
FTSE:2754.46:Moving down:-0.04:33330.19:29.62:30.05
FTSE:2754.41:Moving down:-0.05:33330.19:29.62:30.05
FTSE:2754.55:Moving up:0.14:33330.19:29.62:30.05
FTSE:2754.15:Moving down:-0.40:33330.19:29.62:30.05
FTSE:2754.26:Moving up:0.11:33330.19:29.62:30.05
FTSE:2754.72:Moving up:0.46:33330.19:29.62:30.05
FTSE:2754.75:Moving up:0.03:33330.19:29.62:30.05
FTSE:2754.66:Moving down:-0.09:33330.19:29.62:30.05
FTSE:2754.65:Moving down:-0.01:33330.19:29.62:30.05
FTSE:2755.10:Moving up:0.45:33330.19:29.62:30.05
FTSE:2755.27:Moving up:0.17:33330.19:29.62:30.05
FTSE:2756.01:Moving up:0.74:33330.19:29.62:30.05
FTSE:2756.33:Moving up:0.32:33330.19:29.62:30.05
FTSE:2756.21:Moving down:-0.12:33330.19:29.62:30.05
FTSE:2756.48:Moving up:0.27:33330.19:29.62:30.05
FTSE:2756.44:Moving down:-0.04:33330.19:29.62:30.05
FTSE:2756.74:Moving up:0.30:33330.19:29.62:30.05
FTSE:2757.14:Moving up:0.40:33330.19:29.62:30.05
FTSE:2757.80:Moving up:0.66:33330.19:29.62:30.05
FTSE:2759.30:Moving up:1.50:33330.19:29.62:30.05
FTSE:2759.31:Moving up:0.01:33330.19:29.62:30.05
FTSE:2759.36:Moving up:0.05:33330.19:29.62:30.05
FTSE:2759.33:Moving down:-0.03:33330.19:29.62:30.05
FTSE:2757.95:Moving down:-1.38:33330.19:29.62:30.05
FTSE:2757.77:Moving down:-0.18:33330.19:29.62:30.05
FTSE:2757.51:Moving down:-0.26:33330.19:29.62:30.05
FTSE:2756.18:Moving down:-1.33:33330.19:29.62:30.05
FTSE:2756.19:Moving up:0.01:33330.19:29.62:30.05
FTSE:2756.89:Moving up:0.70:33330.19:29.62:30.05
FTSE:2757.03:Moving up:0.14:33330.19:29.62:30.05
FTSE:2757.92:Moving up:0.89:33330.19:29.62:30.05
FTSE:2758.22:Moving up:0.30:33330.19:29.62:30.05
FTSE:2758.38:Moving up:0.16:33330.19:29.62:30.05
FTSE:2757.21:Moving down:-1.17:33330.19:29.62:30.05
FTSE:2757.00:Moving down:-0.21:33330.19:29.62:30.05
FTSE:2756.85:Moving down:-0.15:33330.19:29.62:30.05
FTSE:2756.59:Moving down:-0.26:33330.19:29.62:30.05
FTSE:2756.56:Moving down:-0.03:33330.19:29.62:30.05
